Petauke Explorers  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Yesterday
12:15  -  12:29,60832106,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:00  -  18:14,60832106,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
12:45  -  12:59,60832106,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,60832106,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
12:30  -  12:44,60832106,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,60832106,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60832106,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
6:00  -  6:14,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:30  -  6:44,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
14:00  -  14:14,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:45  -  17:59,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:00  -  17:14,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:30  -  17:44,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
14:15  -  14:29,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:15  -  17:29,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
14:30  -  14:44,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
14:45  -  14:59,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
12:00  -  12:14,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:15  -  12:29,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:45  -  12:59,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
6:45  -  6:59,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
7:15  -  7:29,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
6:30  -  6:44,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
6:00  -  6:14,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
7:45  -  7:59,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
6:15  -  6:29,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
7:30  -  7:44,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
