Petauke Explorers  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Yesterday
18:00  -  18:14,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:00  -  18:14,20:45  -  20:59"
20:45  -  20:59,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:00  -  18:14,20:45  -  20:59"
10:00  -  10:14,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59"
11:45  -  11:59,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59"
19:00  -  19:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59"
19:45  -  19:59,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59"
7:45  -  7:59,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59"
7:00  -  7:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59"
10:00  -  10:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44"
6:45  -  6:59,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44"
6:30  -  6:44,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44"
10:30  -  10:44,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44"
6:00  -  6:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44"
9:45  -  9:59,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,"7:00  -  7:14,7:45  -  7:59,9:45  -  9:59"
7:45  -  7:59,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,"7:00  -  7:14,7:45  -  7:59,9:45  -  9:59"
7:00  -  7:14,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,"7:00  -  7:14,7:45  -  7:59,9:45  -  9:59"
19:15  -  19:29,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
6:45  -  6:59,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
6:30  -  6:44,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
6:00  -  6:14,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
