Blue Sky FM analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Blue Sky FM
13:15  -  13:29,60567441,Central,Chibombo,Urban,Male,3,Two or More,AB,Completed high School,Muslim,Student,AB,Under K 849,Yes,19 – 24,",,,13:00  -  13:14,13:15  -  13:29,,,,"
13:00  -  13:14,60567441,Central,Chibombo,Urban,Male,3,Two or More,AB,Completed high School,Muslim,Student,AB,Under K 849,Yes,19 – 24,",,,13:00  -  13:14,13:15  -  13:29,,,,"
