Ama analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Ama
9:15  -  9:29,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,",,,,,,,9:00  -  9:14,9:15  -  9:29"
9:00  -  9:14,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,",,,,,,,9:00  -  9:14,9:15  -  9:29"
