Kafue  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kafue  Wednesday
14:00  -  14:14,60606891,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,"6:00  -  6:14,14:00  -  14:14"
6:00  -  6:14,60606891,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,"6:00  -  6:14,14:00  -  14:14"
