ZNBC MUSIC  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,ZNBC MUSIC  Thursday
7:30  -  7:44,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"7:30  -  7:44,7:45  -  7:59"
7:45  -  7:59,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"7:30  -  7:44,7:45  -  7:59"
