New Generation analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,New Generation
20:00  -  20:14,60585284,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"20:00  -  20:14,21:30  -  21:44,,,,,,,"
21:30  -  21:44,60585284,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"20:00  -  20:14,21:30  -  21:44,,,,,,,"
18:00  -  18:14,60585285,North-Western,Solwezi,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",,,,18:00  -  18:14,,,"
6:00  -  6:14,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,",,,,,,,6:00  -  6:14,8:00  -  8:14,"
8:00  -  8:14,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,",,,,,,,6:00  -  6:14,8:00  -  8:14,"
11:00  -  11:14,60613041,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,9:00  -  9:14,11:00  -  11:14,"
9:00  -  9:14,60613041,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,9:00  -  9:14,11:00  -  11:14,"
7:00  -  7:14,60613042,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,",,,,,,,7:00  -  7:14,8:00  -  8:14,"
8:00  -  8:14,60613042,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,",,,,,,,7:00  -  7:14,8:00  -  8:14,"
18:00  -  18:14,60613043,North-Western,Solwezi,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"17:00  -  17:14,18:00  -  18:14,,,,,,,"
17:00  -  17:14,60613043,North-Western,Solwezi,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"17:00  -  17:14,18:00  -  18:14,,,,,,,"
6:00  -  6:14,60613044,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,",,,,,,,6:00  -  6:14,"
7:00  -  7:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,",,,,,,,7:00  -  7:14,8:00  -  8:14"
8:00  -  8:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,",,,,,,,7:00  -  7:14,8:00  -  8:14"
18:00  -  18:14,60613046,North-Western,Solwezi,Rural,Male,1,None,D,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,15:00  -  15:14,18:00  -  18:14,"
15:00  -  15:14,60613046,North-Western,Solwezi,Rural,Male,1,None,D,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,15:00  -  15:14,18:00  -  18:14,"
7:00  -  7:14,60650482,North-Western,Solwezi,Rural,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,7:00  -  7:14"
18:00  -  18:14,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,",,,,,,,18:00  -  18:14,19:00  -  19:14"
19:00  -  19:14,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,",,,,,,,18:00  -  18:14,19:00  -  19:14"
18:00  -  18:14,60650484,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,",17:00  -  17:14,18:00  -  18:14,,,,,,"
