Chimwemwe  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe  Friday
10:00  -  10:14,60555769,Copperbelt,Kitwe,Urban,Female,3,None,C2,No formal education,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,",10:00  -  10:14"
21:15  -  21:29,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:30  -  20:44,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:30  -  21:44,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:45  -  21:59,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:15  -  21:29,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
22:00  -  22:14,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
