Breeze  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Breeze  Friday
7:30  -  7:44,60687020,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",7:30  -  7:44,13:30  -  13:44,15:30  -  15:44"
15:30  -  15:44,60687020,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",7:30  -  7:44,13:30  -  13:44,15:30  -  15:44"
13:30  -  13:44,60701172,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,45+,",7:00  -  7:14,13:00  -  13:14,13:30  -  13:44,19:30  -  19:44"
13:00  -  13:14,60701172,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,45+,",7:00  -  7:14,13:00  -  13:14,13:30  -  13:44,19:30  -  19:44"
19:30  -  19:44,60701172,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,45+,",7:00  -  7:14,13:00  -  13:14,13:30  -  13:44,19:30  -  19:44"
7:00  -  7:14,60701172,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,45+,",7:00  -  7:14,13:00  -  13:14,13:30  -  13:44,19:30  -  19:44"
22:00  -  22:14,60707458,Eastern,Chipata,Rural,Female,1,None,D,Primary school completed,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,",22:00  -  22:14,23:00  -  23:14"
23:00  -  23:14,60707458,Eastern,Chipata,Rural,Female,1,None,D,Primary school completed,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,",22:00  -  22:14,23:00  -  23:14"
7:00  -  7:14,60726844,Eastern,Chipata,Rural,Male,1,None,C2,Some high school,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,45+,",7:00  -  7:14,16:00  -  16:14"
16:00  -  16:14,60726844,Eastern,Chipata,Rural,Male,1,None,C2,Some high school,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,45+,",7:00  -  7:14,16:00  -  16:14"
9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:00  -  7:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:15  -  7:29,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:00  -  8:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:45  -  6:59,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
