Mosi-O-Tunya  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mosi-O-Tunya  Monday
9:30  -  9:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
19:00  -  19:14,82113725,Southern,Livingstone,Urban,Male,0,None,D,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,22:00  -  22:14"
22:00  -  22:14,82113725,Southern,Livingstone,Urban,Male,0,None,D,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,22:00  -  22:14"
10:00  -  10:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"10:00  -  10:14,12:00  -  12:14"
12:00  -  12:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"10:00  -  10:14,12:00  -  12:14"
15:00  -  15:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,9:00  -  9:14,15:00  -  15:14,17:00  -  17:14"
17:00  -  17:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,9:00  -  9:14,15:00  -  15:14,17:00  -  17:14"
9:00  -  9:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,9:00  -  9:14,15:00  -  15:14,17:00  -  17:14"
7:00  -  7:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,9:00  -  9:14,15:00  -  15:14,17:00  -  17:14"
18:45  -  18:59,82192495,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,No,25 – 34,"18:45  -  18:59,19:30  -  19:44"
19:30  -  19:44,82192495,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,No,25 – 34,"18:45  -  18:59,19:30  -  19:44"
8:00  -  8:14,82192496,Southern,Livingstone,Urban,Male,0,None,C1,Some high school,Other Christian,A business owner,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"8:00  -  8:14,9:00  -  9:14"
9:00  -  9:14,82192496,Southern,Livingstone,Urban,Male,0,None,C1,Some high school,Other Christian,A business owner,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"8:00  -  8:14,9:00  -  9:14"
12:15  -  12:29,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"11:30  -  11:44,12:15  -  12:29"
11:30  -  11:44,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"11:30  -  11:44,12:15  -  12:29"
18:00  -  18:14,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18:30  -  18:44,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18:15  -  18:29,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:30  -  19:44,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:15  -  19:29,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18:45  -  18:59,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:00  -  19:14,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:45  -  19:59,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,82256859,Southern,Livingstone,Urban,Male,1,None,D,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:00  -  20:14,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:30  -  20:44,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:15  -  20:29,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
14:45  -  14:59,82278707,Southern,Livingstone,Urban,Female,0,None,D,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:15  -  14:29,82278707,Southern,Livingstone,Urban,Female,0,None,D,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:00  -  14:14,82278707,Southern,Livingstone,Urban,Female,0,None,D,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:30  -  14:44,82278707,Southern,Livingstone,Urban,Female,0,None,D,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
15:00  -  15:14,82279663,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",No,35 – 44,"15:00  -  15:14,16:00  -  16:14"
16:00  -  16:14,82279663,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",No,35 – 44,"15:00  -  15:14,16:00  -  16:14"
9:30  -  9:44,82279664,Southern,Livingstone,Urban,Female,1,None,D,Completed high School,Other Christian,A housewife/househusband,D,"K 1675- K2,499",Yes,25 – 34,9:30  -  9:44 
20:00  -  20:14,82279665,Southern,Livingstone,Urban,Female,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 1675- K2,499",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,12:00  -  12:14,12:30  -  12:44,20:00  -  20:14,20:15  -  20:29"
7:00  -  7:14,82279665,Southern,Livingstone,Urban,Female,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 1675- K2,499",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,12:00  -  12:14,12:30  -  12:44,20:00  -  20:14,20:15  -  20:29"
7:15  -  7:29,82279665,Southern,Livingstone,Urban,Female,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 1675- K2,499",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,12:00  -  12:14,12:30  -  12:44,20:00  -  20:14,20:15  -  20:29"
20:15  -  20:29,82279665,Southern,Livingstone,Urban,Female,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 1675- K2,499",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,12:00  -  12:14,12:30  -  12:44,20:00  -  20:14,20:15  -  20:29"
12:30  -  12:44,82279665,Southern,Livingstone,Urban,Female,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 1675- K2,499",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,12:00  -  12:14,12:30  -  12:44,20:00  -  20:14,20:15  -  20:29"
12:00  -  12:14,82279665,Southern,Livingstone,Urban,Female,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 1675- K2,499",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,12:00  -  12:14,12:30  -  12:44,20:00  -  20:14,20:15  -  20:29"
18:00  -  18:14,82363056,Southern,Livingstone,Urban,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,No,25 – 34,"15:00  -  15:14,18:00  -  18:14"
15:00  -  15:14,82363056,Southern,Livingstone,Urban,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,No,25 – 34,"15:00  -  15:14,18:00  -  18:14"
18:00  -  18:14,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
20:00  -  20:14,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
18:30  -  18:44,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
18:15  -  18:29,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
20:45  -  20:58,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
20:30  -  20:44,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
19:30  -  19:44,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
19:15  -  19:29,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
18:45  -  18:59,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
19:00  -  19:14,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
19:45  -  19:59,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
20:15  -  20:29,82364581,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Other Christian,Student,D,Under K 849,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:58"
6:00  -  6:14,82367016,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"6:00  -  6:14,7:00  -  7:14"
7:00  -  7:14,82367016,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"6:00  -  6:14,7:00  -  7:14"
