Kafue  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kafue  Sunday
5:00  -  5:14,60606892,Lusaka,Kafue,Urban,Female,1,None,AB,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"5:00  -  5:14,11:45  -  11:59"
11:45  -  11:59,60606892,Lusaka,Kafue,Urban,Female,1,None,AB,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"5:00  -  5:14,11:45  -  11:59"
