PASME  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Friday
12:15  -  12:29,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
9:00  -  9:14,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
11:15  -  11:29,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
7:15  -  7:29,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
8:45  -  8:59,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
12:30  -  12:44,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
11:00  -  11:14,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
7:30  -  7:44,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
7:45  -  7:59,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
7:00  -  7:14,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:00  -  9:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
