Chimwemwe  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe  Yesterday
19:15  -  19:29,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18:00  -  18:14,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18:45  -  18:59,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:45  -  19:59,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18:30  -  18:44,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18:15  -  18:29,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
