Petauke Explorers  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Wednesday
20:00  -  20:14,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10:00  -  10:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:45  -  10:59,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:30  -  8:44,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:45  -  8:59,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:00  -  8:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:30  -  10:44,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:15  -  8:29,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:30  -  14:44,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:15  -  10:29,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
17:30  -  17:44,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:45  -  17:59,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:00  -  17:14,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:15  -  17:29,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
