Yangeni FM analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Yangeni FM
9:30  -  9:44,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,"
8:45  -  8:59,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,"
8:15  -  8:29,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,"
9:15  -  9:29,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,"
8:00  -  8:14,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,"
9:00  -  9:14,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,"
8:30  -  8:44,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,"
8:00  -  8:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
8:45  -  8:59,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
6:30  -  6:44,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
7:15  -  7:29,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
5:15  -  5:29,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
7:45  -  7:59,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
8:15  -  8:29,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
7:30  -  7:44,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
5:30  -  5:44,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
5:00  -  5:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
6:45  -  6:59,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
7:00  -  7:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
9:00  -  9:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
6:15  -  6:29,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
6:00  -  6:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
5:45  -  5:59,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
8:30  -  8:44,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,,"
18:15  -  18:29,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
18:30  -  18:44,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
18:00  -  18:14,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
17:30  -  17:44,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
17:45  -  17:59,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
17:15  -  17:29,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
21:00  -  21:14,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,"
21:45  -  21:59,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,"
20:45  -  20:59,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,"
20:30  -  20:44,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,"
21:30  -  21:44,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,"
21:15  -  21:29,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,"
8:45  -  8:59,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,",,,,,,,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:15  -  7:29,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,",,,,,,,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:45  -  6:59,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,",,,,,,,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
