Serenje  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Serenje  Sunday
8:30  -  8:44,134724879,Central,Serenje,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:45  -  8:59,134724879,Central,Serenje,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:00  -  8:14,134724879,Central,Serenje,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:30  -  9:44,134724879,Central,Serenje,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:15  -  9:29,134724879,Central,Serenje,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:45  -  9:59,134724879,Central,Serenje,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:15  -  8:29,134724879,Central,Serenje,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:15  -  18:29,134788042,Central,Serenje,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"12:15  -  12:29,14:00  -  14:14,14:15  -  14:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29,18:45  -  18:59,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59,21:30  -  21:44,22:00  -  22:14,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
23:00  -  23:14,134788042,Central,Serenje,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"12:15  -  12:29,14:00  -  14:14,14:15  -  14:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29,18:45  -  18:59,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59,21:30  -  21:44,22:00  -  22:14,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
0:45  -  0:59,134788042,Central,Serenje,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"12:15  -  12:29,14:00  -  14:14,14:15  -  14:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29,18:45  -  18:59,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59,21:30  -  21:44,22:00  -  22:14,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
