Isoka  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Isoka  Saturday
5:45  -  5:59,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
6:15  -  6:29,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
20:15  -  20:29,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
19:30  -  19:44,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
5:00  -  5:14,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
5:30  -  5:44,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
18:00  -  18:14,60719858,Muchinga,Nakonde,Rural,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:45  -  17:59,60719858,Muchinga,Nakonde,Rural,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:30  -  17:44,60719858,Muchinga,Nakonde,Rural,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:15  -  17:29,60719858,Muchinga,Nakonde,Rural,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,60719858,Muchinga,Nakonde,Rural,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:00  -  17:14,60719858,Muchinga,Nakonde,Rural,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,60719858,Muchinga,Nakonde,Rural,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
