Sun  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Sun  Wednesday
13:45  -  13:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
11:30  -  11:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
8:00  -  8:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
10:45  -  10:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
17:00  -  17:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
7:15  -  7:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
8:15  -  8:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
7:45  -  7:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
7:00  -  7:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
15:30  -  15:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
11:15  -  11:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
13:15  -  13:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
13:45  -  13:59,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
14:00  -  14:14,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:30  -  13:44,60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
6:00  -  6:14,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,7:45  -  7:59"
7:45  -  7:59,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,7:45  -  7:59"
6:00  -  6:14,60650162,Copperbelt,Chilililabombwe,Urban,Male,1,None,AB,Completed high School,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44"
6:30  -  6:44,60650162,Copperbelt,Chilililabombwe,Urban,Male,1,None,AB,Completed high School,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44"
21:00  -  21:14,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:30  -  23:44,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:30  -  21:44,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:45  -  22:59,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:15  -  23:29,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:45  -  21:59,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:15  -  22:29,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:00  -  22:14,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:30  -  22:44,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:15  -  21:29,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
6:30  -  6:44,60745325,Copperbelt,Chilililabombwe,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,No Income,No Income,Yes,19 – 24,"6:30  -  6:44,7:30  -  7:44"
7:30  -  7:44,60745325,Copperbelt,Chilililabombwe,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,No Income,No Income,Yes,19 – 24,"6:30  -  6:44,7:30  -  7:44"
19:15  -  19:29,60745448,Copperbelt,Ndola,Urban,Female,0,None,C2,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44"
19:30  -  19:44,60745448,Copperbelt,Ndola,Urban,Female,0,None,C2,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44"
6:00  -  6:14,60780477,Copperbelt,Luanshya,Urban,Male,3,None,C1,Some university,Anglican/Protestant,Working Full-Time,D,"K 5,365  -  K 6,102",Yes,25 – 34,6:00  -  6:14
