BBC  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC  Monday
20:00  -  20:14,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,20:00  -  20:14"
5:15  -  5:29,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:45  -  5:59,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
6:00  -  6:14,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:00  -  5:14,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:30  -  5:44,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
6:30  -  6:44,60635406,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:00  -  6:14,60635406,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60635406,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60635406,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
12:00  -  12:14,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:30  -  12:44,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
11:30  -  11:44,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
11:15  -  11:29,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:15  -  12:29,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
11:45  -  11:59,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
