Rise analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rise
11:30  -  11:44,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:15  -  9:29,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:15  -  10:29,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
8:00  -  8:14,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:30  -  10:44,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:45  -  10:59,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:45  -  11:59,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:00  -  9:14,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
8:30  -  8:44,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
14:15  -  14:29,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
14:00  -  14:14,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
14:45  -  14:59,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
14:30  -  14:44,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
16:00  -  16:14,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,",,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,,,,,,"
16:15  -  16:29,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,",,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,,,,,,"
15:00  -  15:14,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,",,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,,,,,,"
15:45  -  15:59,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,",,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,,,,,,"
15:15  -  15:29,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,",,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,,,,,,"
15:30  -  15:44,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,",,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,,,,,,"
18:30  -  18:44,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,,,"
18:15  -  18:29,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,,,"
18:45  -  18:59,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,,,"
19:00  -  19:14,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,,,"
18:00  -  18:14,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,,,"
14:15  -  14:29,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,",,,,,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,,"
14:00  -  14:14,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,",,,,,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,,"
14:30  -  14:44,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,",,,,,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,,"
9:30  -  9:44,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
8:45  -  8:59,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
9:45  -  9:59,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
8:15  -  8:29,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
10:00  -  10:14,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
9:15  -  9:29,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
10:15  -  10:29,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
8:00  -  8:14,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
10:30  -  10:44,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
10:45  -  10:59,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
9:00  -  9:14,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
8:30  -  8:44,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,"
19:30  -  19:44,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,,"
20:00  -  20:14,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,,"
19:45  -  19:59,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,,"
19:00  -  19:14,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,,"
19:15  -  19:29,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,,"
21:00  -  21:14,60712974,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,"
20:45  -  20:59,60712974,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,"
20:30  -  20:44,60712974,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,"
21:30  -  21:44,60712974,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,"
21:15  -  21:29,60712974,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,",,,,,,,,,,,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,"
16:00  -  16:14,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,",,,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,,,,"
15:00  -  15:14,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,",,,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,,,,"
15:45  -  15:59,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,",,,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,,,,"
15:15  -  15:29,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,",,,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,,,,"
15:30  -  15:44,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,",,,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,,,,"
13:30  -  13:44,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,,,,,,"
13:45  -  13:59,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,,,,,,"
13:15  -  13:29,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,,,,,,"
13:00  -  13:14,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,,,,,,"
5:15  -  5:29,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,",,,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,,,"
5:30  -  5:44,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,",,,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,,,"
5:00  -  5:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,",,,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,,,"
6:00  -  6:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,",,,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,,,"
5:45  -  5:59,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,",,,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,,,"
10:00  -  10:14,60745446,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,,,,,,8:00  -  8:14,10:00  -  10:14,,,"
8:00  -  8:14,60745446,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,,,,,,8:00  -  8:14,10:00  -  10:14,,,"
11:00  -  11:14,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,,,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,"
9:30  -  9:44,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,,,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,"
9:45  -  9:59,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,,,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,"
10:00  -  10:14,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,,,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,"
10:15  -  10:29,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,,,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,"
9:15  -  9:29,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,,,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,"
10:30  -  10:44,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,,,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,"
10:45  -  10:59,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,,,,,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,"
13:15  -  13:29,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,",,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,,,,,,,"
13:30  -  13:44,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,",,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,,,,,,,"
13:00  -  13:14,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,",,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,,,,,,,"
14:00  -  14:14,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,",,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,,,,,,,"
13:45  -  13:59,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,",,,,,,,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,,,,,,,"
19:30  -  19:44,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,",,,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
18:30  -  18:44,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,",,,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
