QFM  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,QFM  Friday
11:30  -  11:44,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
7:15  -  7:29,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:45  -  11:59,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
6:15  -  6:29,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
7:00  -  7:14,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
7:00  -  7:14,60615792,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14"
12:00  -  12:14,60701172,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,45+,",10:00  -  10:14,12:00  -  12:14"
10:00  -  10:14,60701172,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,45+,",10:00  -  10:14,12:00  -  12:14"
12:00  -  12:14,60707844,Copperbelt,Kitwe,Rural,Female,3,None,C2,Completed high School,Others,Self employed,D,"K 3,155   -  K 3,890",Yes,25 – 34,",12:00  -  12:14,13:00  -  13:14"
13:00  -  13:14,60707844,Copperbelt,Kitwe,Rural,Female,3,None,C2,Completed high School,Others,Self employed,D,"K 3,155   -  K 3,890",Yes,25 – 34,",12:00  -  12:14,13:00  -  13:14"
18:00  -  18:14,60772790,Eastern,Chipata,Rural,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",18:00  -  18:14,19:00  -  19:14"
19:00  -  19:14,60772790,Eastern,Chipata,Rural,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",18:00  -  18:14,19:00  -  19:14"
19:15  -  19:29,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:00  -  18:14,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:45  -  18:59,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:30  -  18:44,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
