One Love  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,One Love  Friday
17:00  -  17:14,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,",17:00  -  17:14,21:00  -  21:14"
21:00  -  21:14,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,",17:00  -  17:14,21:00  -  21:14"
