Yar analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Yar
4:15  -  4:29,60560018,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"3:30  -  3:44,4:00  -  4:14,4:00  -  4:14,4:15  -  4:29,4:15  -  4:29,4:45  -  4:59,3:45  -  3:59,4:45  -  4:59,4:30  -  4:44,6:15  -  6:29,,5:00  -  5:14,6:15  -  6:29"
4:45  -  4:59,60560018,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"3:30  -  3:44,4:00  -  4:14,4:00  -  4:14,4:15  -  4:29,4:15  -  4:29,4:45  -  4:59,3:45  -  3:59,4:45  -  4:59,4:30  -  4:44,6:15  -  6:29,,5:00  -  5:14,6:15  -  6:29"
6:15  -  6:29,60560018,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"3:30  -  3:44,4:00  -  4:14,4:00  -  4:14,4:15  -  4:29,4:15  -  4:29,4:45  -  4:59,3:45  -  3:59,4:45  -  4:59,4:30  -  4:44,6:15  -  6:29,,5:00  -  5:14,6:15  -  6:29"
4:30  -  4:44,60560018,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"3:30  -  3:44,4:00  -  4:14,4:00  -  4:14,4:15  -  4:29,4:15  -  4:29,4:45  -  4:59,3:45  -  3:59,4:45  -  4:59,4:30  -  4:44,6:15  -  6:29,,5:00  -  5:14,6:15  -  6:29"
3:45  -  3:59,60560018,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"3:30  -  3:44,4:00  -  4:14,4:00  -  4:14,4:15  -  4:29,4:15  -  4:29,4:45  -  4:59,3:45  -  3:59,4:45  -  4:59,4:30  -  4:44,6:15  -  6:29,,5:00  -  5:14,6:15  -  6:29"
3:30  -  3:44,60560018,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"3:30  -  3:44,4:00  -  4:14,4:00  -  4:14,4:15  -  4:29,4:15  -  4:29,4:45  -  4:59,3:45  -  3:59,4:45  -  4:59,4:30  -  4:44,6:15  -  6:29,,5:00  -  5:14,6:15  -  6:29"
8:45  -  8:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
7:15  -  7:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
7:45  -  7:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
8:15  -  8:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
