Chimwemwe  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe  Sunday
20:00  -  20:14,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
5:30  -  5:44,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:00  -  5:14,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:45  -  5:59,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
6:00  -  6:14,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:15  -  5:29,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
19:45  -  19:59,60778659,Copperbelt,Ndola,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,45+,"17:30  -  17:44,19:45  -  19:59"
17:30  -  17:44,60778659,Copperbelt,Ndola,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,45+,"17:30  -  17:44,19:45  -  19:59"
7:15  -  7:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
8:00  -  8:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:00  -  7:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
