,AMC Series  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,AMC Series  Sunday
14,7:30  -  7:44,135122211,Central,Kabwe,Urban,Male,0,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
15,7:45  -  7:59,135122211,Central,Kabwe,Urban,Male,0,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
16,8:00  -  8:14,134994349,Muchinga,Mpika,Rural,Male,0,,C2,Secondary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
17,7:15  -  7:29,134994349,Muchinga,Mpika,Rural,Male,0,,C2,Secondary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
18,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,134994349,Muchinga,Mpika,Rural,Male,0,,C2,Secondary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
19,7:30  -  7:44,134994349,Muchinga,Mpika,Rural,Male,0,,C2,Secondary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
20,7:45  -  7:59,134994349,Muchinga,Mpika,Rural,Male,0,,C2,Secondary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
21,8:00  -  8:14,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
22,7:15  -  7:29,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
23,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
24,7:30  -  7:44,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
25,7:45  -  7:59,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
26,8:00  -  8:14,134711512,Northern,Mungwi,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
27,7:15  -  7:29,134711512,Northern,Mungwi,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
28,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,134711512,Northern,Mungwi,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
29,7:30  -  7:44,134711512,Northern,Mungwi,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
30,7:45  -  7:59,134711512,Northern,Mungwi,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
31,8:00  -  8:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
32,7:15  -  7:29,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
33,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
34,7:30  -  7:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
35,7:45  -  7:59,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
36,8:00  -  8:14,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
37,7:15  -  7:29,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
38,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
39,7:30  -  7:44,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
40,7:45  -  7:59,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
