,E! Entertainment  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Saturday
17,18:45  -  18:59,60831230,Lusaka,Lusaka district,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18,19:00  -  19:14,60831230,Lusaka,Lusaka district,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
19,18:30  -  18:44,60831230,Lusaka,Lusaka district,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
20,11:15  -  11:29,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
21,11:00  -  11:14,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
22,11:30  -  11:44,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
23,17:45  -  17:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
24,19:00  -  19:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
25,17:00  -  17:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
26,17:30  -  17:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
27,18:00  -  18:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
28,19:15  -  19:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
29,18:45  -  18:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
30,19:30  -  19:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
31,18:15  -  18:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
32,18:30  -  18:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
33,19:45  -  19:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
