,Disney Channel  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney Channel  Friday
0,14:15  -  14:29,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
1,14:45  -  14:59,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
2,15:00  -  15:14,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
3,14:00  -  14:14,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
4,14:30  -  14:44,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
5,21:15  -  21:29,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
6,20:30  -  20:44,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
7,19:00  -  19:14,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
8,19:15  -  19:29,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
9,19:30  -  19:44,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
10,21:45  -  21:59,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
11,18:45  -  18:59,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
