,Fox Entertainment  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox Entertainment  Monday
0,16:00  -  16:14,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
1,16:15  -  16:29,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
2,17:45  -  17:59,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
3,17:00  -  17:14,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
4,17:30  -  17:44,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
5,16:45  -  16:59,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
6,17:15  -  17:29,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
7,16:30  -  16:44,60556428,Muchinga,Nakonde,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,Do not know,No Income,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
