,Fashion TV  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fashion TV  Wednesday
10,16:15  -  16:29,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
11,16:30  -  16:44            3:00  -  3:14,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
12,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
13,10:15  -  10:29,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
14,16:00  -  16:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
15,16:15  -  16:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
16,16:30  -  16:44            3:00  -  3:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
17,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
18,10:15  -  10:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
19,16:00  -  16:14,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
20,16:15  -  16:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
21,16:30  -  16:44            3:00  -  3:14,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
22,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
23,10:15  -  10:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       16:00  -  16:14,16:15  -  16:29,16:30  -  16:44            3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
