,Channel O  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Channel O  Yesterday
0,6:00  -  6:14,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29"
1,6:15  -  6:29,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29"
2,16:00  -  16:14,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
3,16:15  -  16:29,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
4,14:15  -  14:29,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
5,14:45  -  14:59,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
6,15:00  -  15:14,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
7,14:00  -  14:14,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
8,15:45  -  15:59,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
9,14:30  -  14:44,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
10,15:30  -  15:44,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
11,16:30  -  16:44,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
12,15:15  -  15:29,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
13,13:45  -  13:59,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:30  -  8:44,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14,12:00  -  12:14,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:30  -  8:44,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
15,10:15  -  10:29,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:30  -  8:44,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
16,14:45  -  14:59,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:30  -  8:44,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
