,Discovery Channel  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Yesterday
15,18:30  -  18:44,60670295,Southern,Mazabuka,Urban,Male,1,None,AB,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
16,17:15  -  17:29,60670295,Southern,Mazabuka,Urban,Male,1,None,AB,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
17,21:15  -  21:29,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
18,22:30  -  22:44,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
19,22:00  -  22:14,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
20,22:15  -  22:29,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
21,21:45  -  21:59,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22,22:45  -  22:59,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
23,21:00  -  21:14,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
24,21:30  -  21:44,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
