,Chipata  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chipata  Friday
0,19:00  -  19:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
1,18:00  -  18:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
2,19:15  -  19:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
3,19:30  -  19:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
4,18:45  -  18:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
5,18:15  -  18:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
6,18:30  -  18:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
7,19:45  -  19:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
8,12:15  -  12:29,82210552,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Other (specify),C1,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
9,12:00  -  12:14,82210552,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Other (specify),C1,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
10,11:15  -  11:29,82210552,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Other (specify),C1,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
11,10:45  -  10:59,82210552,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Other (specify),C1,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12,11:00  -  11:14,82210552,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Other (specify),C1,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
13,12:45  -  12:59,82210552,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Other (specify),C1,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
