,Fox News  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox News  Friday
44,20:00  -  20:14,135149963,Luapula,Samfya,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
45,20:45  -  20:59,135149963,Luapula,Samfya,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
46,19:45  -  19:59,135149963,Luapula,Samfya,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
47,20:15  -  20:29,135149963,Luapula,Samfya,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
48,20:30  -  20:44,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
49,19:00  -  19:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
50,19:15  -  19:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
51,19:30  -  19:44,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
52,20:00  -  20:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
53,20:45  -  20:59,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
54,19:45  -  19:59,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
55,20:15  -  20:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
56,20:30  -  20:44,134763865,Northern,Mungwi,Rural,Male,1,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
57,19:00  -  19:14,134763865,Northern,Mungwi,Rural,Male,1,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
58,19:15  -  19:29,134763865,Northern,Mungwi,Rural,Male,1,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
59,19:30  -  19:44,134763865,Northern,Mungwi,Rural,Male,1,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
60,20:00  -  20:14,134763865,Northern,Mungwi,Rural,Male,1,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
61,20:45  -  20:59,134763865,Northern,Mungwi,Rural,Male,1,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
62,19:45  -  19:59,134763865,Northern,Mungwi,Rural,Male,1,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
63,20:15  -  20:29,134763865,Northern,Mungwi,Rural,Male,1,,DE,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
64,20:30  -  20:44,134965408,Western,Mongu,Urban,Female,0,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
65,19:00  -  19:14,134965408,Western,Mongu,Urban,Female,0,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
66,19:15  -  19:29,134965408,Western,Mongu,Urban,Female,0,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
67,19:30  -  19:44,134965408,Western,Mongu,Urban,Female,0,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
