,Fox News  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox News  Friday
14,19:45  -  19:59,134779234,Central,Mkushi,Rural,Female,1,,C2,Secondary,Other,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
15,20:15  -  20:29,134779234,Central,Mkushi,Rural,Female,1,,C2,Secondary,Other,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
16,20:30  -  20:44,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
17,19:00  -  19:14,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
18,19:15  -  19:29,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
19,19:30  -  19:44,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
20,20:00  -  20:14,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
21,20:45  -  20:59,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
22,19:45  -  19:59,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
23,20:15  -  20:29,134847534,Muchinga,Mpika,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 3,891  -  K 4,627",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
24,20:30  -  20:44,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
25,19:00  -  19:14,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
26,19:15  -  19:29,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
27,19:30  -  19:44,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
28,20:00  -  20:14,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
29,20:45  -  20:59,134817237,Muchinga,Mpika,Urban,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                      19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
