,Discovery Channel  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Monday
60,19:00  -  19:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
61,16:45  -  16:59,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
62,21:15  -  21:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
63,16:15  -  16:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
64,19:30  -  19:44,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
65,20:45  -  20:59,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
66,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
67,20:30  -  20:44,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
68,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
69,21:00  -  21:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
70,20:00  -  20:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
71,18:30  -  18:44,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
72,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
73,16:30  -  16:44,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
74,20:15  -  20:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
75,19:15  -  19:29,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
76,18:45  -  18:59,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
77,10:15  -  10:29,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
78,18:15  -  18:29,134846081,Northern,Kasama,Urban,Male,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"                                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
