,Channel O  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Channel O  Tueday
30,20:00  -  20:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29"
31,20:15  -  20:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29"
32,19:00  -  19:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
33,18:00  -  18:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
34,19:15  -  19:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
35,19:30  -  19:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
36,18:45  -  18:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
37,18:15  -  18:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
38,20:00  -  20:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
39,18:30  -  18:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
40,19:45  -  19:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
41,19:00  -  19:14,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
42,19:30  -  19:44,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
43,19:15  -  19:29,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
