,CNN  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,CNN  Sunday
47,18:15  -  18:29,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
48,6:30  -  6:44,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
49,18:30  -  18:44,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
50,13:30  -  13:44,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
51,6:00  -  6:14,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
52,6:45  -  6:59,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
53,18:45  -  18:59,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
54,19:45  -  19:59                                           7:00  -  7:14,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
55,19:15  -  19:29,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
56,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
57,7:00  -  7:14,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
58,13:15  -  13:29,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
59,7:30  -  7:44,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
60,7:45  -  7:59,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
61,19:30  -  19:44,134851083,Central,Mkushi,Urban,Female,0,,DE,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
62,6:15  -  6:29,135141186,Central,Kabwe,Urban,Male,0,,DE,Primary,Christian,Not employed,D,Under K 849,,45+,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
63,7:15  -  7:29,135141186,Central,Kabwe,Urban,Male,0,,DE,Primary,Christian,Not employed,D,Under K 849,,45+,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
64,19:00  -  19:14,135141186,Central,Kabwe,Urban,Male,0,,DE,Primary,Christian,Not employed,D,Under K 849,,45+,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
65,13:45  -  13:59    18:00  -  18:14,135141186,Central,Kabwe,Urban,Male,0,,DE,Primary,Christian,Not employed,D,Under K 849,,45+,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
66,18:15  -  18:29,135141186,Central,Kabwe,Urban,Male,0,,DE,Primary,Christian,Not employed,D,Under K 849,,45+,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
67,6:30  -  6:44,135141186,Central,Kabwe,Urban,Male,0,,DE,Primary,Christian,Not employed,D,Under K 849,,45+,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
