SbjNum,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Billboards make the environment look colourful,I trust a brand/product that is advertised on a billboard,I’m more likely to buy a brand/product that is advertised on a billboard,I find brand/product information on a billboard useful,Billboards too close to each other make the environment look cluttered or messy,I remember the billboard adverts when I see the product/brand on the shelf in a store
60505068,Longer Ago,Past 4 Weeks,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,can't remember,food and soap,,can't remember,,,,,,can't remember,,,can't remember,,,,,,Agree,DK (DON’T READ),Disagree,Agree,Agree,Strongly Disagree
60505620,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Yesterday,Not seen,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,mobile monister,,,,,,soche,the wire force,,soche,soche,,,,,,,airtel money,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
60506416,Past 3 months,Longer Ago,Longer Ago,Longer Ago,Past 3 months,Past 3 months,Past 3 months,Past 3 months,Past 3 months,Past 7 Days,Past 7 Days,Not seen,Past 7 Days,Not seen,Not seen,Longer Ago,Past 7 Days,Past 3 months,Kitchen party,MTN,nil,nil,I have forgotten,Zanaco,nil,Obbys houses,nil,Witch doctor,The chairs,,nil,,,nil,nil,Shoprite,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree
60506417,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Not seen,Longer Ago,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,,,,,,,,,nil,,nil,,nil,,,,,nil,DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ)
60506418,Longer Ago,Longer Ago,Longer Ago,Past 4 Weeks,Not seen,Not seen,Not seen,Longer Ago,Past 7 Days,Past 7 Days,Not seen,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,nil,Can't remember,The trucks which one can use when building,Can't remember,,,,Can't remember,Can't remember,About schools,,,Can't remember,,,,,Can't remember,Agree,Agree,Agree,Agree,Strongly Disagree,Agree
60508564,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,,,,,,,,,,,,,,,,,,,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
60508779,Yesterday,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Past 7 Days,Not seen,ZESCO,,,mineral water,,,,nil,,,,,airtel,,,,castle lite,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
60510231,Not seen,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Longer Ago,Past 7 Days,Longer Ago,Not seen,Past 3 months,Past 7 Days,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,,,,Can't remember,,,Can't remember,Can't remember,Can't remember,,nil,nil,nil,,,,,,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree
60513115,Past 7 Days,Not seen,Yesterday,Not seen,Past 4 Weeks,Not seen,Not seen,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,shoprite,,the hospital,,"welcome , Aqua savana",,,Top star,Boom,,,,,,,,,shoprite and red rock,Disagree,Agree,Strongly Agree,Agree,Agree,Agree
60514495,Yesterday,Yesterday,Yesterday,Longer Ago,Past 4 Weeks,Not seen,Not seen,Not seen,Yesterday,Yesterday,Yesterday,Not seen,Yesterday,Not seen,Not seen,Not seen,Past 7 Days,Yesterday,Mtn Matebeto advert,Mall stores eg Pick and pay,Mall construction,Insurance company,,,,,Zoon,,"Chairs,sofers",,Colgate,,,,Fueling station,Airtel,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree
60514496,Yesterday,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Yesterday,Yesterday,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Mtn and Airtel,,Construction of a hospital,,,,,,Zoona,Church seminars,Sofers,,"variety eg colgate,Airtime,Samsung phones",,,,,Proflight,Disagree,Agree,Agree,Agree,Agree,Agree
60514497,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Yesterday,FNB,,,,,,,,,,"Sofers,chairs etc",,Phones and accessories,,,,,Zambian Loto,Disagree,Agree,Disagree,Agree,Agree,Agree
60514498,Yesterday,Not seen,Yesterday,Longer Ago,Not seen,Longer Ago,Longer Ago,Past 7 Days,Not seen,Not seen,Yesterday,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Yesterday,Yesterday,Barclays bank,,Hospital,,,,,,,,,,Phones,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60514499,Yesterday,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Yesterday,Yesterday,Not seen,Past 7 Days,Not seen,Not seen,Yesterday,Not seen,Yesterday,Mtn,,Hospital construction,,,,,,Zoona,Church gatherings/houses for rent,Sofers,,Phones,,,Shoprite,,Zambian Loto,Agree,Agree,Agree,Agree,Agree,Agree
60514730,Yesterday,Not seen,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Longer Ago,Not seen,Not seen,Not seen,Past 7 Days,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,boom powder,,,Nick nax,,,,Gotv,,,,mtn colours,drawings,,,,,,Agree,Agree,Agree,Agree,Disagree,Agree
60514731,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,dstv,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Strongly Disagree,Agree
60514732,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Edgar,,,,,,,,,,,,,,,,,,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Agree
60514733,Past 3 months,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,mtn,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Disagree,Strongly Agree
60514734,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,dstv,,,,,,,,,,,,,,,,,,Strongly Agree,Agree,Agree,Agree,Disagree,Agree
60514735,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,beer,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Disagree,Agree
60515239,Yesterday,Longer Ago,Yesterday,Past 7 Days,Not seen,Not seen,Yesterday,Past 7 Days,Not seen,Longer Ago,Not seen,Longer Ago,Not seen,Not seen,Not seen,Past 3 months,Longer Ago,Longer Ago,airtel,mtn,can't  remember,can't remember,,,can't remember,can't remember,,can't remember,,can't remember,,,,can't remember,can't remember,can't remember,Agree,Agree,Agree,Agree,Agree,Agree
60515240,Past 7 Days,Past 3 months,Longer Ago,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,airtel,can't remember,can't remember,can't remember,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
