SbjNum,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Billboards make the environment look colourful,I trust a brand/product that is advertised on a billboard,I’m more likely to buy a brand/product that is advertised on a billboard,I find brand/product information on a billboard useful,Billboards too close to each other make the environment look cluttered or messy,I remember the billboard adverts when I see the product/brand on the shelf in a store
60584015,Yesterday,Not seen,Not seen,Longer Ago,Not seen,Not seen,Longer Ago,Past 4 Weeks,Past 7 Days,Not seen,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Longer Ago,Not seen,zonse supermarket,,,bullet,,,zamtel,zamtel,can't remember,,,,can't remember,,,,can't remember,,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree
60584110,Past 7 Days,Longer Ago,Longer Ago,Yesterday,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Zambeef,,,,,,,,,,,,,,,,,,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
60584111,Longer Ago,Longer Ago,Longer Ago,Past 7 Days,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Longer Ago,Not seen,Longer Ago,Zambeef,nil,,an advert of a Lodge,,,,,,,,,,,,,,,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree
60584112,Past 7 Days,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Longer Ago,Not seen,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Longer Ago,Not seen,Longer Ago,Zambeef,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
60585280,Yesterday,Past 7 Days,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Yesterday,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Yesterday,Apple Max,,,,,,,,,Traditional healers,,,,,,,,"Airtel,Shoprite,boom",Agree,Agree,Agree,Agree,Agree,Agree
60585281,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Yesterday,Not seen,Past 7 Days,Not seen,Not seen,Past 7 Days,Past 7 Days,Yesterday,"Applemax,professional insurance",,,,,,,,,,,,,,,,,"Shoprite,",Agree,Agree,Agree,Agree,Agree,Agree
60585282,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Past 7 Days,Yesterday,Not seen,Not seen,Not seen,Past 7 Days,Yesterday,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60585283,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,"FNB,Shoprite",,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60585284,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Yesterday,Yesterday,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Yesterday,,,Roads,,,,,Insurance,,,,,,,,,,Various products eg boom,Agree,Agree,Agree,Agree,Agree,Disagree
60585285,Yesterday,Longer Ago,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Past 7 Days,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Zanaco,Mall shops,Roads,,,,,,Boom,Church adverts,,,,,,,,Various products,Agree,Agree,Agree,Agree,Agree,Agree
60585286,Yesterday,Yesterday,Yesterday,Longer Ago,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Yesterday,Yesterday,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Yesterday,Mtn,Mud,Roads,New Generation FM,,,,,Detergents,Church gatherings,Sofers,,,,,,,Airtel,Agree,Agree,Agree,Agree,Agree,Agree
60585748,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,life boy soap,can't remember,pick n pay,Airtel mobile money/ Vaseline,can't remember,can't remember,zoona mobile money/ no smoking,Amazon sweets,Zamtel chabeba,nestle cremora,Airtel soche,top star,coca cola/ pepsi,can't remember,can't remember,game stores,barber shop,trade kings (boom powder soap),Agree,Agree,Agree,Agree,Agree,Agree
60585802,Yesterday,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Chaopena na so che,,,,,Pay you bills with Airtel money,,,,,,,Discount on baby's clothing at your nearest pep store,,,,,,Agree,Agree,Strongly Agree,Agree,Disagree,Agree
60586416,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Mtn mobile money,,,,,,,,Amazon pop's,,,,,,,,,,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree
60587835,Yesterday,Yesterday,Yesterday,Longer Ago,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,"samsung phones, trade kings advert",phones,dont remember,dont remember,,,dont remember,dont remember,dont remember,dont remember,dont remember,dont remember,dont remember,dont remember,dont remember,dont remember,dont remember,dont remember,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree
60587836,Yesterday,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Longer Ago,adverts about private schools,dont remember,dont remember,dont remember,,,,,,,,,,,,,dont remember,dont remember,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
60587930,Yesterday,Yesterday,Yesterday,Yesterday,Longer Ago,Not seen,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Yesterday,Not seen,Yesterday,Lotto,,,,,,,,,,,,,,,,,Lotto,Agree,Agree,Agree,Agree,Agree,Agree
60588021,Past 3 months,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,council lodge,,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Agree,Agree,Agree
60588022,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,campaign issues,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60588023,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60588024,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,golden lay eggs,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60588025,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,,,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Agree,Agree,Disagree
60588026,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,university picture,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60588027,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,campaign issues,,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Agree,Agree,Agree
60588153,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 4 Weeks,Yesterday,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,mtn,,,,,,,none,boom,,,mtn,,,,,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
60588154,Yesterday,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,airtel advert,,none,none,,,,,don't remember,,none,,,,,,,don't remember,Strongly Agree,Agree,Agree,Agree,Agree,Agree
60588155,Yesterday,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,Longer Ago,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Past 7 Days,Not seen,Longer Ago,Airtel advert,,none,none,,,,,paint advert,don't remember,,don't remember,don't remember,,,shoprite,,don't remember,Agree,Agree,Agree,Agree,Strongly Agree,Agree
60588156,Yesterday,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Past 3 months,Not seen,Not seen,Finance Bank Advert,,none,,,,,none,none,none,,,,,,none,,,Agree,Agree,Agree,Agree,Agree,Agree
60588157,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 4 Weeks,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Mtn advert,,,,,,,cant remember,cant remember,,,,,,,,,,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
60588158,Yesterday,Not seen,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Longer Ago,Past 7 Days,Past 7 Days,Not seen,Past 7 Days,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,Mtn advert,,none,none,none,,,none,cant remember,cant remember,,cant remember,none,,,,,Zambian Loto advert,Agree,Agree,Agree,Agree,Strongly Agree,Agree
60588159,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Finance Bank Advert,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60588160,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,mtn advert,,,,,,,,don't remember,,,,,,,,,don't remember,Strongly Agree,Agree,Agree,Agree,Agree,Agree
60588161,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Mulungushi university,,,,,,,0,0,0,,,,,,,,0,Agree,Agree,Agree,Agree,Agree,Strongly Agree
60588162,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 3 months,mtn advert,,,,,,,,,0,,,,,,,,0,Strongly Agree,Agree,Agree,Agree,Agree,Agree
60588163,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Longer Ago,Past 3 months,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,airtel advert,,,,,,,none,none,none,,,,,,,,Zambian Loto,Agree,Agree,Agree,Agree,Strongly Agree,Agree
60588167,Yesterday,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Longer Ago,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 4 Weeks,mtn advert,don't remember,don't remember,don't remember,,,,don't remember,don't remember,,,,,,,,,don't remember,Strongly Agree,Agree,Agree,Agree,Agree,Agree
60588168,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Longer Ago,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,mtn advert,,,,,,,don't remember,don't remember,don't remember,,,,,,,,don't remember,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
60588169,Yesterday,Past 7 Days,Not seen,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,mtn,don't remember,,,don't remember,,,,,,,don't remember,,,,,,limpos advert,Agree,Agree,Disagree,Agree,Strongly Agree,Agree
60588170,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,mtn,,,,,,,,,,,,,,,,,don't remember,Strongly Agree,Agree,Agree,Agree,Agree,Agree
60588790,Yesterday,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Yesterday,Not seen,Past 4 Weeks,Past 4 Weeks,Not seen,Yesterday,Not seen,Not seen,Past 4 Weeks,Yesterday,Not seen,zambeef,,,aquasavanna,,,,go tv,,music promotions,nil,,parmalat milk,,, shoprite,cocacola,,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree
60588791,Past 4 Weeks,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Past 4 Weeks,Not seen,Longer Ago,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Past 7 Days,Longer Ago,pf,,,zambeef,,,,mtn,,nil,,,mtn,,,,mtn,nil,Agree,Agree,Agree,Agree,Strongly Agree,Agree
60588792,Past 7 Days,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Yesterday,Yesterday,Longer Ago,Past 7 Days,Not seen,Yesterday,Not seen,Not seen,Past 4 Weeks,Past 7 Days,Longer Ago,go tv,,,umukate bakery,,,,mtn matebeto,nil,campaign material,nil,,mtn,,,nil,mtn,nil,Agree,Agree,Agree,Agree,Strongly Agree,Agree
60588793,Not seen,Not seen,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Past 3 months,Not seen,Longer Ago,Not seen,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Longer Ago,Not seen,,,,yoyo,,,,boom,,campaign poster,,,tiger head batteries,,,,nil,,DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ)
60588794,Past 4 Weeks,Not seen,Not seen,Yesterday,Not seen,Not seen,Past 7 Days,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Longer Ago,go tv,,,onga,,,nil,go tv,,,,,m,,,,,maheu,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
60588795,Longer Ago,Not seen,Not seen,Past 4 Weeks,Not seen,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Longer Ago,Not seen,Not seen,nil,,,shake shake,,,nil,go tv,,,,,dlite,,,nil,,,Agree,Agree,DK (DON’T READ),Strongly Agree,Strongly Agree,Disagree
60588796,Yesterday,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Yesterday,Not seen,Past 4 Weeks,Not seen,Not seen,Yesterday,Not seen,Not seen,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,pf,,,parmalat,,,,boom,,nil,,,milk,,,pick n pay,stanbic,mtn,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
60588797,Past 7 Days,Not seen,Not seen,Yesterday,Not seen,Not seen,Past 4 Weeks,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Longer Ago,Longer Ago,airtel soche,,,spinners buscuit,,,nil,,nil,campaign material,,,mtn,,,,mtn,nil,Disagree,Disagree,DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),Strongly Disagree
60595421,Past 7 Days,Past 3 months,Past 7 Days,Past 7 Days,Not seen,Past 3 months,Longer Ago,Past 4 Weeks,Past 7 Days,Past 7 Days,Longer Ago,Past 4 Weeks,Past 4 Weeks,Longer Ago,Not seen,Longer Ago,Past 4 Weeks,Longer Ago,Airtel 4G,can't recall,Dangote,zamchick,,Boom,none,boom,gotv,mtn,none,mtn,Vodafone,none,,none,kubzmall,none,Agree,Agree,Agree,Agree,Agree,Agree
60595422,Past 7 Days,Past 3 months,Past 7 Days,Past 4 Weeks,Not seen,Past 3 months,Not seen,Past 3 months,Past 4 Weeks,Past 3 months,Not seen,Not seen,Past 3 months,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,MTN money,can't remember,lafarge,milkit,,Vodafone,,Boom,Gotv,Happy apple,,,Top up Airtime,can't remember,none,none,,,Agree,Agree,Agree,Agree,Agree,Agree
60595423,Past 7 Days,Past 3 months,Past 4 Weeks,Past 4 Weeks,Not seen,Past 4 Weeks,Not seen,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Past 3 months,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Not seen,Not seen,Longer Ago,Happy apple,can't remember,Dangote,Mosi,,can't remember,,Gotv,GoTv,milkit,can't remember,MTN,Vodafone,Can't remember,none,,,none,Strongly Agree,Agree,Agree,Agree,Agree,Agree
60595424,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Not seen,Not seen,Not seen,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 3 months,Not seen,Not seen,Not seen,Not seen,Tiger Head,none,Dangote,super shake,,,,Top star,GoTv,milkit,none,MTN,Vodafone,none,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60595425,Past 7 Days,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Longer Ago,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Not seen,Past 4 Weeks,Past 4 Weeks,Not seen,Not seen,Not seen,Past 3 months,Not seen,Airtel 4G,can't remember,Dangote,Trade kings,can't remember,Vodafone/Airtel//MTN,can't remember,Sip sip,GOTv,milkit,,MTN,Zamtel/Vodafone/Airtel/MTN,,,,can't recall,,Strongly Agree,Agree,Agree,Agree,Agree,Agree
60595426,Past 7 Days,Not seen,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Past 7 Days,Past 4 Weeks,Past 4 Weeks,Not seen,Past 4 Weeks,Past 4 Weeks,Longer Ago,Not seen,Not seen,Not seen,Not seen,Trade kings,,,zambeef,,,,Boom,GoTv,MTN,,MTN,Vodafone/Airtel/MTN/Zamtel,none,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60595927,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,It showing the presidents,,,,,,,,,,,,,,,,,it was showing people but I couldn't read the words because I can't read,Agree,DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),Strongly Disagree,Agree
60595928,Yesterday,Not seen,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Past 4 Weeks,Decotex,,Mean wood,MTN,Airlines,,,,,Houses  and church programs,,MTN,,,,,,MTN and Airtel,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
60595929,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,I can't remember,,,,,,,,,,,,,,,,,,Agree,Agree,DK (DON’T READ),DK (DON’T READ),Disagree,DK (DON’T READ)
60595930,Yesterday,Yesterday,Not seen,Past 7 Days,Past 3 months,Not seen,Not seen,Past 7 Days,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Not seen,Past 7 Days,Express loans,Can't remember,,Can't remember,Airlines,,,can't remember,,Can't remember,,,,,,Shoprite and pick n pay,,Can't remember because they change very fast,Agree,Agree,Agree,Agree,Agree,Agree
60595931,Yesterday,Past 4 Weeks,Past 4 Weeks,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Past 4 Weeks,Past 4 Weeks,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Not seen,Past 4 Weeks,Itel,Mobile City,can't remember,,,,,,,Fero,,MTN,,,,,,Samsung,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree
60596170,Longer Ago,Not seen,Not seen,Longer Ago,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,zamtel,,,Pepsi drink,,,biscuits mona,mona biscuits,zoona,mtn,,,,,,,,,Agree,Strongly Agree,Agree,Agree,Agree,Disagree
60596171,Past 4 Weeks,Not seen,Not seen,Longer Ago,Past 3 months,Longer Ago,Longer Ago,Longer Ago,Past 3 months,Not seen,Not seen,Not seen,Not seen,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,lafarge,,,zona,can't re,bubble gumrols,mtn,mtn,airtel money,,,,,can't remember,,,,,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
60596986,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Yesterday,Yesterday,Not seen,Yesterday,Yesterday,Not seen,Not seen,Yesterday,Not seen,Yesterday,campaign advertisements,Pedro feeling stations,,,,,,,grape max,car for sale,,mtn,pepsi,,,pick n pay/shoprite,,Intel advertisements,Agree,Agree,Agree,Agree,Disagree,Strongly Agree
60597315,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,It was about the university,,,,,,,,,,,,,,,,,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
60597711,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Not seen,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Past 3 months,Longer Ago,Longer Ago,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
60597809,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,pick and pay,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree
60598338,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,About digital,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Strongly Disagree,Agree
60598428,Yesterday,Yesterday,Not seen,Yesterday,Not seen,Not seen,Not seen,Yesterday,Yesterday,Yesterday,Not seen,Yesterday,Yesterday,Not seen,Not seen,Yesterday,Not seen,Yesterday,colour festival advertisements,total feeling stations,,one by one Ltd.,,,,zamefa,Apple max,church crusades advertisements,,keep copper hill clean,debonairs,,,pick n pay,,various advertisements,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree
60598577,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,,,,,,,,,,,,,Send money using Zoona.,,,,,,Agree,DK (DON’T READ),Agree,Agree,DK (DON’T READ),DK (DON’T READ)
60598761,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Not seen,Yesterday,Past 7 Days,Yesterday,Past 7 Days,Yesterday,Not seen,Past 7 Days,Past 7 Days,Yesterday,Not seen,Past 7 Days,Not seen,Past 4 Weeks,mtn advertisement on phones,shoprite,Don't know,patriotic front campaign's,,kung fu energy drink,I can't remember,mbwe,bus fares,houses for rent,,keep Zambia clean,I can't remember,kachofa stadium,,choppies,,I can't remember,Agree,Disagree,Agree,Agree,Agree,Agree
60598987,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,mtn,mtn,mokoro hotel,,,,,,,mtn,mtn,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
60599173,Longer Ago,Longer Ago,Not seen,Yesterday,Not seen,Not seen,Not seen,Past 7 Days,Past 4 Weeks,Past 7 Days,Yesterday,Not seen,Longer Ago,Not seen,Not seen,Longer Ago,Longer Ago,Not seen,,,,Zambeef and Juldan,,,,Jauldan,,,,,,,,,,,Strongly Agree,Agree,Agree,Agree,Agree,Agree
60599271,Longer Ago,Not seen,Not seen,Longer Ago,Not seen,Not seen,Past 3 months,Longer Ago,Past 3 months,Past 3 months,Past 4 Weeks,Past 3 months,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Not seen,Apple max,,,Apple max,,,chicko biscuits,chicko biscuits,Apple max,chiko biscuits,Apple max,corn sweets,corn sweets,,,,,,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
60599272,Longer Ago,Not seen,Not seen,Longer Ago,Not seen,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Longer Ago,Not seen,Past 3 months,Not seen,Not seen,Not seen,Not seen,zanaco,,,zamtel,,Apple max,carolite,carolite,premier paints,,,can't remember,,mtn,,,,,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree
60599944,Yesterday,Yesterday,Yesterday,Yesterday,Longer Ago,Not seen,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Not seen,Longer Ago,Past 4 Weeks,Not seen,Yesterday,G.Ruthaford,,mukuba mall,,,,,,,,,,,,,,,G.Ruthaford,Agree,Agree,Agree,Agree,Disagree,Agree
