SbjNum,Bank Ever used,Other Banks Ever used,Banks Currently Used,Bank Most Often Used,AB Bank Zambia Limited,Access Bank Zambia Limited,BancABC Zambia Limited,Bank of China (Zambia) Limited,Barclays Bank Zambia Plc,Cavmont Bank,Citibank Zambia Limited,Ecobank Zambia Limited,Finance Bank Zambia Limited,First Alliance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Indo-Zambia Bank Limited,Intermarket Bank,International Commercial Bank,Investrust Bank Plc,Stanbic Bank Zambia Limited,Standard Chartered Bank Zambia Plc,United Bank for Africa Zambia Limited,ZANACO (Zambia National Commercial Bank Plc),Bank of Zambia,{0},None
60515348,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Neither satisfied or dissatisfied,,,
60515349,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60515652,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60515653,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60515654,First National Bank of Zambia Limted (FNB), ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,,,,,,,Very satisfied,,,,,,,,,,,
60515655,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60515656,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60515728,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60516534,First National Bank of Zambia Limted (FNB), ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,,,,,,,Satisfied,,,,,,,,,,,
60516535,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60516536,Other (specify),NATSAVE,{0},{0},,,,,,,,,,,,,,,,,,,,,Satisfied,
60516537,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60516538,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60516539,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very satisfied,,,
60519020,First National Bank of Zambia Limted (FNB), ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,,,,,,,Satisfied,,,,,,,,,,,
60519021,Investrust Bank Plc, ,Investrust Bank Plc,Investrust Bank Plc,,,,,,,,,,,,,,,Satisfied,,,,,,,
60519022,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60519023,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60519024,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60524230,"Ecobank Zambia Limited,First National Bank of Zambia Limted (FNB)", ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,,,,Satisfied,,,Satisfied,,,,,,,,,,,
60524231,"Standard Chartered Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)", ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,Satisfied,,Very satisfied,,,
60524419,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60524420,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60524421,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60524422,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60524423,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very satisfied,,,
60525354,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60525355,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60525356,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60525357,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60526753,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60528190,None, ,,,,,,,,,,,,,,,,,,,,,,,,
