,SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
0,60457317,"African Magic, Zambezi Magic,Al Jazeera,Animal Planet,B4U Movies","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,TBN","African Magic, Zambezi Magic,Animal Planet,M-Net Movies Action,TBN","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,TBN","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,TBN","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,TBN"
1,60470308,"Al Jazeera,BBC World News,Cartoon network,CNN,E! Entertainment","SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 7,Supersport Blitz",SuperSport 3,SuperSport 3,SuperSport 3,SuperSport 3
2,60478902,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Fashion TV,M-Net Movies Action +,QTV Zambia","African Magic, Zambezi Magic,M-Net Movies Action +,QTV Zambia,TBN,ZNBC TV2,ZNBC TV1",M-Net Movies Action +,"African Magic, Zambezi Magic,M-Net Movies Action +,ZNBC TV 2","African Magic, Zambezi Magic,M-Net Movies Action +,TBN","African Magic, Zambezi Magic,M-Net Movies Action +,QTV Zambia,TBN,ZNBC TV2,ZNBC TV1"
3,60478903,"African Magic, Zambezi Magic,B4U Movies,BBC World News,CCTV News,Channel O","BBC World News,CCTV News,Prime Television,ZNBC TV1","BBC World News,Prime Television","BBC World News,CCTV News,Prime Television,ZNBC TV 1","BBC World News,CCTV News,Prime Television,ZNBC TV1","BBC World News,CCTV News,Prime Television,ZNBC TV1"
4,60492139,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,B4U Movies,Baby TV,Bollywood,Cartoon network,Channel O,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,E-Stars,Fashion TV,Jim Jam,M-Net,M-Net Movies Action,M-Net Movies Zone,MTV Base,Novela E1,Parliament TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Telemundo,TLC Entertainment,Zee World,Zing","African Magic, Zambezi Magic,African Movie Channel (AMC),Jim Jam,M-Net,MTV Base,Telemundo,Zee World","African Magic, Zambezi Magic,Jim Jam,Telemundo,Zee World","African Magic, Zambezi Magic,African Movie Channel AMC,Jim Jam,M-Net,MTV Base,Telemundo,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),Jim Jam,M-Net,MTV Base,Telemundo,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),Jim Jam,M-Net,MTV Base,Telemundo,Zee World"
5,60492140,"African Magic, Zambezi Magic,Al Jazeera,Baby TV,BBC World News,Boomerang,Discovery Channel,Discovery Family,Jim Jam,M-Net Movies Action,M-Net Movies Premier,Star KungFu 1,Star Movies 1,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,TCM,Telemundo,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Sports Stars,Diamond","M-Net Movies Action,Star KungFu 1,SuperSport 3,SuperSport 7,SuperSport 9,Supersport Blitz,ZNBC TV2,ZNBC TV3,ZNBC TV1","SuperSport 3,ZNBC TV2","SuperSport 3,Supersport Blitz,ZNBC TV 2,ZNBC TV 1","SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","M-Net Movies Action,Star KungFu 1,SuperSport 3,SuperSport 7,SuperSport 9,Supersport Blitz,ZNBC TV2,ZNBC TV3,ZNBC TV1"
6,60492141,"ABN TB,Al Jazeera,AMC Series,Animal Planet,B4U Movies,BBC Brit,BET,Bloomberg,Bollywood,Boomerang,Cartoon network,CBC TV,Cbeebies,CCTV 9 Documentary,Channel O,CNBC,CNN,Comedy Central,Crime + Investigation,Da Vinci Learning,Discovery Channel,Discovery IDX,Disney Channel,Disney XD,Emmanuel TV,ESPN,Fashion TV,Food Network,Fox,Fox Entertainment,Fox Sports,France 24,FX,History,Hope Channel,ID Investigation Discovery,kyk NET,Learn Tv,Lifetime,Mindset,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Showcase,Mobi Tv,MTV,Mzansi,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,One Gospel,Parliament TV,Prime Television,SABC,Sky News,Sony Max,SuperSport,SuperSport 9,SuperSport Select,TCM,Diamond","Cartoon network,M-Net,Mobi Tv,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond",SuperSport 3,"M-Net,SuperSport 3,ZNBC TV 2,ZNBC TV 1","M-Net,MTV Base,Nat Geo Wild,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","Cartoon network,M-Net,Mobi Tv,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
7,60492142,"Bloomberg,Bollywood,Boomerang,Fashion TV,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,Nat Geo Gold,Nat Geo Wild,Parliament TV,Q TV,QTV Zambia,SABC,Star Bollywood,Star KungFu 1,Star Movies 1,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport Select,TBN,TCM,Telly Track,TLC Entertainment,Trace Gospel","Bloomberg,Fox Movies,Fox Movies +2,Fox Sports,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,Parliament TV,QTV Zambia,SABC,Star Bollywood,Star KungFu 1,Star Movies 1,SuperSport 3,SuperSport 4,SuperSport 7,SuperSport 9,Supersport Blitz,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond","SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","M-Net Movies Action,M-Net Movies Action +,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,SABC,Star KungFu 1,SuperSport 3,SuperSport 9,Supersport Blitz,ZNBC TV 2,ZNBC TV 1,Diamond TV","Fox Movies +2,M-Net,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,SABC,ZNBC TV2,ZNBC TV1,Diamond","Bloomberg,Fox Movies,Fox Movies +2,Fox Sports,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,Parliament TV,QTV Zambia,SABC,Star Bollywood,Star KungFu 1,Star Movies 1,SuperSport 3,SuperSport 4,SuperSport 7,SuperSport 9,Supersport Blitz,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond"
8,60492143,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Baby TV,Boomerang,Channel O,CNN,E! Entertainment,Fashion TV,Fox,Fuel TV- Sports channel,M-Net,M-Net City,MTV Base,Music,Sony Max,SuperSport,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport maximo,TBN,Zee World","African Magic, Zambezi Magic,Star KungFu 1,Star Movies 1,SuperSport,SuperSport 3,SuperSport 9,Supersport Blitz,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Star KungFu 1,SuperSport,SuperSport 3,Supersport Blitz,Zee World,ZNBC TV 2,ZNBC TV 1,Diamond TV","African Magic, Zambezi Magic,Star KungFu 1,Star Movies 1,SuperSport 3,Supersport Blitz,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Star KungFu 1,Star Movies 1,SuperSport,SuperSport 3,SuperSport 9,Supersport Blitz,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
9,60498424,,,,nan,,
10,60498425,"BBC Lifestyle,BBC World News,Bollywood,Boomerang,Cartoon network,CBC TV,Channel O,Discovery Channel,Mzansi,Telemundo,Zee World","African Magic, Zambezi Magic,BBC Lifestyle,BBC World News,Bollywood,Boomerang,Cartoon network,CBC TV,Channel O,Discovery Channel,M-Net Movies Zone,Mzansi,Parliament TV,Prime Television,Q TV,Telemundo,Zee World,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Channel O,Mzansi,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,BBC Lifestyle,Channel O,Mzansi,Telemundo,Zee World,ZNBC TV 1","African Magic, Zambezi Magic,BBC Lifestyle,Channel O,M-Net Movies Zone,Mzansi,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,BBC Lifestyle,BBC World News,Bollywood,Boomerang,Cartoon network,CBC TV,Channel O,Discovery Channel,M-Net Movies Zone,Mzansi,Parliament TV,Prime Television,Q TV,Telemundo,Zee World,ZNBC TV1,Diamond"
11,60505067,"African Magic, Zambezi Magic,Bollywood","Disney XD,Travel Channel,ZNBC TV2,ZNBC TV1",ZNBC TV1,ZNBC TV 1,ZNBC TV1,"Disney XD,Travel Channel,ZNBC TV2,ZNBC TV1"
12,60505068,,,,nan,,
13,60505620,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Amnet,Animaux,BBC World News,Bloomberg,Bollywood,Boomerang,Cartoon network,CCTV News,CNN,Disney Channel,E! Entertainment,Emmanuel TV,SuperSport,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 9","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic"
14,60506416,"Animal Planet,Baby TV,BBC World News,Bollywood,CCTV News,Channel O,M-Net Movies Zone,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 8","African Magic, Zambezi Magic,BBC World News,Channel O,M-Net Movies Zone,MTV Base,Q TV,Telemundo,Trace Urban,ZNBC TV2,ZNBC TV1",ZNBC TV1,"Q TV,ZNBC TV 2","Q TV,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,Channel O,M-Net Movies Zone,MTV Base,Q TV,Telemundo,Trace Urban,ZNBC TV2,ZNBC TV1"
15,60506417,"Peace TV,SuperSport 4,SuperSport Select,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","Emmanuel TV,SuperSport 4,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,","Emmanuel TV,Zee World","Emmanuel TV,Zee World","Emmanuel TV,Zee World","Emmanuel TV,SuperSport 4,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
16,60506418,"Al Jazeera,Animal Planet,BBC World News,CNN,Discovery Channel,Disney Channel,DW-TV,E Africa,Miracle Tv,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,Muvi TV,Nat Geo Wild,National Geographic Channel,One Gospel,Prime Television,QTV Zambia,SABC,Sky News,Sony Max,Star Bollywood,Star Chinese 2,Star KungFu 1,Star Movies 1,Star Movies 1 +2Hrs,Startimes Sports 2,SuperSport Select,TBN,Telemundo","Emmanuel TV,Miracle Tv,National Geographic Channel,Q TV,ZNBC TV2,ZNBC TV3,ZNBC TV1",ZNBC TV1,"Emmanuel TV,ZNBC TV 1","Emmanuel TV,ZNBC TV1","Emmanuel TV,National Geographic Channel,Q TV,ZNBC TV3,ZNBC TV1"
17,60508564,CNN,Zee World,Zee World,Zee World,Zee World,Zee World
18,60508779,"African Magic, Zambezi Magic,Emmanuel TV,Muvi TV,ZNBC TV1",,,nan,,
19,60510231,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Baby TV,Bakadoli,BBC World News,Bollywood,Capital TV,Cartoon network,Emmanuel TV,E-Stars,Fox,Fox Crime,Hossana Tv,Jim Jam,Miracle Tv,Star Chinese 2,Star Novela E1,Star Novela E3,Star Series E1,Star Zone- movies,StarTimes Gospel,StarTimes Music,StarTimes SA Music,Telemundo,World Football,Zee Cinema","African Magic, Zambezi Magic,Al Jazeera,Bakadoli,Bollywood,Capital TV,Channel Ten,Citizen TV,Emmanuel TV,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,Novela E1,Star Novela E1,Star Novela E3,Telemundo,Wap TV,Zee Cinema,Zee World","African Magic, Zambezi Magic,Citizen TV,Emmanuel TV,Novela E1","African Magic, Zambezi Magic,Citizen TV,Emmanuel TV,Iroko Play-African Movies,Iroko Plus-African Movies,Novela E1,Wap TV","African Magic, Zambezi Magic,Citizen TV,Emmanuel TV,Iroko Play-African Movies,Iroko Plus-African Movies,Novela E1,Telemundo,Wap TV,Zee World","African Magic, Zambezi Magic,Al Jazeera,Bakadoli,Bollywood,Capital TV,Citizen TV,Emmanuel TV,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,Novela E1,Star Novela E1,Star Novela E3,Telemundo,Wap TV,Zee Cinema,Zee World"
20,60513115,"African Magic, Zambezi Magic,Parliament TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz","Muvi TV,Parliament TV,Q TV,ZNBC TV1",ZNBC TV1,ZNBC TV 1,ZNBC TV1,ZNBC TV1
21,60514495,"African Magic, Zambezi Magic,Animal Planet,BBC World News,CNN,Discovery Channel,Discovery Family,Family TV,Fashion TV,Fox,Fox Entertainment,Fox Movies,Fox Sports,Fox Sports 2,Gospel Music TV,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,MTV Base,Muvi TV,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,North-Western TV,Sony Max,SuperSport 5,SuperSport 6,Trace Gospel,Trace Urban","African Magic, Zambezi Magic,Animal Planet,BBC World News,CNN,Discovery Channel,Discovery Family,E Africa,Emmanuel TV,Family TV,Fashion TV,Fox,Fox Entertainment,Fox Movies,Fox Sports,Gospel Music TV,M-Net,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Zone,MTV Base,Muvi TV,Nat Geo Wild,National Geographic Channel,North-Western TV,Prime Television,QTV Zambia,Sony Max,SuperSport 2,SuperSport 3,SuperSport 9,Supersport Blitz,TBN,Trace Gospel,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1,Diamond","Prime Television,SuperSport 3,ZNBC TV1,Diamond","African Magic, Zambezi Magic,BBC World News,CNN,Muvi TV,Prime Television,SuperSport 9,ZNBC TV 2,ZNBC TV 1,Diamond TV","African Magic, Zambezi Magic,CNN,Muvi TV,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Animal Planet,BBC World News,CNN,Nat Geo Wild,Prime Television,SuperSport 3,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond"
22,60514496,"Bollywood,Emmanuel TV,M-Net,Muvi TV,SuperSport,Telemundo","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,M-Net,Muvi TV,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,M-Net,Muvi TV,Telemundo,Zee World,ZNBC TV 2,ZNBC TV 1","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,M-Net,Muvi TV,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,M-Net,Muvi TV,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
23,60514497,"1 Music,Bloomberg,Bostv,Fox,Fox Movies,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Prime Television","African Magic, Zambezi Magic,Bollywood,Discovery Channel,Discovery Family,Fox,Nat Geo Gold,Nat Geo Wild,SuperSport 4,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond","Fox,SuperSport 4","African Magic, Zambezi Magic,Bollywood,Discovery Channel,Discovery Family,Fox,Nat Geo Gold,Nat Geo Wild,SuperSport 4,SuperSport 9,ZNBC TV 2,ZNBC TV 1,Diamond TV","African Magic, Zambezi Magic,Bollywood,Discovery Channel,Discovery Family,Fox,Nat Geo Gold,Nat Geo Wild,SuperSport 4,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Bollywood,Discovery Channel,Discovery Family,Fox,Nat Geo Gold,Nat Geo Wild,SuperSport 4,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond"
24,60514498,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,BET,Cartoon network,Channel O,E Africa,E! Entertainment,Emmanuel TV,Fashion TV,Football Tv,Fox,Fox Crime,Fox Entertainment,Gospel Music TV,KTN News,Life TV,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Romance,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,Nickelodeon,Parliament TV,Peoples Weather,Q TV,Sky News,Sony Entertainment,Sony Max,Star Plus,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 9,TBN,Telemundo,TLC Entertainment,Trace Urban,True Movies 1,Universal Channel,Zuku Entertainment,Zuku Swahili Movies,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Cartoon network,Channel O,E Africa,E! Entertainment,Emmanuel TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Gospel Music TV,Life TV,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Romance,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,Nickelodeon,North-Western TV,Parliament TV,Peoples Weather,Sony Max,Star Plus,TBN,Telemundo,Trace Urban,True Movies 1,Universal Channel,ZNBC TV2,ZNBC TV1,Diamond","Fox,Nat Geo Wild,Telemundo,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,E! Entertainment,Emmanuel TV,M-Net Movies Action,M-Net Movies Action +,Nat Geo Wild,Sony Max,Telemundo,Trace Urban,Universal Channel,ZNBC TV 2,ZNBC TV 1,Diamond TV","African Magic, Zambezi Magic,Al Jazeera,E Africa,E! Entertainment,Emmanuel TV,Fox,Fox Crime,M-Net Movies Action,M-Net Movies Action +,Nat Geo Wild,Sony Max,Telemundo,Trace Urban,Universal Channel,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,Channel O,E Africa,E! Entertainment,M-Net,M-Net Movies Action,Nat Geo Wild,National Geographic Channel,Telemundo,ZNBC TV2,ZNBC TV1,Diamond"
25,60514499,"Discovery Channel,Discovery Family,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,BBC World News,Channel O,Discovery Family,Disney XD,E! Entertainment,Telemundo,ZNBC TV2,ZNBC TV1,Diamond","BBC World News,Telemundo,ZNBC TV1","African Magic, Zambezi Magic,Channel O,Disney XD,Telemundo,ZNBC TV 2,ZNBC TV 1,Diamond TV","African Magic, Zambezi Magic,Channel O,Disney XD,E! Entertainment,Telemundo,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,BBC World News,Channel O,Discovery Family,Disney XD,E! Entertainment,Telemundo,ZNBC TV2,ZNBC TV1,Diamond"
26,60514730,"AMC Series,AMC USA,B4U Movies,Baby TV,BBC Brit,BET International,Beta TV,Box,Capital TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Citizen TV,Discovery Channel,E! Entertainment,Family TV,Fox,Fox Crime,Fox Entertainment,Star Novela E1,SuperSport 1,SuperSport 2,SuperSport 4,Trace Muzik,Zuku Entertainment,Zuku Kids,Zuku Life,Zuku Movies Action,Zuku Movies Family,Zuku Movies Max,Zuku Nolly,Zuku Novella,Zuku Sports,Zuku Swahili Movies,Zuku Zone","African Movie Channel (AMC),E-Stars,Zuku Novella",Zuku Novella,"African Movie Channel AMC,E-Stars,Zuku Novella","African Movie Channel (AMC),E-Stars,Zuku Novella",Zuku Novella
27,60514731,"BBC Brit,Boomerang,E! Entertainment,M-Net Movies Zone,SuperSport 1,SuperSport 2,SuperSport 3,Zee Cinema","African Magic, Zambezi Magic,E! Entertainment,Zee World",Zee World,"African Magic, Zambezi Magic","African Magic, Zambezi Magic",E! Entertainment
28,60514732,"African Movie Channel (AMC),Al Jazeera,Boomerang,Cartoon network,CNN,E! Entertainment,Emmanuel TV,ESPN,E-Stars,Euro News (English),Euro Sport News,Family TV,Fine Living Network,Food Network,M-Net Movies Action +,MTV Base","African Magic, Zambezi Magic,Al Jazeera,Boomerang,Emmanuel TV,Nickelodeon,Zee World",Zee World,Emmanuel TV,"African Magic, Zambezi Magic",Boomerang
29,60514733,"Boomerang,Cartoon network,E! Entertainment,Emmanuel TV,Fox Entertainment,M-Net Movies Zone,SuperSport 9","Boomerang,E! Entertainment,SuperSport 9,Telemundo,Zee World",Zee World,SuperSport 9,Boomerang,Telemundo
30,60514734,"Star Novela E1,Diamond","Star KungFu 1,Star Novela E1,Star Plus,Diamond",Diamond,Star KungFu 1,Star Novela E1,Star Plus
31,60514735,"BBC Lifestyle,BBC World News,Boomerang,Cartoon network,E! Entertainment,Emmanuel TV,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Lifetime,M-Net Movies Action,M-Net Movies Action +,MTV,MTV Base,Music,Nat Geo Gold,Nat Geo Wild,National Geographic Channel","African Magic, Zambezi Magic,Emmanuel TV,M-Net Movies Action,M-Net Movies Action +,SuperSport 9","African Magic, Zambezi Magic,SuperSport 9",Emmanuel TV,"M-Net Movies Action,M-Net Movies Action +","M-Net Movies Action,M-Net Movies Action +"
32,60515239,"African Magic, Zambezi Magic,BBC Lifestyle,BBC World News,CCTV News,Echo TV","Zee World,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV 2,ZNBC TV 1","Zee World,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV2,ZNBC TV1"
33,60515240,"African Magic, Zambezi Magic,Emmanuel TV,M-Net Movies Action,Nat Geo Gold,SuperSport 1,SuperSport 3,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV1","Zee World,ZNBC TV1","Zee World,ZNBC TV 1","Zee World,ZNBC TV1","Zee World,ZNBC TV1"
34,60515241,"SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Trace Gospel","Nat Geo Wild,National Geographic Channel,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Trace Gospel,ZNBC TV2,ZNBC TV3,ZNBC TV1","SuperSport 3,ZNBC TV1","SuperSport 3,ZNBC TV 1","National Geographic Channel,SuperSport 1,SuperSport 3,ZNBC TV2,ZNBC TV3,ZNBC TV1","National Geographic Channel,SuperSport 1,SuperSport 3,ZNBC TV2,ZNBC TV3,ZNBC TV1"
35,60515242,"African Magic, Zambezi Magic,Emmanuel TV,Muvi TV,ZNBC TV2",Zee World,Zee World,Zee World,Zee World,Zee World
36,60515243,SuperSport 1,"SuperSport 1,ZNBC TV2,ZNBC TV1",ZNBC TV1,"SuperSport 1,ZNBC TV 2,ZNBC TV 1","SuperSport 1,ZNBC TV2,ZNBC TV1","SuperSport 1,ZNBC TV2,ZNBC TV1"
37,60515244,"African Magic, Zambezi Magic,Al Jazeera,Amnet,Animaux,Baby TV,BBC Lifestyle,BBC World News,BET International,CCTV News,Channel O,CNBC,Crime + Investigation,DW-TV,Emmanuel TV,Fashion TV,Trace Urban","Channel O,Trace Urban,ZNBC TV1","Channel O,Trace Urban,ZNBC TV1","Channel O,Trace Urban,ZNBC TV 1","Channel O,Trace Urban,ZNBC TV1","Channel O,Trace Urban,ZNBC TV1"
38,60515245,"Africa Unite,African Magic, Zambezi Magic,Al Jazeera,BBC World News,Bloomberg,Cartoon network,CNN,Crime + Investigation,Discovery Channel,E Africa,Emmanuel TV,Fashion TV,ZNBC TV2,ZNBC TV3,ZNBC TV1","Channel O,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1",Nickelodeon,"Channel O,Nickelodeon,Zee World,ZNBC TV 2,ZNBC TV 1","Channel O,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1","Channel O,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1"
39,60515246,"Africa Unite,Al Jazeera,Animal Planet,BBC Lifestyle,BBC World News,DW-TV,Emmanuel TV,Hope Channel","Emmanuel TV,Hope Channel,Muvi TV,ZNBC TV1",ZNBC TV1,ZNBC TV 1,Hope Channel,Muvi TV
40,60515247,"African Magic, Zambezi Magic,BBC World News,Channel O,E! Entertainment,Emmanuel TV,MTV Base,Nat Geo Wild,National Geographic Channel,One Gospel,Sky News,Smash Hits,SuperSport 5,SuperSport 8,SuperSport 9,Supersport Blitz","African Magic, Zambezi Magic,BBC World News,National Geographic Channel,One Gospel,Sky News,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 8,SuperSport 9,Zee World,ZNBC TV1","BBC World News,National Geographic Channel,One Gospel,Sky News,SuperSport 3,ZNBC TV1","BBC World News,One Gospel,Sky News,SuperSport 3,ZNBC TV 1","BBC World News,One Gospel,Sky News,SuperSport 3,ZNBC TV1",Zee World
41,60515248,"BBC World News,CCTV News,Discovery Channel,Discovery Family,Gospel Music TV,History","BBC World News,CCTV News,Discovery Channel,Discovery Family,Gospel Music TV,History,ID Investigation Discovery,M-Net,Nat Geo Wild,National Geographic Channel,SuperSport 3,ZNBC TV2,ZNBC TV1","Discovery Family,History,Nat Geo Wild,ZNBC TV1","BBC World News,CCTV News,Discovery Channel,ID Investigation Discovery,Nat Geo Wild,SuperSport 3,ZNBC TV 2,ZNBC TV 1","BBC World News,CCTV News,Discovery Channel,Discovery Family,Gospel Music TV,History,ID Investigation Discovery,M-Net,Nat Geo Wild,National Geographic Channel,SuperSport 3,ZNBC TV2,ZNBC TV1","BBC World News,CCTV News,Discovery Channel,Discovery Family,Gospel Music TV,History,ID Investigation Discovery,M-Net,Nat Geo Wild,National Geographic Channel,SuperSport 3,ZNBC TV2,ZNBC TV1"
