,SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
1153,60753401,"Star Novela E1,Telemundo,Zee World","Muvi TV,Star Novela E1,Zee World,ZNBC TV2,ZNBC TV1",Muvi TV,Muvi TV,Muvi TV,"Muvi TV,Star Novela E1,Zee World,ZNBC TV2,ZNBC TV1"
1154,60753402,"M-Net Movies Zone,Don't know","African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC World News,City Channel Cable Network TV,CNBC,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,Eva English,M-Net Movies Zone,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport Select,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World,Diamond TV","African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC World News,City Channel Cable Network TV,CNBC,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,Eva English,M-Net Movies Zone,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport Select,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC World News,City Channel Cable Network TV,CNBC,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,Eva English,M-Net Movies Zone,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport Select,Telemundo,ZNBC TV2,ZNBC TV1,Diamond"
1155,60753404,"African Magic, Zambezi Magic,BBC World News,Channel O,Emmanuel TV,National Geographic Channel,Prime Television,SuperSport Select,Telemundo,TLC Entertainment,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,Channel O,E Africa,Emmanuel TV,National Geographic Channel,Prime Television,SuperSport,TLC Entertainment,ZNBC TV2,ZNBC TV1",ZNBC TV1,"SuperSport,ZNBC TV 1","SuperSport,TLC Entertainment,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,Channel O,E Africa,Emmanuel TV,National Geographic Channel,Prime Television,SuperSport,TLC Entertainment,ZNBC TV2,ZNBC TV1"
1156,60753405,,"African Magic, Zambezi Magic,Animal Planet,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic","African Magic, Zambezi Magic,ZNBC TV 2,ZNBC TV 1","African Magic, Zambezi Magic,Animal Planet,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,Animal Planet,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1"
1157,60753406,,"African Magic, Zambezi Magic,Prime Television,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Prime Television,Zee World","African Magic, Zambezi Magic,Prime Television,Zee World,ZNBC TV 1","African Magic, Zambezi Magic,Prime Television,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Prime Television,Zee World,ZNBC TV2,ZNBC TV1"
1158,60753407,"Al Jazeera,BBC World News,E Africa,Emmanuel TV,One Gospel,Parliament TV,Prime Television,Q TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,E Africa,Emmanuel TV,Hope Channel,One Gospel,Parliament TV,Prime Television,Q TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","SuperSport 1,Telemundo","African Magic, Zambezi Magic,SuperSport 1,Telemundo","African Magic, Zambezi Magic,Al Jazeera,BBC World News,E Africa,Emmanuel TV,Hope Channel,One Gospel,Parliament TV,Prime Television,Q TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,E Africa,Emmanuel TV,Hope Channel,One Gospel,Parliament TV,Prime Television,Q TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
1159,60753408,"Emmanuel TV,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","Emmanuel TV,Telemundo,Zee World,ZNBC TV2,ZNBC TV1",Emmanuel TV,Emmanuel TV,Emmanuel TV,"Emmanuel TV,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
1160,60753952,SuperSport 3,"SuperSport 3,ZNBC TV1,Don't know",,SuperSport 3,"SuperSport 3,ZNBC TV1","SuperSport 3,ZNBC TV1"
1161,60753953,,,,nan,,
1162,60753954,"SuperSport 3,ZNBC TV2","SuperSport 3,SuperSport 4,SuperSport 8,ZNBC TV2,ZNBC TV1,Don't know",ZNBC TV1,SuperSport 3,"SuperSport 3,SuperSport 4,SuperSport 8,ZNBC TV1","SuperSport 3,SuperSport 4,SuperSport 8,ZNBC TV1"
