SbjNum,Read or paged through a newspaper,Watched pay TV,Internet Users,Social Network Sites Users,Radio Listenership,Magazine Readership,TV Viewership,Watched Video/Movie using VCR,Watched VCD/ DVD,Music on CD,Music on IPOD/MP3 player,Watched pay TV e.g.DSTV,Email Access,Visit a Cinema,Sent SMS on Phone,Made a Call on Phone,Mobile Cinema or Projected,Book Reader,Promotion participant,Newspaper Online Readership,Radio Listenership - Mobile Phone,Promotion participant - SMS,Radio/TV Talk Show participant - SMS,Radio/TV Talk Show participant - Call,Attended/Participated in a road show,Community Education Meeting,Stereo tape,Watched Free to Air,Sent SMS using Internet
60704853,Past 12 Months,Yesterday,Never,Never,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Past 4 Weeks,Never,Yesterday,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never
60705089,Never,Past 12 Months,Never,Never,Yesterday,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60705414,Never,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Past 4 Weeks,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Never,Never,Never
60705591,Past 7 Days,Never,Past 7 Days,Never,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60706070,Never,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Never,Yesterday,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 4 Weeks,Yesterday,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Past 7 Days
60706523,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 7 Days,Never,Yesterday,Never,Past 4 Weeks,Past 12 Months,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60706990,Never,Yesterday,Yesterday,Past 7 Days,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60706991,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Never,Yesterday,Never,Past 4 Weeks,Yesterday,Yesterday,Never,Past 7 Days,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday
60707103,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never
60707458,Never,Past 12 Months,Never,Never,Yesterday,Past 7 Days,Past 12 Months,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60707797,Past 12 Months,Yesterday,Never,Never,Never,Never,Yesterday,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Yesterday,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Yesterday,Never,Never,Past 12 Months,Never,Never,Never,Never
60707843,Past 12 Months,Never,Yesterday,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60707844,Past 7 Days,Never,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Never,Never,Past 7 Days,Never,Past 4 Weeks,Never,Yesterday,Yesterday,Never,Past 12 Months,Past 4 Weeks,Never,Past 12 Months,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never
60707845,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60708279,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60708284,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60708515,Never,Yesterday,Never,Never,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Past 4 Weeks,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never
60708516,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Never,Past 12 Months,Never,Never,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never
60708517,Never,Never,Never,Never,Yesterday,Past 4 Weeks,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Yesterday,Yesterday,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never
60708518,Never,Past 4 Weeks,Never,Never,Yesterday,Past 12 Months,Past 7 Days,Never,Past 12 Months,Past 12 Months,Never,Past 4 Weeks,Never,Never,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never
60709320,Past 4 Weeks,Yesterday,Never,Never,Past 12 Months,Past 4 Weeks,Yesterday,Never,Past 12 Months,Yesterday,Never,Yesterday,Past 12 Months,Never,Past 12 Months,Yesterday,Never,Yesterday,Never,Never,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months
