SbjNum,Read or paged through a newspaper,Watched pay TV,Internet Users,Social Network Sites Users,Radio Listenership,Magazine Readership,TV Viewership,Watched Video/Movie using VCR,Watched VCD/ DVD,Music on CD,Music on IPOD/MP3 player,Watched pay TV e.g.DSTV,Email Access,Visit a Cinema,Sent SMS on Phone,Made a Call on Phone,Mobile Cinema or Projected,Book Reader,Promotion participant,Newspaper Online Readership,Radio Listenership - Mobile Phone,Promotion participant - SMS,Radio/TV Talk Show participant - SMS,Radio/TV Talk Show participant - Call,Attended/Participated in a road show,Community Education Meeting,Stereo tape,Watched Free to Air,Sent SMS using Internet
60549713,Past 12 Months,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Past 7 Days
60549714,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Past 7 Days,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Past 7 Days
60549715,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60550261,Past 7 Days,Past 7 Days,Past 4 Weeks,Past 7 Days,Yesterday,Yesterday,Yesterday,Never,Past 7 Days,Past 7 Days,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Past 12 Months,Past 7 Days,Past 7 Days,Never,Past 7 Days,Never,Never,Past 7 Days,Never,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Never,Past 12 Months,Past 4 Weeks,Past 4 Weeks
60550361,Past 4 Weeks,Yesterday,Yesterday,Past 7 Days,Yesterday,Never,Yesterday,Never,Never,Past 12 Months,Past 12 Months,Yesterday,Past 7 Days,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Past 7 Days,Never,Yesterday,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never
60550362,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Past 12 Months,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Past 4 Weeks,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Never,Past 12 Months,Never,Past 4 Weeks,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never
60550363,Never,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60550364,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Never,Yesterday,Never,Past 12 Months,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Never
60550365,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60550366,Past 7 Days,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Never,Yesterday,Never,Never,Never,Never,Yesterday,Past 12 Months,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60550986,Never,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Past 12 Months,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Past 12 Months,Yesterday
60551587,Yesterday,Yesterday,Never,Never,Past 4 Weeks,Never,Past 7 Days,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Yesterday,Never
60551800,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Yesterday
60552083,Past 12 Months,Yesterday,Never,Never,Yesterday,Past 7 Days,Yesterday,Past 12 Months,Past 7 Days,Past 7 Days,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never
60552219,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Never,Yesterday,Never,Never,Never,Never,Yesterday,Past 12 Months,Never,Yesterday,Yesterday,Never,Yesterday,Never,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Never,Yesterday,Past 12 Months
60552946,Never,Never,Never,Never,Past 4 Weeks,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60553081,Past 12 Months,Never,Never,Never,Past 12 Months,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60553130,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Yesterday
60553131,Yesterday,Yesterday,Yesterday,Past 12 Months,Past 7 Days,Never,Yesterday,Never,Never,Never,Past 7 Days,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday
60553775,Past 12 Months,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 4 Weeks,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Past 7 Days,Yesterday,Never,Past 12 Months,Past 12 Months,Past 7 Days,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days
60553776,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Never,Past 7 Days,Never,Past 4 Weeks,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60553921,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months
60553922,Past 12 Months,Past 12 Months,Never,Never,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Past 7 Days,Yesterday,Past 7 Days,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Never
60554675,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Yesterday,Never,Past 7 Days,Past 7 Days,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 7 Days,Yesterday,Yesterday,Never,Never,Never,Past 7 Days,Past 12 Months,Past 7 Days,Past 4 Weeks
60554815,Past 4 Weeks,Never,Yesterday,Never,Past 7 Days,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Yesterday,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Never,Never,Never,Yesterday,Past 4 Weeks,Past 4 Weeks,Never,Yesterday
60554971,Past 7 Days,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 7 Days,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Never
60555110,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Past 4 Weeks,Past 4 Weeks,Past 12 Months,Yesterday,Never,Never,Past 4 Weeks,Never,Never,Never,Past 12 Months,Never,Yesterday
60555311,Yesterday,Never,Never,Never,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday
60555743,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Never,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Yesterday,Never,Never,Never,Never,Yesterday,Past 12 Months,Yesterday,Yesterday
60555767,Past 12 Months,Yesterday,Never,Never,Never,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60555768,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Past 7 Days,Past 7 Days,Never,Past 12 Months,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Past 12 Months,Never
60555769,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Never,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 7 Days,Never,Never,Never,Never,Never,Past 12 Months,Never,Never
60555770,Past 12 Months,Yesterday,Past 7 Days,Past 7 Days,Past 12 Months,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Never
60556109,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Past 4 Weeks,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Past 12 Months,Never,Yesterday,Yesterday,Never,Yesterday,Never,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Yesterday
60556261,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Yesterday,Never,Yesterday,Never,Never,Past 12 Months,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Never
60556427,Past 12 Months,Past 12 Months,Never,Never,Past 12 Months,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Never,Past 12 Months,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Past 12 Months,Never
60556428,Past 12 Months,Yesterday,Never,Never,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 4 Weeks,Never,Yesterday,Never,Never,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Past 12 Months,Never
60556558,Never,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Never,Never,Past 12 Months,Never,Past 7 Days,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never
60558612,Past 7 Days,Yesterday,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Never,Yesterday,Never,Past 12 Months,Past 4 Weeks,Past 7 Days,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 7 Days,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Never,Past 7 Days,Never,Yesterday,Past 7 Days
60558636,Past 4 Weeks,Past 7 Days,Past 12 Months,Never,Yesterday,Past 12 Months,Past 7 Days,Never,Past 12 Months,Past 4 Weeks,Never,Past 7 Days,Never,Never,Past 7 Days,Past 7 Days,Never,Never,Never,Past 12 Months,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60558637,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Past 12 Months,Past 12 Months,Never,Never,Past 7 Days,Past 7 Days,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60558638,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Past 12 Months,Past 7 Days,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 12 Months,Past 12 Months,Never,Never,Past 7 Days,Past 7 Days,Never,Never,Never,Never,Past 7 Days,Past 12 Months,Never,Never,Never,Past 12 Months,Never,Never,Past 12 Months
60558639,Past 7 Days,Past 7 Days,Never,Never,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Past 7 Days,Never,Past 7 Days,Never,Never,Past 7 Days,Past 12 Months,Never,Never,Past 12 Months,Past 12 Months,Never,Never,Never
60558640,Past 12 Months,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Past 12 Months,Past 7 Days,Never,Past 12 Months,Past 7 Days,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 7 Days,Past 12 Months,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Past 7 Days
60558982,Never,Yesterday,Never,Past 7 Days,Yesterday,Never,Yesterday,Never,Never,Never,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60558985,Never,Yesterday,Never,Never,Past 7 Days,Never,Yesterday,Never,Past 7 Days,Past 7 Days,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Yesterday,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Past 7 Days,Never
60559081,Past 7 Days,Yesterday,Past 4 Weeks,Past 12 Months,Past 7 Days,Yesterday,Yesterday,Never,Never,Past 7 Days,Never,Yesterday,Never,Never,Never,Yesterday,Never,Past 4 Weeks,Yesterday,Never,Past 7 Days,Never,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never,Never,Never
60559082,Never,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60559105,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Yesterday,Yesterday,Past 12 Months,Past 4 Weeks,Never,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Never,Never
60559106,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Yesterday,Never,Never,Never,Never,Past 4 Weeks,Past 12 Months,Never,Past 12 Months
60559161,Never,Yesterday,Past 7 Days,Yesterday,Past 4 Weeks,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Past 12 Months,Never,Past 7 Days,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never
60559162,Past 12 Months,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Never,Past 4 Weeks,Past 4 Weeks,Never,Past 7 Days,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Yesterday,Never,Never,Past 7 Days,Never,Never,Never,Never,Never
60559165,Past 7 Days,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Past 12 Months,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Yesterday,Past 4 Weeks,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Yesterday
60559241,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Past 12 Months,Past 7 Days,Yesterday,Never,Never,Never,Yesterday,Yesterday,Past 7 Days,Never,Yesterday,Yesterday,Yesterday,Yesterday,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 4 Weeks,Never,Never,Yesterday
60559883,Past 12 Months,Yesterday,Past 7 Days,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 12 Months,Yesterday,Past 7 Days,Never,Yesterday,Past 7 Days,Never,Yesterday,Yesterday,Never,Yesterday,Never,Yesterday,Past 7 Days,Never,Past 4 Weeks,Never,Never,Never,Past 12 Months,Past 12 Months,Never
60559884,Past 7 Days,Past 7 Days,Past 12 Months,Past 12 Months,Yesterday,Never,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 7 Days,Yesterday,Past 12 Months,Past 4 Weeks,Yesterday,Never,Yesterday,Never,Never,Yesterday,Never,Never,Never,Never,Past 7 Days,Never,Never,Never
60560017,Never,Yesterday,Past 7 Days,Past 4 Weeks,Yesterday,Never,Yesterday,Never,Never,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Past 12 Months
60560018,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks
60560019,Never,Past 12 Months,Never,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 4 Weeks,Past 4 Weeks,Never,Past 12 Months,Never,Past 12 Months,Yesterday,Past 12 Months,Never,Yesterday,Past 4 Weeks,Past 12 Months,Past 4 Weeks,Never,Never,Never,Never,Never,Past 12 Months,Never,Never
60560263,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Never,Past 7 Days,Yesterday,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 4 Weeks,Yesterday,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Past 4 Weeks,Never,Past 7 Days,Never,Past 12 Months,Never
60560264,Past 12 Months,Yesterday,Never,Yesterday,Past 4 Weeks,Past 12 Months,Yesterday,Never,Never,Past 4 Weeks,Never,Yesterday,Never,Never,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Never,Yesterday,Never,Never,Never,Never,Past 4 Weeks,Never,Past 12 Months,Never
60560265,Yesterday,Yesterday,Past 12 Months,Never,Yesterday,Past 7 Days,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 7 Days,Never,Yesterday,Never,Past 4 Weeks,Past 7 Days,Never,Past 7 Days,Never,Yesterday,Never
60560266,Past 4 Weeks,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Never,Yesterday,Never,Past 12 Months,Yesterday,Never,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Never,Yesterday,Never,Never,Never,Never,Past 4 Weeks,Never,Past 12 Months,Never
60560267,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Never,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Never,Yesterday,Never,Never,Yesterday,Never,Past 7 Days,Never,Past 12 Months,Never
60560376,Never,Never,Yesterday,Never,Past 7 Days,Never,Yesterday,Never,Never,Past 12 Months,Past 4 Weeks,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 7 Days,Past 12 Months,Never,Never,Never,Never,Never,Never,Yesterday
60560778,Never,Never,Past 12 Months,Never,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 7 Days,Past 7 Days,Never,Past 7 Days,Past 7 Days,Never,Yesterday,Yesterday,Yesterday,Never,Never,Yesterday,Never,Yesterday,Yesterday,Never,Never,Never,Yesterday,Never
60560909,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Past 12 Months
60560910,Past 7 Days,Yesterday,Past 4 Weeks,Past 7 Days,Past 7 Days,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Past 4 Weeks,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Past 4 Weeks
60561650,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Past 4 Weeks,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Never,Past 7 Days,Past 4 Weeks,Never,Never,Never,Past 12 Months,Never,Never,Past 4 Weeks,Past 7 Days
60561765,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Yesterday,Past 12 Months,Never,Yesterday,Never,Yesterday,Past 12 Months,Never,Past 4 Weeks,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Yesterday,Never,Past 12 Months,Never
60562093,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Yesterday,Past 4 Weeks,Past 4 Weeks,Past 12 Months,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 7 Days,Never,Yesterday,Past 7 Days,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Yesterday
60562094,Past 4 Weeks,Past 7 Days,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Never,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Yesterday
60562095,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Yesterday,Yesterday,Past 7 Days,Yesterday,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Never,Never,Yesterday,Yesterday,Yesterday,Past 7 Days,Never,Past 4 Weeks,Yesterday,Past 4 Weeks,Past 7 Days,Past 7 Days,Past 7 Days,Never,Never,Past 4 Weeks,Yesterday
60562096,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Yesterday,Past 4 Weeks,Past 12 Months,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Past 4 Weeks,Past 7 Days,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Never,Yesterday,Yesterday
60562097,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Past 7 Days,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Past 7 Days,Past 7 Days
60562098,Past 7 Days,Yesterday,Never,Never,Yesterday,Past 4 Weeks,Yesterday,Yesterday,Past 12 Months,Past 4 Weeks,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Past 4 Weeks,Never,Past 4 Weeks,Never,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never
60562099,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Past 7 Days,Past 7 Days,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Past 4 Weeks,Past 4 Weeks,Yesterday,Past 12 Months,Never,Past 12 Months,Past 7 Days,Past 12 Months,Past 7 Days,Past 7 Days
60562100,Past 7 Days,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Past 4 Weeks,Yesterday,Past 4 Weeks,Yesterday,Past 4 Weeks,Past 4 Weeks,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Yesterday,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Yesterday
60562101,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Yesterday,Past 4 Weeks,Past 12 Months,Past 4 Weeks,Yesterday,Yesterday,Past 4 Weeks,Never,Yesterday,Yesterday,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Past 12 Months,Past 4 Weeks,Past 7 Days,Past 7 Days,Past 4 Weeks,Past 4 Weeks,Yesterday
60562109,Past 12 Months,Past 4 Weeks,Past 7 Days,Never,Past 12 Months,Past 12 Months,Yesterday,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Never,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Yesterday,Never,Past 12 Months,Never
60562227,Never,Past 7 Days,Past 4 Weeks,Past 7 Days,Past 7 Days,Never,Past 7 Days,Past 7 Days,Past 7 Days,Past 12 Months,Never,Past 7 Days,Never,Never,Past 7 Days,Yesterday,Never,Past 4 Weeks,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60562228,Past 4 Weeks,Past 7 Days,Past 12 Months,Never,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Past 7 Days,Never,Past 4 Weeks,Past 12 Months,Never,Past 7 Days,Past 4 Weeks,Never,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never
