SbjNum,Where TV was watched P7D,Other Locations where TV was watched P7D,Usually access to TV channel(s),6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,,Favourite or Most Preferred Television Station,Reasons for Favourite or Most Preferred Television Station,Preferred days of the week to watch,Types of TV programmes like to watch,Other Types of TV programmes like to watch,ZNBC TV1 programmes watched in P7D,Other ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Other ZNBC TV2 programmes watched in P7D,ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Muvi TV,Mobi Tv,CBC TV,CBS TV,TBN,Africa Unite,DSTV,My TV,GOTV,Prime TV,Echo TV,City Channel Cable Network TV,North-Western TV,Diamond TV,Kwese TV,Don’t know/ don’t watch these types of programmes,Other (specify),"Best TV stations for News/current affairs, Sports, Entertainment, Education, Religious issues, Political issues, Movies, Dramas"
60505067,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,,Travel Channel,the show are entertaining,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Magazine, ,News, ,, ,News & current affairs,Sports,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60505068,, ,,,,,,,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,, 
60505620,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,African magic,they bring educative movies in real life in the world and what is happing,Saturday,, ,, ,, ,News & current affairs,Entertainment,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,Religious issues,Entertainment,News & current affairs,None/Don’t know,News & current affairs,News & current affairs,Entertainment,News & current affairs,Sports,News & current affairs,None/Don’t know,,, 
60506416,"Another household (friends, relatives house)", ,On a TV set,Do not watch at this time,Do not watch at this time,3 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,,Telemundo,They bring nice movies E.g Fearless Hearts,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Music Videos,, ,Other (specify),Real Love,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Movies,None/Don’t know,Movies,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,,, 
60506417,At home, ,On a TV set,2 days per week,1 day per week,Less than that,Less than that,7 days per week,Do not watch at this time,Do not watch at this time,,Emmanuel TV,It's nice it's builds,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Documentaries,Mexican movies,Other (specify)",Religious,, ,, ,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Movies,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Dramas,,, 
60506418,"At home,Another household (friends, relatives house)", ,On a TV set,Do not watch at this time,Do not watch at this time,1 day per week,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Emmanuel TV,It's builds me spiritually,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Other sports,Local drama", ,"News,Detective Dick/ Cartoon,TV Local Language Programmes (Njuwelelo, chintobentobe, …)", ,, ,Dramas,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,None/Don’t know,Religious issues,Sports,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60508564,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,Zee World,they tell real stories for life,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Dramas,Entertainment,Entertainment,News & current affairs,News & current affairs,News & current affairs,Entertainment,Sports,Religious issues,None/Don’t know,,, 
60508779,, ,,,,,,,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,, 
60510231,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Do not watch at this time,,Novela E1,I like movies e.g Double colour,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",American movies, ,, ,, ,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60513115,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,TV1,news is analyse and they make sure that it doesn't  injure any one,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Documentaries, ,News, ,, ,News & current affairs,News & current affairs,Political issues,Education,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,Political issues,None/Don’t know,None/Don’t know,None/Don’t know,Political issues,None/Don’t know,,, 
60514495,At home, ,On a TV set,Less than that,Less than that,Less than that,7 days per week,7 days per week,Less than that,Do not watch at this time,,Prime Television,Good news content,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Soccer commentaries, ,News, ,Other (specify),News,Political issues,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,Dramas,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,Dramas,None/Don’t know,News & current affairs,News & current affairs,Entertainment,,, 
60514496,At home, ,On a TV set,Less than that,Less than that,7 days per week,7 days per week,7 days per week,Less than that,Do not watch at this time,,Telemundo,Good movies (Telenovelas),"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","American movies,Other (specify)",Telenovelas,News, ,Other (specify),News and local dramas,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60514497,At home, ,On a TV set,7 days per week,Less than that,Less than that,Less than that,7 days per week,Less than that,Do not watch at this time,,Fox,Good content,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",American movies, ,News, ,Other (specify),News,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60514498,At home, ,On a TV set,Less than that,Less than that,Less than that,7 days per week,7 days per week,Less than that,Do not watch at this time,,Telemundo,Good content/movies,"Monday,Tuesday,Wednesday,Thursday,Friday",,Telenovelas,News, ,Other (specify),News and local drama,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,News & current affairs,Movies,Sports,,, 
60514499,At home, ,On a TV set,Less than that,Less than that,Less than that,Less than that,7 days per week,7 days per week,Less than that,,Telemundo,Good content  (Telenovelas),"Monday,Tuesday,Wednesday,Thursday,Friday",,Telenovelas,"News,Smooth Talk", ,Other (specify),News,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60514730,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,African Movie Channel (AMC),it entertaining,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
