SbjNum,Where TV was watched P7D,Other Locations where TV was watched P7D,Usually access to TV channel(s),6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,,Favourite or Most Preferred Television Station,Reasons for Favourite or Most Preferred Television Station,Preferred days of the week to watch,Types of TV programmes like to watch,Other Types of TV programmes like to watch,ZNBC TV1 programmes watched in P7D,Other ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Other ZNBC TV2 programmes watched in P7D,ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Muvi TV,Mobi Tv,CBC TV,CBS TV,TBN,Africa Unite,DSTV,My TV,GOTV,Prime TV,Echo TV,City Channel Cable Network TV,North-Western TV,Diamond TV,Kwese TV,Don’t know/ don’t watch these types of programmes,Other (specify),"Best TV stations for News/current affairs, Sports, Entertainment, Education, Religious issues, Political issues, Movies, Dramas"
60543874,At home, ,On a TV set,Less than that,Less than that,Less than that,Less than that,7 days per week,Less than that,Less than that,,African magic,good movies,Saturday,, ,, ,, ,News & current affairs,Entertainment,Entertainment,Movies,None/Don’t know,None/Don’t know,Religious issues,Movies,Movies,Movies,Movies,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60548541,At home, ,On a TV set,7 days per week,Do not watch at this time,Do not watch at this time,1 day per week,7 days per week,1 day per week,Do not watch at this time,,MTV Base,they bring new music,Monday,,music,, ,, ,Political issues,Movies,Dramas,None/Don’t know,News & current affairs,None/Don’t know,Religious issues,None/Don’t know,Entertainment,Movies,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60549183,At home, ,On a TV set,2 days per week,Do not watch at this time,Do not watch at this time,Less than that,3 days per week,1 day per week,Do not watch at this time,,SuperSport 3,live soccer,"Wednesday,Saturday,Sunday",, ,, ,, ,News & current affairs,Entertainment,Entertainment,None/Don’t know,Dramas,Religious issues,Religious issues,Dramas,Entertainment,Movies,Entertainment,Political issues,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,,, 
60549600,"At home,Another household (friends, relatives house)", ,On a TV set,4 days per week,4 days per week,3 days per week,3 days per week,3 days per week,Less than that,Less than that,,Emmanuel TV,Good words of God,Sunday,"African movies,Local drama", ,"News,Sunday Interview,Kwacha Good Morning,National Watch,Zambian Farmer", ,"Morning Live,Other (specify)",News,News & current affairs,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60549601,"At home,Another household (friends, relatives house),In a bar", ,On a TV set,4 days per week,4 days per week,Less than that,3 days per week,3 days per week,3 days per week,Less than that,,Q TV,Movies,"Tuesday,Thursday,Saturday","African movies,American movies,Mexican movies", ,"News,Smooth Talk,TV Local Language Programmes (Njuwelelo, chintobentobe, …)", ,"Morning Live,X-Files,Criminal Minds,Movie", ,News & current affairs,News & current affairs,Entertainment,Entertainment,Entertainment,None/Don’t know,Religious issues,Entertainment,Sports,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60549602,"At home,Another household (friends, relatives house)", ,On a TV set,4 days per week,3 days per week,3 days per week,3 days per week,3 days per week,3 days per week,Do not watch at this time,,African magic,Nigerian movies,Monday,"South African drama programmes,Local drama", ,"News,Kwacha Good Morning,TV Local Language Programmes (Njuwelelo, chintobentobe, …),700 Club,Your Health Matters,Faith Gospel", ,"Morning Live,Movie", ,News & current affairs,News & current affairs,News & current affairs,Entertainment,Entertainment,Dramas,Religious issues,News & current affairs,Entertainment,Movies,Entertainment,Entertainment,Entertainment,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60549603,"At home,Another household (friends, relatives house)", ,On a TV set,4 days per week,4 days per week,Less than that,Less than that,3 days per week,3 days per week,Do not watch at this time,,African magic,African movies,"Tuesday,Thursday,Friday,Saturday,Sunday","South African drama programmes,Local drama", ,"News,Smooth Talk,TV Local Language Programmes (Njuwelelo, chintobentobe, …),Your Health Matters,Y Zone,Faith Gospel", ,"Morning Live,Movie", ,News & current affairs,News & current affairs,Entertainment,Entertainment,Entertainment,None/Don’t know,Religious issues,Entertainment,Entertainment,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60549604,"Another household (friends, relatives house),In a bar", ,On a TV set,3 days per week,2 days per week,2 days per week,2 days per week,2 days per week,2 days per week,Do not watch at this time,,SuperSport 3,football,"Saturday,Sunday","Other sports,American movies,Mexican movies", ,, ,, ,News & current affairs,News & current affairs,Entertainment,Entertainment,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Sports,None/Don’t know,Sports,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60549605,"Another household (friends, relatives house),In a bar,In a restaurant", ,On a TV set,Less than that,Less than that,Less than that,3 days per week,3 days per week,3 days per week,Do not watch at this time,,SuperSport 3,Football games,"Tuesday,Wednesday,Saturday,Sunday","Other sports,American movies,Mexican movies", ,News, ,Morning Live, ,News & current affairs,News & current affairs,Entertainment,Entertainment,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Sports,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60549710,At home, ,On a TV set,Do not watch at this time,4 days per week,7 days per week,7 days per week,7 days per week,2 days per week,Do not watch at this time,,Trace Urban,Because of good music videos,Monday,American movies, ,, ,, ,News & current affairs,News & current affairs,Dramas,None/Don’t know,Entertainment,Entertainment,Religious issues,Entertainment,Entertainment,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60549711,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Less than that,5 days per week,4 days per week,Less than that,Do not watch at this time,,Prime Television,They bring nice movies,Wednesday,Local drama, ,News, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Entertainment,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,,, 
60549712,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,2 days per week,,MTV Base,I watch music videos,Tuesday,Other (specify),Music videos,, ,"Morning Live,Other (specify)",News,News & current affairs,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60549713,At home, ,On a TV set,2 days per week,Less than that,2 days per week,2 days per week,7 days per week,Less than that,Do not watch at this time,,TV1,Because of local news,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Other sports,Local drama", ,, ,"Morning Live,Other (specify)",News,News & current affairs,Sports,Entertainment,None/Don’t know,None/Don’t know,Dramas,Religious issues,None/Don’t know,Entertainment,Dramas,Entertainment,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60549714,At home, ,On a TV set,Less than that,Less than that,Less than that,4 days per week,4 days per week,1 day per week,Do not watch at this time,,SuperSport 3,Because I love watching soccer,Saturday,"Soccer commentaries,Other sports,American movies,Local drama", ,News, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60549715,At home, ,On a TV set,Do not watch at this time,1 day per week,1 day per week,1 day per week,7 days per week,7 days per week,Do not watch at this time,,{0},because of the action movies,Sunday,"American movies,Other (specify)",music videos,News, ,, ,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60550261,At home, ,On a TV set,3 days per week,Do not watch at this time,7 days per week,6 days per week,3 days per week,2 days per week,Do not watch at this time,,SuperSport 2,because it has access football programmes,"Saturday,Sunday",, ,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,Entertainment,Movies,Entertainment,News & current affairs,Sports,Entertainment,Religious issues,Entertainment,Sports,,, 
60550361,At home, ,On a TV set,3 days per week,2 days per week,1 day per week,Do not watch at this time,5 days per week,7 days per week,1 day per week,,SuperSport 1,Because I love sports,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,African movies", ,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,Sports,None/Don’t know,Sports,None/Don’t know,Sports,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60550362,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,Do not watch at this time,,BBC Lifestyle,Rap game,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,News & current affairs,News & current affairs,Movies,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60550363,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,I like the series that they bring,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Other (specify),Indian movies,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60550364,At home, ,On a TV set,Do not watch at this time,1 day per week,6 days per week,6 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,,{0},it brings encouraging sermons,"Saturday,Sunday","African movies,Magazine", ,, ,, ,News & current affairs,News & current affairs,Movies,Dramas,Movies,Entertainment,Religious issues,None/Don’t know,Entertainment,Entertainment,Entertainment,Movies,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Movies,,, 
60550365,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,I love the series that come there,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Other (specify),Indian movies,, ,, ,News & current affairs,Political issues,Entertainment,None/Don’t know,None/Don’t know,Entertainment,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Movies,None/Don’t know,Movies,None/Don’t know,Entertainment,Entertainment,,, 
60550366,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,it brings entertaining series,"Monday,Tuesday,Wednesday,Thursday,Friday","Mexican movies,Local drama", ,, ,, ,News & current affairs,News & current affairs,Movies,Movies,Entertainment,Entertainment,Religious issues,None/Don’t know,Entertainment,Entertainment,Entertainment,Movies,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,,, 
60550986,At home, ,On a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,Nickelodeon,Because of cool staffs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",, ,, ,, ,News & current affairs,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Movies,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,,, 
60551587,At home, ,On a TV set,Do not watch at this time,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Do not watch at this time,,Emmanuel TV,it's teachs about the word of God,Sunday,, ,, ,, ,News & current affairs,Religious issues,None/Don’t know,None/Don’t know,Dramas,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Movies,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,,, 
60551800,"At home,Another household (friends, relatives house)", ,On a TV set,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,Telemundo,entertainment,Monday,"African movies,Local drama", ,, ,, ,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,Dramas,None/Don’t know,Religious issues,Movies,Entertainment,Dramas,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,,, 
60552083,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,TV 2,because i just like the station,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Mexican movies, ,, ,"Morning Live,Wild Drake,Criminal Minds,Movie,Destiny River", ,Sports,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,Movies,Political issues,None/Don’t know,Movies,None/Don’t know,Movies,None/Don’t know,,, 
60552219,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Less than that,Less than that,,Emmanuel TV,because of prayer programmes been broadcasted...,"Saturday,Sunday",,prayer programmes on Emmanuel tv,, ,, ,News & current affairs,News & current affairs,Dramas,None/Don’t know,Movies,Dramas,Religious issues,Movies,Entertainment,Movies,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,,, 
60552946,At home, ,On a TV set,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,I like the series,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,News & current affairs,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Education,None/Don’t know,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60553081,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,,Emmanuel TV,because i listened to the gospel of God,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,Sports,Movies,None/Don’t know,Dramas,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,None/Don’t know,Movies,None/Don’t know,Movies,None/Don’t know,,, 
60553130,"At home,Another household (friends, relatives house)", ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,SuperSport 3,I like watching  sports e.g. wrestling  and footbal,"Friday,Saturday,Sunday","Other sports,African movies", ,, ,, ,Education,Movies,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,,, 
60553131,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,M-Net,I am a fan of movies I like  watching  movies alot,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",American movies, ,, ,, ,News & current affairs,News & current affairs,Dramas,None/Don’t know,Movies,None/Don’t know,Religious issues,Movies,None/Don’t know,Dramas,Entertainment,News & current affairs,News & current affairs,Movies,None/Don’t know,Political issues,None/Don’t know,,, 
60553775,"At home,In a bar", ,On a TV set,6 days per week,5 days per week,4 days per week,4 days per week,5 days per week,2 days per week,Do not watch at this time,,Nickelodeon,I like the series they bring and the spongybob,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Other sports,Documentaries,American movies,Other (specify)",and other entertainment,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,News & current affairs,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60553776,At home, ,On a TV set,7 days per week,Less than that,3 days per week,Less than that,7 days per week,3 days per week,Do not watch at this time,,E! Entertainment,I love fashion,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,News & current affairs,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Movies,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60553921,At home, ,On a TV set,2 days per week,1 day per week,1 day per week,1 day per week,6 days per week,Do not watch at this time,Do not watch at this time,,Zee World,I like watching their culture nd way of life,"Monday,Friday,Sunday",Mexican movies, ,News, ,"Morning Live,Enter in - Live", ,News & current affairs,Sports,News & current affairs,None/Don’t know,None/Don’t know,News & current affairs,Religious issues,Political issues,Movies,None/Don’t know,Movies,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60553922,At home, ,On a TV set,4 days per week,4 days per week,2 days per week,1 day per week,3 days per week,2 days per week,Do not watch at this time,,African magic,it's educative,"Monday,Wednesday,Friday","American movies,Mexican movies", ,, ,Morning Live, ,Entertainment,Education,Entertainment,None/Don’t know,Dramas,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Political issues,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,,, 
60554675,At home, ,On a TV set,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,,African magic,movies are educative,Saturday,, ,, ,, ,Sports,Entertainment,Religious issues,None/Don’t know,News & current affairs,None/Don’t know,Religious issues,Dramas,Entertainment,Movies,Entertainment,Political issues,None/Don’t know,None/Don’t know,Dramas,Religious issues,None/Don’t know,,, 
60554815,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,National Geographic Channel,I like animals,Monday,, ,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Movies,Movies,None/Don’t know,Movies,None/Don’t know,None/Don’t know,Movies,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60554971,"Another household (friends, relatives house)", ,On a TV set,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,,Don't know,I don't usually  watch tv because of my church's doctrine and I don't like some of the programs they show,Sunday,,I don't watch tv,, ,, ,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60555110,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Less than that,Do not watch at this time,,Boomerang,It's conducive for family viewing,Saturday,African movies, ,, ,, ,News & current affairs,Political issues,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,Religious issues,None/Don’t know,Entertainment,Entertainment,Entertainment,News & current affairs,None/Don’t know,Entertainment,None/Don’t know,Religious issues,None/Don’t know,,, 
60555311,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,City Channel Cable Network TV,it is not really my favourite channel,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,Entertainment,Dramas,Education,Education,Political issues,Movies,Religious issues,None/Don’t know,None/Don’t know,Dramas,Movies,None/Don’t know,None/Don’t know,Dramas,Dramas,Movies,Dramas,,, 
60555743,At home, ,On a TV set,6 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,4 days per week,,SuperSport 9,spots,Saturday,, ,, ,, ,Political issues,Movies,Dramas,Dramas,Sports,None/Don’t know,Religious issues,Dramas,Entertainment,Movies,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60555767,At home, ,On a TV set,6 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,Emmanuel TV,gospel programmes,"Monday,Thursday,Friday,Saturday,Sunday",,preaching gospel,, ,, ,News & current affairs,News & current affairs,Political issues,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60555768,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,Zee World,series,"Monday,Tuesday,Friday",, ,, ,, ,News & current affairs,News & current affairs,Political issues,Political issues,None/Don’t know,None/Don’t know,Movies,Religious issues,Sports,Education,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Political issues,None/Don’t know,,, 
60555769,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,Zee World,serie,"Wednesday,Saturday",, ,, ,, ,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60555770,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,Nickelodeon,cartoon /comedy,"Wednesday,Friday,Saturday",,movies,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60556109,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,7 days per week,Do not watch at this time,,Zee World,they programmes are entertaining,Friday,"American movies,South African drama programmes", ,, ,, ,News & current affairs,News & current affairs,Dramas,None/Don’t know,News & current affairs,None/Don’t know,Religious issues,Movies,Entertainment,Movies,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60556261,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,Zee World,I like the series dramas they  are not strict  you can even watch with kids around,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Indian drama or Bollywood,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Dramas,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60556427,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,,TV1,nil,Sunday,Local drama, ,Other (specify),none,, ,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60556428,At home, ,On a TV set,7 days per week,6 days per week,7 days per week,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,African Movie Channel (AMC),They bring good movies,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60556558,, ,,,,,,,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,, 
60558612,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,,Telemundo,love,Monday,, ,, ,, ,Political issues,Movies,Dramas,None/Don’t know,Religious issues,None/Don’t know,Religious issues,Movies,Entertainment,Movies,Entertainment,Religious issues,Dramas,None/Don’t know,None/Don’t know,Political issues,None/Don’t know,,, 
60558636,"At home,Another household (friends, relatives house),In a bar,In a restaurant,In a market place,In hospital", ,On a TV set,Do not watch at this time,2 days per week,2 days per week,4 days per week,1 day per week,Do not watch at this time,Do not watch at this time,,Muvi TV,"it the only tv station that brings real facts,about what is really happening in Zambia e.g. economy etc",Thursday,"Soccer commentaries,Other sports,Documentaries,African movies,American movies,Mexican movies,Local drama,Magazine", ,News, ,Morning Live, ,News & current affairs,News & current affairs,Entertainment,News & current affairs,News & current affairs,News & current affairs,Religious issues,Movies,Entertainment,Entertainment,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Political issues,None/Don’t know,,, 
60558637,"At home,Another household (friends, relatives house),In a bar,In a market place", ,On a TV set,2 days per week,3 days per week,2 days per week,1 day per week,7 days per week,7 days per week,Do not watch at this time,,Muvi TV,it has best local movies,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Other sports,Documentaries,African movies,American movies,Mexican movies,South African drama programmes,Local drama,Magazine", ,, ,Other (specify),news update,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Dramas,Movies,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,,, 
60558638,"At home,Another household (friends, relatives house),In a bar", ,On a TV set,Do not watch at this time,Do not watch at this time,6 days per week,6 days per week,7 days per week,7 days per week,Do not watch at this time,,Muvi TV,"it the best entertaining local station in terms of news,soap opera movies and updates on sports",Thursday,"Soccer commentaries,Other sports,Documentaries,African movies,American movies,Mexican movies,South African drama programmes,Local drama,Magazine", ,News, ,Movie, ,News & current affairs,News & current affairs,Entertainment,Dramas,None/Don’t know,Dramas,Religious issues,Movies,Entertainment,Entertainment,Entertainment,Political issues,News & current affairs,Education,None/Don’t know,News & current affairs,None/Don’t know,,, 
60558639,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,Prime Television,it brings reality news,Thursday,"Other sports,Documentaries,American movies,Local drama", ,News, ,Other (specify),local news,News & current affairs,News & current affairs,Dramas,Entertainment,Dramas,Dramas,Religious issues,Dramas,Entertainment,Entertainment,Entertainment,News & current affairs,None/Don’t know,Dramas,Dramas,Political issues,Entertainment,,, 
