SbjNum,Mobile Money Providers/MSP Awareness,Mobile Money Providers/MSP registered with or Used',Q64.      Other Mobile Money Providers/MSP registered with or Used',Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None,Airtel (Airtel Money),Ever Used Airtel (Airtel Money),MTN (MTN Mobile Money),Ever Used MTN (MTN Mobile Money),Zamtel,Ever Used Zamtel,Zoona,Ever Used Zoona,Zanaco (Zapit),Ever Used Zanaco (Zapit),FNB (ewallet),Ever Used FNB (ewallet),Shoprite,Ever Used Shoprite,Zampost,Ever Used Zampost,{0},Ever Used {0},None,None,#N/A,Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None
60508779,Yes,"MTN (MTN Mobile Money),Zoona,Zampost", ,,Yes,,Yes,,,,Yes,,,, ,"Recharged your airtime,Withdrawn money,Sent money by SMS to another mobile number", ,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,Withdrawn money, ,, ,, ,,,Satisfied,,Extremely satisfied,,,,Neither satisfied nor dissatisfied,,
60510231,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60513115,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,No,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60514495,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,FNB (ewallet)", ,Yes,No,Yes,No,,No,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60514496,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,Satisfied,,,,,,
60514497,Yes,"MTN (MTN Mobile Money),Zoona,Shoprite", ,,Yes,,Yes,,,Yes,,,,, ,Withdrawn money, ,, ,Withdrawn money, ,, ,, ,Withdrawn money, ,, ,, ,, ,,,Satisfied,,Satisfied,,,Satisfied,,,
60514498,Yes,"MTN (MTN Mobile Money),Zoona,FNB (ewallet),Shoprite", ,,Yes,,Yes,,Yes,Yes,,,,, ,Withdrawn money, ,, ,Withdrawn money, ,, ,Withdrawn money, ,"Sent money to a bank account,Withdrawn money", ,, ,, ,, ,,,Satisfied,,Satisfied,,Satisfied,Dissatisfied,,,
60514499,Yes,Zoona, ,,,,Yes,,,,,,,, ,, ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,,,Satisfied,,,,,,
60514730,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60514731,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Sent money by SMS to another mobile number,Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60514732,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,No,Yes,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60514733,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Other (specify), ,,,,,,,,,,,Satisfied
60514734,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Other (specify), ,,,,,,,,,,,Satisfied
