SbjNum,Mobile Money Providers/MSP Awareness,Mobile Money Providers/MSP registered with or Used',Q64.      Other Mobile Money Providers/MSP registered with or Used',Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None,Airtel (Airtel Money),Ever Used Airtel (Airtel Money),MTN (MTN Mobile Money),Ever Used MTN (MTN Mobile Money),Zamtel,Ever Used Zamtel,Zoona,Ever Used Zoona,Zanaco (Zapit),Ever Used Zanaco (Zapit),FNB (ewallet),Ever Used FNB (ewallet),Shoprite,Ever Used Shoprite,Zampost,Ever Used Zampost,{0},Ever Used {0},None,None,#N/A,Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None
60563620,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60563621,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Sent money by SMS to another mobile number,Withdrawn money", ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,,,,,,,
60563622,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number", ,"Recharged your airtime,Sent money by SMS to another mobile number,Paid a bill", ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,,,,,,,
60563623,Yes,MTN (MTN Mobile Money), ,,No,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60563624,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60563625,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60563626,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60563627,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60563628,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60563629,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60564342,Yes,"MTN (MTN Mobile Money),Zoona,Shoprite", ,,Yes,,Yes,,,Yes,,,,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,,Satisfied,,Satisfied,,,Extremely satisfied,,,
60564875,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Recharged your airtime, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60564876,Yes,"Zoona,Shoprite", ,,,,Yes,,,Yes,,,,, ,, ,, ,Withdrawn money, ,, ,, ,Other (specify), ,, ,, ,, ,,,,,Satisfied,,,Satisfied,,,
60564877,Yes,"Zoona,FNB (ewallet)", ,,,,No,,No,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60564878,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,Recharged your airtime, ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,Satisfied,,,,,,
60564879,Yes,Zoona, ,,,,No,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60564880,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,No,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60565711,Yes,"MTN (MTN Mobile Money),Zanaco (Zapit)", ,,Yes,,,No,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Online shopping,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,Dissatisfied,,,,,
60566078,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60566079,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60566403,Yes,Airtel (Airtel Money), ,No,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60566478,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,,,,,,,,,
60566479,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60566480,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60566481,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,,,,,,,,,
60567058,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Paid a bill,Recharged your airtime,Withdrawn money", ,"Recharged your airtime,Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,Extremely satisfied,,,,,,,,
60567059,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60567060,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60567061,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,,,,,,,,,
60567062,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zanaco (Zapit)", ,Yes,Yes,,,Yes,,,,,,"Paid a bill,Recharged your airtime,Other (specify)", ,"Recharged your airtime,Paid a bill,Other (specify)", ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,Extremely satisfied,,,Dissatisfied,,,,,
60567063,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Withdrawn money,Sent money to a bank account", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60567064,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,,,,,,,
60567070,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567071,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567072,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,Yes,Yes,,Yes,,,,,,,Withdrawn money, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,Sent money by SMS to another mobile number, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,Dissatisfied,,,,,,
60567073,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567074,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567075,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,Withdrawn money, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,,,,,,,
60567076,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567077,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money,Other (specify)", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Neither satisfied nor dissatisfied,,,,,,,,
60567078,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567079,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Recharged your airtime,Paid a bill", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60567080,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Sent money to a bank account,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567100,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Neither satisfied nor dissatisfied,,,,,,,,
60567101,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567102,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567103,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567104,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567105,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Sent money by SMS to another mobile number,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567106,Yes,"Airtel (Airtel Money),Zoona", ,Yes,,,Yes,,,,,,,Withdrawn money, ,, ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,Neither satisfied nor dissatisfied,,,Neither satisfied nor dissatisfied,,,,,,
60567107,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567108,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money to a bank account,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60567437,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Recharged your airtime,Withdrawn money,Sent money by SMS to another mobile number", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,Satisfied,,,,,,
60567438,Yes,"MTN (MTN Mobile Money),Zoona,Shoprite,Zampost", ,,Yes,,Yes,,,Yes,Yes,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,Sent money by SMS to another mobile number, ,, ,, ,Sent money by SMS to another mobile number, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,,,Extremely satisfied,,Satisfied,,,Neither satisfied nor dissatisfied,Satisfied,,
60567439,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Recharged your airtime, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60567440,Yes,"Airtel (Airtel Money),Zoona,Zanaco (Zapit)", ,Yes,,,Yes,Yes,,,,,,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,Satisfied,,,Satisfied,Satisfied,,,,,
60567441,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,,Satisfied,,Satisfied,,,,,,
60567442,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,Neither satisfied nor dissatisfied,,,,,,
60567443,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Withdrawn money,Recharged your airtime", ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,Neither satisfied nor dissatisfied,,,,,,
60567549,Yes,"Airtel (Airtel Money),Zoona", ,Yes,,,Yes,,,,,,,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,Satisfied,,,Satisfied,,,,,,
60567584,Yes,"Airtel (Airtel Money),Zoona,Shoprite", ,Yes,,,Yes,,,Yes,,,,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,Satisfied,,,Satisfied,,,Satisfied,,,
60573808,Yes,"Airtel (Airtel Money),Zoona,Zampost", ,Yes,,,No,,,,Yes,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60573809,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60573810,Yes,Zoona, ,,,,No,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60573811,Yes,"Airtel (Airtel Money),Zoona,Shoprite", ,Yes,,,Yes,,,Yes,,,,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,Withdrawn money, ,, ,, ,Other (specify), ,, ,, ,, ,,Satisfied,,,Extremely satisfied,,,Satisfied,,,
60573812,Yes,"MTN (MTN Mobile Money),Zoona,Shoprite", ,,No,,No,,,No,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60574148,Yes,"MTN (MTN Mobile Money),Zanaco (Zapit)", ,,Yes,,,Yes,,,,,,, ,"Withdrawn money,Sent money to a bank account,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,Extremely satisfied,,,,,
60574364,Yes,Zanaco (Zapit), ,,,,,Yes,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,Extremely satisfied,,,,,
60574845,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money to a bank account,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60574952,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Paid a bill", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60575252,Yes,"MTN (MTN Mobile Money),Zanaco (Zapit),FNB (ewallet)", ,,Yes,,,Yes,Yes,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Paid a bill,Online shopping", ,, ,, ,, ,"Withdrawn money,Sent money to a bank account,Paid a bill", ,, ,, ,, ,, ,,,Extremely satisfied,,,Extremely satisfied,Extremely satisfied,,,,
60575525,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60576616,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60576696,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60576732,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money to a bank account,Paid a bill,Withdrawn money,Online shopping", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60576747,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Sent money to a bank account,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Neither satisfied nor dissatisfied,,,,,,,,
60578058,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60578278,Yes,Zanaco (Zapit), ,,,,,Yes,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,Extremely satisfied,,,,,
60578378,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Withdrawn money,Paid a bill,Recharged your airtime", ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,Extremely satisfied,,,,,,
60578379,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60578380,Yes,"MTN (MTN Mobile Money),Zoona,Zampost", ,,Yes,,Yes,,,,Yes,,,, ,"Withdrawn money,Sent money by SMS to another mobile number,Recharged your airtime", ,, ,Withdrawn money, ,, ,, ,, ,Withdrawn money, ,, ,, ,,,Extremely satisfied,,Satisfied,,,,Satisfied,,
60578498,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60578499,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60578500,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60578547,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Haven’t used any services, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60578701,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60578819,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Online shopping,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60579212,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money to a bank account,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60580042,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60580247,Yes,"Airtel (Airtel Money),Zoona,Shoprite", ,Yes,,,Yes,,,Yes,,,,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,Satisfied,,,Satisfied,,,Satisfied,,,
60580371,Yes,"Zoona,Shoprite", ,,,,Yes,,,Yes,,,,, ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,,,,Satisfied,,,Satisfied,,,
60580544,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60580917,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,Satisfied,,,,,,
60580918,Yes,"MTN (MTN Mobile Money),Zoona,Zampost", ,,Yes,,No,,,,No,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60580919,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60580920,Yes,"Zoona,Zanaco (Zapit),Shoprite,Zampost", ,,,,No,No,,No,No,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60581019,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60581148,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Sent money to a bank account,Bought movie tickets,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60581149,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60581150,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60581151,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Recharged your airtime,Sent money by SMS to another mobile number,Online shopping,Withdrawn money", ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Dissatisfied,Satisfied,,,,,,,,
60581524,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money,Paid a bill", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60582292,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Other (specify), ,,,,,,,,,,,Neither satisfied nor dissatisfied
60582293,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60582294,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Recharged your airtime,Paid a bill,Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60582407,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,,,Satisfied,,Satisfied,,,,,,
60582408,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60582409,Yes,"Airtel (Airtel Money),Zoona,Zanaco (Zapit)", ,Yes,,,Yes,Yes,,,,,,"Sent money by SMS to another mobile number,Withdrawn money,Recharged your airtime", ,, ,, ,"Sent money to a bank account,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,Satisfied,,,Satisfied,Neither satisfied nor dissatisfied,,,,,
60582410,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60582411,Yes,"MTN (MTN Mobile Money),Zoona,Shoprite", ,,Yes,,Yes,,,Yes,,,,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,,,Satisfied,,Satisfied,,,Extremely satisfied,,,
60582629,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60583044,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60583045,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60583046,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60583047,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60583048,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,,,,,,,,,
60583049,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60583050,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60583051,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
