SbjNum,TOM - TV Spontaneous Awareness,Other Mentions - TV Spontaneous Awareness,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
82181716,"ABN TB,Africa Unite,African Magic, Zambezi Magic,Al Jazeera,Amnet,Animal Planet,B4U Movies,Baby TV,Bakadoli,BBC Earth,BBC Lifestyle,BET,Bollywood,Cartoon network,Channel O,CNN,Discovery Channel,Discovery Family,Discovery Science,Disney Channel,E Africa,E! Entertainment,Ebony Life TV,Echo TV,Emmanuel TV,ESPN,Eva English,Fashion One,Fashion TV,Football Tv,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Fuel TV- Sports channel,Gospel Music TV,Hope Channel,Hossana Tv,Inspiration TV,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,Joy TV,Life TV,Magic,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV Base,Music,Muvi TV,My TV,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,One Gospel,One Music,Parliament TV,Prime Television,Q TV,QTV Zambia,SABC,Sony Entertainment,Sony Max,Star Africa 2,Star Bollywood,Star Chinese 2,Star KungFu 1,Star Movies 1,Star Movies 1 +2Hrs,Star Novela E1,Star Novela E3,Star One,Star Plus,Star Series E1,Star Zone- movies,StarTimes Bollywood HD,StarTimes Dadin Kowa,StarTimes Gospel,StarTimes Music,StarTimes SA Music,StarTimes Soul,Startimes Sports 2,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,TBN,Telemundo,UBC,Universal Channel,Viasat Crime,Viasat Explore,Viasat History,Viasat Nature,World Football,Zee Cinema,Zee World,TV 2,TV 3,TV1,Diamond,Others,None", ,297,"Disney Channel,E Africa,Fox,MTV Base,Nickelodeon,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9", , , , 
82181719,"African Magic, Zambezi Magic,Channel O,SuperSport,Trace Urban", ,297,"African Magic, Zambezi Magic,Channel O,SuperSport,Trace Urban", , , , 
82182246,"Telemundo,Zee World", ,"Al Jazeera,SuperSport 3,TV 2,TV1","Al Jazeera,SuperSport 3,Telemundo,Zee World", , , , 
82182407,"African Magic, Zambezi Magic,African Movie Channel (AMC),Animal Planet,BBC Lifestyle,BBC World News,E! Entertainment,Emmanuel TV,M-Net City,M-Net Movies Action,MTV Base,Trace Urban,Others", ,"Al Jazeera,Boomerang,Channel O","African Magic, Zambezi Magic,African Movie Channel (AMC),Animal Planet,Channel O,E! Entertainment", , , , 
82182736,"TV 2,TV1", ,Prime Television,"Prime Television,TV 2,TV1", , , , 
82183434,"Al Jazeera,Disney Channel,E Africa,Emmanuel TV,Fox,Hossana Tv,M-Net Movies Action,Muvi TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Telemundo,Wap TV,World Football,Zee Cinema,Zee World,TV 2,TV 3,TV1,Zuku Novella,Zuku Sports,Zuku Swahili Movies,Diamond,Others", ,297,Emmanuel TV, , , , 
82184233,"African Magic, Zambezi Magic,African Movie Channel (AMC),B4U Movies,Baby TV,BBC Brit,BBC Earth,BBC First,BBC Lifestyle,BBC World News,Emmanuel TV,Fox Entertainment,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,KTN,KTN News,Learn Tv,Lifetime,Miracle Tv,M-Net,M-Net Edge,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Showcase,M-Net Movies Stars,MSNBC,MTV,MTV Base,Mzansi,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,Zee Cinema,Zee World", ,"ABN TB,Africa Unite,Ahluibayt TV,Al Jazeera,AMC USA,Amnet,Animaux,Bakadoli,BET,Channel ED,Channel O,Citizen TV,E Africa,E! Entertainment,Ebony Life TV,Family TV,Fashion One,Fine Living Network,Food Network,Hope Channel,I 24 News,ID Investigation Discovery,Ignition,Luso TV,Magic,Mindset,M-Net City,M-Net Movies Action,M-Net Movies Premier,M-Net Movies Romance,Muvi Yanga,My TV,Natura,NBA TV HD,Zuku Nolly,Zuku Novella,Zuku Swahili Movies,Zuku Zone,Diamond,293,295","ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),AMC USA,BBC World News,E Africa,Emmanuel TV,M-Net City,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,MTV Base,Nat Geo Wild,Prime Television,Q TV,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,Zee Cinema,Zee World", , , , 
82185923,"African Magic, Zambezi Magic,Al Jazeera,Emmanuel TV,Inspiration TV,Jim Jam,Nat Geo Wild,National Geographic Channel,Nickelodeon,Parliament TV,Prime Television,Q TV,Sony Entertainment,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,TV 2,TV1,Diamond", ,297,"African Magic, Zambezi Magic,Nat Geo Wild,Zee World", , , , 
82185932,"Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9", ,"TV 2,TV 3,TV1","SuperSport 1,SuperSport 2,SuperSport 3,TV 2,TV 3,TV1", , , , 
82188309,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Amnet,B4U Movies,BBC Earth,BBC First,BBC Lifestyle,BBC World News,Discovery Channel,Discovery Family,Discovery IDX,Discovery Science,Disney Channel,Disney XD,SuperSport 8,Diamond,Others,None", ,"1 Music,3 Stones TV,ABN TB,Zee World","African Movie Channel (AMC),Al Jazeera,BBC Earth,BBC First,Zee World,Diamond,{0}", , , , 
