SbjNum,TOM - TV Spontaneous Awareness,Other Mentions - TV Spontaneous Awareness,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
60528193,"TV 2,TV 3,TV1,Others",prophetic tv,"Al Jazeera,BBC World News,Emmanuel TV,TBN,Diamond","Al Jazeera,BBC World News,Emmanuel TV,TBN,TV 2,TV 3,TV1,Diamond,{0}","Emmanuel TV,TV 2,TV1,{0}","Emmanuel TV,TV 2,TV1,{0}","Al Jazeera,BBC World News,Emmanuel TV,TBN,TV 2,TV 3,TV1,Diamond,{0}","Al Jazeera,BBC World News,Emmanuel TV,TBN,TV 2,TV 3,TV1,Diamond,{0}"
60528194,"African Magic, Zambezi Magic,Chipata,TBN,Telemundo,Zee World,TV 2,TV 3,TV1", ,"Africa Unite,African Movie Channel (AMC),Al Jazeera,AMC Series,BBC World News,Cartoon network,CCTV News,Channel O,Discovery IDX,DW-TV,E Africa,E! Entertainment,Emmanuel TV,ESPN,Fox Crime,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Fuel TV- Sports channel,FX,Ginx TV,Glow TV,Gospel Music TV,Hope Channel,Hossana Tv,iConcerts,ID Investigation Discovery,Ignition,Inooro TV,Inspiration TV,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,Joy TV,M-Net,M-Net City,M-Net Edge,M-Net Movies Zone,Mobi Tv,MTV,Muvi TV,Nat Geo Wild,Parliament TV,POP,Prime Television,QTV Zambia,SABC,Star Africa 2,Star Bollywood,Star Chinese 2,Star KungFu 1,Star Movies 1,Star Movies 1 +2Hrs,Star Novela E1,Star Novela E3,Star One,Star Plus,Star Series E1,Star Zone- movies,StarTimes Soul,SuperSport","Africa Unite,African Magic, Zambezi Magic,Al Jazeera,AMC Series,BBC World News,E Africa,E! Entertainment,Emmanuel TV,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Fuel TV- Sports channel,FX,Ginx TV,Glow TV,Gospel Music TV,Hope Channel,Hossana Tv,ID Investigation Discovery,Inooro TV,Inspiration TV,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,Muvi TV,Prime Television,QTV Zambia,SABC,Star Africa 2,Star Bollywood,Star Chinese 2,Star KungFu 1,Star Movies 1,Star Novela E1,Star Novela E3,Star One,Star Plus,SuperSport,Telemundo,Zee World,TV 2,TV 3,TV1","TV 2,TV 3,TV1","TV 2,TV 3,TV1","Al Jazeera,BBC World News,Fox Movies,Fox News,Fox Sports 2,Telemundo,Zee World,TV 2,TV 3,TV1","Africa Unite,African Magic, Zambezi Magic,Al Jazeera,AMC Series,BBC World News,E Africa,E! Entertainment,Emmanuel TV,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Fuel TV- Sports channel,FX,Ginx TV,Glow TV,Gospel Music TV,Hope Channel,Hossana Tv,ID Investigation Discovery,Inooro TV,Inspiration TV,Iroko Play-African Movies,Iroko Plus-African Movies,Muvi TV,Prime Television,QTV Zambia,Star Africa 2,Star Movies 1,Telemundo,Zee World,TV 2,TV 3,TV1"
60528203,"African Magic, Zambezi Magic,Zee World,Diamond", ,"African Movie Channel (AMC),Zee Cinema,TV 2,TV 3,TV1","African Magic, Zambezi Magic,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
60528461,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,MTV Base,Nat Geo Wild,Parliament TV,Star KungFu 1", ,"African Movie Channel (AMC),Baby TV","African Magic, Zambezi Magic,Al Jazeera,MTV Base,Parliament TV,Star KungFu 1","African Magic, Zambezi Magic,Al Jazeera,MTV Base,Parliament TV,Star KungFu 1","African Magic, Zambezi Magic,Al Jazeera,MTV Base,Parliament TV,Star KungFu 1","African Magic, Zambezi Magic,Al Jazeera,MTV Base,Parliament TV,Star KungFu 1","African Magic, Zambezi Magic,Al Jazeera,MTV Base,Parliament TV,Star KungFu 1"
60529347,"BBC Brit,Telemundo,TV 2,TV 3,TV1", ,"African Magic, Zambezi Magic,Al Jazeera,Animal Planet,Baby TV,BBC Lifestyle,BBC World News,BET,Bollywood,Cartoon network,Cbeebies,Channel O,CNN,Discovery Channel,Disney XD","BBC Brit,Telemundo,TV 2,TV 3,TV1",Telemundo,"Telemundo,TV 3,TV1","Telemundo,TV 2,TV1","Telemundo,TV 2,TV1"
60529376,"Africa Unite,African Magic, Zambezi Magic,Baby TV,BBC World News,Bollywood,Cartoon network,CBC TV,Cbeebies,Channel Ten,Discovery Family,Discovery IDX,Discovery Science,Disney Channel,Family TV,Fashion One,Fashion TV,Food Network,Football Tv,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Muvi TV,Prime Television,Q TV,QTV Zambia,Sony Entertainment,Sony Max,SuperSport,SuperSport 1,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Trace Sports Stars,TVC News,Wap TV,WBS,World Football,Zee Cinema,Zee World,TV 2,TV 3,TV1,Zuku Zone", ,"African Movie Channel (AMC),B4U Movies,Discovery Channel",Zee World,Zee World,Zee World,Zee World,Zee World
60529579,"Muvi TV,TV 2,TV1,Diamond", ,"Al Jazeera,B4U Movies,BBC Brit,BBC Earth,BBC First,BBC Lifestyle,BBC World News,BET,BET International,CBS TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Discovery Channel,Discovery Family,Discovery IDX,Discovery Science,Disney Channel,E! Entertainment,EA TV,ESPN,Family TV,Fashion One,Fashion TV,Fine Living Network,Food Network,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Gospel Music TV,Hossana Tv,Learn Tv,Life TV,Lifetime,Mindset,Miracle Tv,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi Combo,Muvi Education,Muvi Nkani,Muvi Novela,Muvi Nyimbo,Muvi Prism Africa,Muvi Yanga,MUVIZ,My TV,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,NBA TV,NBA TV HD,NBS Uganda,Nick Jr,Nickelodeon,North-Western TV,Novela E1,Nyimbo Channel,One Gospel,Parliament TV,Peoples Weather,Press Tv,Prime Television,Prism Africa,Q TV,SABC,Sky News,Smile of a Child,Soweto TV,Star Africa 2,Star Chinese 2,Star Movies 1,Star Movies 1 +2Hrs,Star Novela E1,Star Novela E3,Star One,Star Plus,Star Series E1,Star Zone- movies,StarTimes Bollywood HD,StarTimes Dadin Kowa,StarTimes Gospel,StarTimes Music,StarTimes SA Music,StarTimes Soul,Startimes Sports 2,STN,Studio Universal,STV Guide,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,TBN,TCM,Telemundo,Telly Track,The Home Channel,Times Now,Times TV,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Sports Stars,Trace Urban,Travel Channel,True Movies 1,TV Sibuka,TVC News,UBC,Universal Channel,VH1 Classic,VIA,Viasat Crime,Viasat Explore,Viasat History,Viasat Nature,Vuzu,Vuzu AMP,Wap TV,WBS,World Football,Zee Cinema,Zee World,Zing,TV 3,Zodiak TV,Zuku Entertainment,Zuku Kids,Zuku Life,Zuku Movies Action,Zuku Movies Family,Zuku Movies Max,Zuku Nolly,Zuku Novella,Zuku Sports,Zuku Swahili Movies,Zuku Zone","BBC Lifestyle,BBC World News,BET,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi TV,Nick Jr,Nickelodeon,Q TV,Studio Universal,SuperSport 3,SuperSport 5,SuperSport 7,Supersport Blitz,SuperSport Select,Trace Gospel,Trace Muzik,Trace Sports Stars,Trace Urban,Universal Channel,VH1 Classic,TV 2,TV1,Diamond",TV 2,TV 2,"BET,TV 2","BBC Lifestyle,BBC World News,BET,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi TV,Nick Jr,Nickelodeon,Q TV,Studio Universal,SuperSport 3,SuperSport 5,SuperSport 7,Supersport Blitz,SuperSport Select,Trace Gospel,Trace Muzik,Trace Sports Stars,Trace Urban,Universal Channel,VH1 Classic,TV 2,TV1,Diamond"
60529580,"Channel O,Disney Channel,Nick Jr,Nickelodeon,SuperSport,SuperSport Select,Zee Cinema", ,"Emmanuel TV,Jim Jam,SuperSport 2,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9","Channel O,Emmanuel TV,Jim Jam,Nick Jr,SuperSport,SuperSport 2,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport Select,Zee Cinema","Channel O,Zee Cinema","Channel O,Emmanuel TV,Jim Jam,SuperSport 5,SuperSport 7,Zee Cinema","Channel O,Emmanuel TV,Jim Jam,Nick Jr,SuperSport,SuperSport 2,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport Select,Zee Cinema","Channel O,Emmanuel TV,Jim Jam,Nick Jr,SuperSport,SuperSport 2,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport Select,Zee Cinema"
60530085,"Q TV,QTV Zambia,TV 2,TV1", ,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Channel O,Discovery Channel,E Africa,E! Entertainment,Emmanuel TV,Parliament TV,SuperSport 3,TBN,Zee World,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Channel O,Discovery Channel,E Africa,Emmanuel TV,Parliament TV,Q TV,QTV Zambia,SuperSport 3,TBN,Zee World,TV 2,TV1,Diamond","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Al Jazeera,Parliament TV,SuperSport 3,TV 2,TV1","African Magic, Zambezi Magic,Al Jazeera,Emmanuel TV,Parliament TV,Q TV,SuperSport 3,TV 2,TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Channel O,Discovery Channel,E Africa,Emmanuel TV,Parliament TV,Q TV,QTV Zambia,SuperSport 3,TBN,Zee World,TV 2,TV1,Diamond"
60530086,"E Africa,EA TV,Emmanuel TV,Telemundo,TV 2,TV 3,TV1,Diamond", ,"ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,CBC TV,Channel O,Disney Channel,E! Entertainment,SuperSport 1,SuperSport 2,SuperSport 3,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Channel O,E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,TV 2,TV 3,TV1,Diamond",TV1,"TV 2,TV 3,TV1","TV 2,TV 3,TV1,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,Telemundo,Zee World,TV 2,TV 3,TV1,Diamond"
60530176,Disney Channel, ,B4U Movies,Disney Channel,Disney Channel,Disney Channel,Disney Channel,Disney Channel
60531169,"1 Music,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC Brit,BBC World News,Emmanuel TV,Miracle Tv", ,Zee World,Emmanuel TV,Emmanuel TV,Emmanuel TV,Emmanuel TV,Emmanuel TV
60531744,"Cartoon network,Disney Channel,TV 2,TV1", ,"ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Amnet,Animal Planet,Baby TV,Bakadoli,BBC Brit,BBC Earth,BBC Lifestyle,BBC World News,BET,BET International,Beta TV,Bloomberg,Bollywood,Boomerang,Bostv,Box,Brazil,Channel O,Citizen TV,Classic Music TV,CNN,Combo,Crime + Investigation,Discovery Channel,Discovery Family,Discovery IDX,E! Entertainment,Family TV,Fashion One,Fashion TV,Food Network,Football Tv,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Sports,Gospel Music TV,I 24 News,Jim Jam,KTN,Life TV,Living Foodz,MBC,M-Net City,M-Net Movies Action +,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Music,Mzansi,Nat Geo Gold,Nickelodeon,Njata TV,North-Western TV,NTV,One Gospel,One Music,Others,Peoples Weather,Press Tv,Prism Africa,Q TV,Qyou TV,SABC,Smash Hits,Soweto TV,Star Africa 2,Star Bollywood,Star Plus,StarTimes Bollywood HD,StarTimes Soul,Studio Universal,SuperSport,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 7,Supersport Blitz,TCM,Telemundo,Trace Muzik,True Movies 1,TV Sibuka,VH1 Classic,World Football,Zuku Kids,Zuku Movies Family,Diamond","Al Jazeera,Mzansi,Telemundo,TV1",TV1,"Mzansi,TV1","Mzansi,TV1","Al Jazeera,Mzansi,Telemundo,TV1"
60531824,"African Magic, Zambezi Magic,Gospel Music TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World", ,"Emmanuel TV,Magic,One Gospel","African Magic, Zambezi Magic,Emmanuel TV,Gospel Music TV,One Gospel,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Emmanuel TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Zee World"
60531878,"Disney Channel,Fashion TV", ,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC)","African Movie Channel (AMC),Disney Channel","African Movie Channel (AMC),Disney Channel","African Movie Channel (AMC),Disney Channel","African Movie Channel (AMC),Disney Channel","African Movie Channel (AMC),Disney Channel"
60532056,"Parliament TV,Press Tv,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,TV 2,TV 3,TV1", ,"ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC Earth,BBC World News,Cartoon network,CCTV News,Channel O,Citizen TV,City Channel Cable Network TV,E-Stars,France 24,Nat Geo Gold,Nat Geo Wild,National Geographic Channel","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC Earth,CCTV News,Channel O,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Parliament TV,Press Tv,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,TV 2,TV 3,TV1","National Geographic Channel,TV1","National Geographic Channel,Parliament TV,SuperSport 1,SuperSport 9,TV 2,TV1","ABN TB,Africa Unite,BBC Earth,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Parliament TV,Press Tv,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,TV 2,TV 3,TV1","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC Earth,CCTV News,Channel O,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Parliament TV,Press Tv,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,TV 2,TV 3,TV1"
60532792,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Amnet,Animal Planet,Baby TV,Bakadoli,BBC World News,Discovery IDX,Discovery Science,Disney XD,Emmanuel TV,Fashion One,Fox Sports,Fox Sports 2,Prism Africa,Q TV,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Zee World,TV 2,TV1,Diamond", ,None,,,,,
60533355,"African Movie Channel (AMC),M-Net Movies Zone,Nickelodeon,Zee World", ,"Fashion TV,Fox Entertainment",None,,,,
60534190,"BBC World News,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 9,TV 2,TV1", ,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,B4U Movies,E Africa,E! Entertainment,Emmanuel TV,Football Tv,Jim Jam,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,North-Western TV,Novela E1,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,Supersport Blitz,SuperSport Select,TBN,Zee World,TV 3,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Emmanuel TV,Jim Jam,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Prime Television,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 9,TBN,Zee World,TV 2,TV 3,TV1,Diamond","Zee World,TV 2,TV1","Emmanuel TV,Nat Geo Gold,Nat Geo Wild,Prime Television,SuperSport 1,SuperSport 4,SuperSport 9,Zee World,TV 2,TV 3,TV1,Diamond","African Magic, Zambezi Magic,Emmanuel TV,Nat Geo Wild,Prime Television,SuperSport 2,SuperSport 4,TBN,Zee World,TV 2,TV 3,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Emmanuel TV,Jim Jam,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Prime Television,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 9,TBN,Zee World,TV 2,TV 3,TV1,Diamond"
60534385,"African Magic, Zambezi Magic,BBC World News,City Channel Cable Network TV,Disney Channel,Jim Jam,Nick Jr,Nickelodeon,SuperSport,SuperSport 1,SuperSport 2,Zee World,Others",Eva +,"Discovery Channel,E Africa,Hope Channel,Novela E1,Star KungFu 1,Star Series E1,Star Zone- movies,Telemundo,TV 2,TV1,Diamond","African Magic, Zambezi Magic,BBC World News,City Channel Cable Network TV,Discovery Channel,Disney Channel,E Africa,Hope Channel,Jim Jam,Nick Jr,Nickelodeon,Novela E1,Star KungFu 1,Star Series E1,Star Zone- movies,SuperSport,SuperSport 1,SuperSport 2,Telemundo,Zee World,TV 2,TV1,Diamond,{0}",TV1,TV1,TV1,"African Magic, Zambezi Magic,BBC World News,City Channel Cable Network TV,Discovery Channel,Disney Channel,E Africa,Hope Channel,Jim Jam,Nick Jr,Nickelodeon,Novela E1,Star KungFu 1,Star Series E1,Star Zone- movies,SuperSport,SuperSport 1,SuperSport 2,Telemundo,Zee World,TV 2,TV1,Diamond"
60534386,"Zee World,TV 3,TV1,Diamond", ,"African Magic, Zambezi Magic,Sony Max,Telemundo,TV 2","African Magic, Zambezi Magic,Sony Max,Telemundo,Zee World,TV 2,TV 3,TV1,Diamond","Zee World,TV1","Telemundo,Zee World,TV1","African Magic, Zambezi Magic,Sony Max,Telemundo,Zee World,TV1","African Magic, Zambezi Magic,Sony Max,Telemundo,Zee World,TV1"
60534387,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC World News,CNN,E Africa,National Geographic Channel,Parliament TV,Prime Television,Zee World,TV 2,TV 3,TV1,Diamond", ,"SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN","Al Jazeera,BBC World News,CNN,E Africa,National Geographic Channel,Parliament TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TV 2,TV1,Diamond","Al Jazeera,BBC World News,CNN,Parliament TV,TV1","Al Jazeera,BBC World News,CNN,Parliament TV,TV1","Al Jazeera,BBC World News,CNN,Parliament TV,SuperSport,SuperSport 1,TV1","Al Jazeera,BBC World News,CNN,Parliament TV,SuperSport,SuperSport 1,SuperSport Select,TV1"
60534388,"African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV,MTV Base,National Geographic Channel,Nickelodeon,Zee World,TV 2", ,"B4U Movies,Cartoon network,Muvi TV,Telemundo,TV1","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,TV 2","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,TV 2","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,TV 2","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,TV 2","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,TV 2"
60534661,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,B4U Movies,BBC Lifestyle,BBC World News,Comedy Central,Discovery Channel,Discovery Family,Discovery Science,Disney Channel,Disney XD,Emmanuel TV,Fox Movies,Fox Movies +2,Fox Sports 2,Lifetime,Magic,M-Net,M-Net Movies Action +,M-Net Movies Family,Music,Muvi Muvis,Q TV,QTV Zambia,SABC,Sony Entertainment,Sony Max,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,Viasat Explore,World Football,Zee Cinema,Zee World,TV 2,TV 3,TV1,Diamond", ,"Cartoon network,Discovery IDX,E! Entertainment,Fox Crime,Fox Entertainment,Fox Sports,Gospel Music TV,Hossana Tv","African Magic, Zambezi Magic,Q TV,World Football,Zee Cinema,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Q TV,World Football,Zee World","Q TV,World Football,Zee Cinema,Zee World"
60535857,"African Movie Channel (AMC),Al Jazeera,Telemundo,Zee World", ,"African Magic, Zambezi Magic","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World"
60536494,"TV 2,TV1", ,"African Movie Channel (AMC),BBC World News,Cartoon network,Discovery Family,Discovery Science,E Africa,Fox Movies,Hope Channel,Nickelodeon,Telemundo,Zee World","Discovery Family,Discovery Science,Nickelodeon,Zee World,TV 2,TV1",TV1,TV1,TV1,"Discovery Family,Discovery Science,Nickelodeon,Zee World,TV 2,TV1"
60536495,"Al Jazeera,Emmanuel TV,SuperSport 1,SuperSport 2,TV 2,TV1", ,"ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),AMC USA,Baby TV,BBC World News,Brazil,Citizen TV,CNBC,Zuku Entertainment,Zuku Kids,Zuku Movies Action,Zuku Movies Family","ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC USA,Baby TV,BBC World News,Brazil,Citizen TV,CNBC,Emmanuel TV,SuperSport 1,SuperSport 2,TV 2,TV1,Zuku Entertainment,Zuku Kids,Zuku Movies Action,Zuku Movies Family","Al Jazeera,SuperSport 2,TV1","Al Jazeera,SuperSport 2,TV1","Al Jazeera,Brazil,Citizen TV,SuperSport 2,TV1","ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC USA,Baby TV,BBC World News,Brazil,Citizen TV,CNBC,Emmanuel TV,SuperSport 1,SuperSport 2,TV 2,TV1,Zuku Entertainment,Zuku Kids,Zuku Movies Action,Zuku Movies Family"
60536496,Others,I don't know because I have never bought any TV,None,,,,,
60536662,"African Movie Channel (AMC),Al Jazeera,BBC World News,SuperSport 1,SuperSport 2,TV 2,TV1", ,"ABN TB,African Magic, Zambezi Magic,Baby TV,Channel O,Discovery Channel,Discovery Family,Disney Channel,E Africa,Fashion TV,Fox,Hope Channel,Hossana Tv,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport Select","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Baby TV,BBC World News,Channel O,E Africa,Hope Channel,Hossana Tv,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 9,SuperSport Select,TV 2,TV1","Hope Channel,Prime Television,Q TV,QTV Zambia,TV 2,TV1","Hope Channel,Press Tv,Q TV,QTV Zambia,TV 2,TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,E Africa,Hope Channel,Hossana Tv,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 9,SuperSport Select,TV 2,TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Baby TV,BBC World News,Channel O,E Africa,Hope Channel,Hossana Tv,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 9,SuperSport Select,TV 2,TV1"
60536769,"African Magic, Zambezi Magic,MTV", ,"Al Jazeera,BBC Brit",Al Jazeera,Al Jazeera,Al Jazeera,Al Jazeera,Al Jazeera
60536770,"African Magic, Zambezi Magic,Al Jazeera,Cartoon network", ,Diamond,"Al Jazeera,Cartoon network",Al Jazeera,"Al Jazeera,Cartoon network","Al Jazeera,Cartoon network","Al Jazeera,Cartoon network"
60536771,"African Magic, Zambezi Magic,SuperSport,SuperSport 2,Zee World", ,Al Jazeera,"African Magic, Zambezi Magic,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
60536801,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Discovery Channel,Fox,Zee World,Diamond", ,None,,,,,
60537539,"African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC World News,Bollywood,CNN,Disney XD,Fox Crime,France 24,Hope Channel,MTV Base,Nat Geo Wild,Nickelodeon,POP,Sony Max,Zee World", ,"Africa Unite,BBC First,Discovery Family,Disney Channel,E Africa,Fox,Parliament TV,SuperSport,SuperSport Select","African Magic, Zambezi Magic,Al Jazeera,Zee World","African Magic, Zambezi Magic,Al Jazeera,Zee World","African Magic, Zambezi Magic,Al Jazeera,Zee World","African Magic, Zambezi Magic,Al Jazeera,Zee World","African Magic, Zambezi Magic,Al Jazeera,Zee World"
60537556,"African Magic, Zambezi Magic,Emmanuel TV,Zee Cinema,Zee World", ,"Disney Channel,E! Entertainment,Fashion One,Fox,Fox Entertainment","African Magic, Zambezi Magic,Emmanuel TV,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
