SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
60529376,"African Movie Channel (AMC),B4U Movies,Discovery Channel",Zee World,Zee World,Zee World,Zee World,Zee World
60529579,"Al Jazeera,B4U Movies,BBC Brit,BBC Earth,BBC First,BBC Lifestyle,BBC World News,BET,BET International,CBS TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Discovery Channel,Discovery Family,Discovery IDX,Discovery Science,Disney Channel,E! Entertainment,EA TV,ESPN,Family TV,Fashion One,Fashion TV,Fine Living Network,Food Network,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Gospel Music TV,Hossana Tv,Learn Tv,Life TV,Lifetime,Mindset,Miracle Tv,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi Combo,Muvi Education,Muvi Nkani,Muvi Novela,Muvi Nyimbo,Muvi Prism Africa,Muvi Yanga,MUVIZ,My TV,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,NBA TV,NBA TV HD,NBS Uganda,Nick Jr,Nickelodeon,North-Western TV,Novela E1,Nyimbo Channel,One Gospel,Parliament TV,Peoples Weather,Press Tv,Prime Television,Prism Africa,Q TV,SABC,Sky News,Smile of a Child,Soweto TV,Star Africa 2,Star Chinese 2,Star Movies 1,Star Movies 1 +2Hrs,Star Novela E1,Star Novela E3,Star One,Star Plus,Star Series E1,Star Zone- movies,StarTimes Bollywood HD,StarTimes Dadin Kowa,StarTimes Gospel,StarTimes Music,StarTimes SA Music,StarTimes Soul,Startimes Sports 2,STN,Studio Universal,STV Guide,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,TBN,TCM,Telemundo,Telly Track,The Home Channel,Times Now,Times TV,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Sports Stars,Trace Urban,Travel Channel,True Movies 1,TV Sibuka,TVC News,UBC,Universal Channel,VH1 Classic,VIA,Viasat Crime,Viasat Explore,Viasat History,Viasat Nature,Vuzu,Vuzu AMP,Wap TV,WBS,World Football,Zee Cinema,Zee World,Zing,ZNBC TV3,Zodiak TV,Zuku Entertainment,Zuku Kids,Zuku Life,Zuku Movies Action,Zuku Movies Family,Zuku Movies Max,Zuku Nolly,Zuku Novella,Zuku Sports,Zuku Swahili Movies,Zuku Zone","BBC Lifestyle,BBC World News,BET,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi TV,Nick Jr,Nickelodeon,Q TV,Studio Universal,SuperSport 3,SuperSport 5,SuperSport 7,Supersport Blitz,SuperSport Select,Trace Gospel,Trace Muzik,Trace Sports Stars,Trace Urban,Universal Channel,VH1 Classic,ZNBC TV2,ZNBC TV1,Diamond",ZNBC TV2,ZNBC TV2,"BET,ZNBC TV2","BBC Lifestyle,BBC World News,BET,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi TV,Nick Jr,Nickelodeon,Q TV,Studio Universal,SuperSport 3,SuperSport 5,SuperSport 7,Supersport Blitz,SuperSport Select,Trace Gospel,Trace Muzik,Trace Sports Stars,Trace Urban,Universal Channel,VH1 Classic,ZNBC TV2,ZNBC TV1,Diamond"
60529580,"Emmanuel TV,Jim Jam,SuperSport 2,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9","Channel O,Emmanuel TV,Jim Jam,Nick Jr,SuperSport,SuperSport 2,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport Select,Zee Cinema","Channel O,Zee Cinema","Channel O,Emmanuel TV,Jim Jam,SuperSport 5,SuperSport 7,Zee Cinema","Channel O,Emmanuel TV,Jim Jam,Nick Jr,SuperSport,SuperSport 2,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport Select,Zee Cinema","Channel O,Emmanuel TV,Jim Jam,Nick Jr,SuperSport,SuperSport 2,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport Select,Zee Cinema"
60530085,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Channel O,Discovery Channel,E Africa,E! Entertainment,Emmanuel TV,Parliament TV,SuperSport 3,TBN,Zee World,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Channel O,Discovery Channel,E Africa,Emmanuel TV,Parliament TV,Q TV,QTV Zambia,SuperSport 3,TBN,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Al Jazeera,Parliament TV,SuperSport 3,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,Emmanuel TV,Parliament TV,Q TV,SuperSport 3,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Channel O,Discovery Channel,E Africa,Emmanuel TV,Parliament TV,Q TV,QTV Zambia,SuperSport 3,TBN,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
60530086,"ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,CBC TV,Channel O,Disney Channel,E! Entertainment,SuperSport 1,SuperSport 2,SuperSport 3,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Channel O,E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond",ZNBC TV1,"ZNBC TV2,ZNBC TV3,ZNBC TV1","ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
60530176,B4U Movies,Disney Channel,Disney Channel,Disney Channel,Disney Channel,Disney Channel
60531169,Zee World,Emmanuel TV,Emmanuel TV,Emmanuel TV,Emmanuel TV,Emmanuel TV
60531744,"ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Amnet,Animal Planet,Baby TV,Bakadoli,BBC Brit,BBC Earth,BBC Lifestyle,BBC World News,BET,BET International,Beta TV,Bloomberg,Bollywood,Boomerang,Bostv,Box,Brazil,Channel O,Citizen TV,Classic Music TV,CNN,Combo,Crime + Investigation,Discovery Channel,Discovery Family,Discovery IDX,E! Entertainment,Family TV,Fashion One,Fashion TV,Food Network,Football Tv,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Sports,Gospel Music TV,I 24 News,Jim Jam,KTN,Life TV,Living Foodz,MBC,M-Net City,M-Net Movies Action +,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Music,Mzansi,Nat Geo Gold,Nickelodeon,Njata TV,North-Western TV,NTV,One Gospel,One Music,Others,Peoples Weather,Press Tv,Prism Africa,Q TV,Qyou TV,SABC,Smash Hits,Soweto TV,Star Africa 2,Star Bollywood,Star Plus,StarTimes Bollywood HD,StarTimes Soul,Studio Universal,SuperSport,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 7,Supersport Blitz,TCM,Telemundo,Trace Muzik,True Movies 1,TV Sibuka,VH1 Classic,World Football,Zuku Kids,Zuku Movies Family,Diamond","Al Jazeera,Mzansi,Telemundo,ZNBC TV1",ZNBC TV1,"Mzansi,ZNBC TV1","Mzansi,ZNBC TV1","Al Jazeera,Mzansi,Telemundo,ZNBC TV1"
60531824,"Emmanuel TV,Magic,One Gospel","African Magic, Zambezi Magic,Emmanuel TV,Gospel Music TV,One Gospel,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Emmanuel TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Zee World"
60531878,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC)","African Movie Channel (AMC),Disney Channel","African Movie Channel (AMC),Disney Channel","African Movie Channel (AMC),Disney Channel","African Movie Channel (AMC),Disney Channel","African Movie Channel (AMC),Disney Channel"
60532056,"ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC Earth,BBC World News,Cartoon network,CCTV News,Channel O,Citizen TV,City Channel Cable Network TV,E-Stars,France 24,Nat Geo Gold,Nat Geo Wild,National Geographic Channel","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC Earth,CCTV News,Channel O,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Parliament TV,Press Tv,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,ZNBC TV2,ZNBC TV3,ZNBC TV1","National Geographic Channel,ZNBC TV1","National Geographic Channel,Parliament TV,SuperSport 1,SuperSport 9,ZNBC TV2,ZNBC TV1","ABN TB,Africa Unite,BBC Earth,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Parliament TV,Press Tv,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,ZNBC TV2,ZNBC TV3,ZNBC TV1","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC Earth,CCTV News,Channel O,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Parliament TV,Press Tv,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,ZNBC TV2,ZNBC TV3,ZNBC TV1"
60532792,,,,,,
60533355,"Fashion TV,Fox Entertainment",,,,,
60534190,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,B4U Movies,E Africa,E! Entertainment,Emmanuel TV,Football Tv,Jim Jam,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,North-Western TV,Novela E1,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,Supersport Blitz,SuperSport Select,TBN,Zee World,ZNBC TV3,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Emmanuel TV,Jim Jam,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Prime Television,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 9,TBN,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","Zee World,ZNBC TV2,ZNBC TV1","Emmanuel TV,Nat Geo Gold,Nat Geo Wild,Prime Television,SuperSport 1,SuperSport 4,SuperSport 9,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Emmanuel TV,Nat Geo Wild,Prime Television,SuperSport 2,SuperSport 4,TBN,Zee World,ZNBC TV2,ZNBC TV3,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Emmanuel TV,Jim Jam,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Prime Television,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 9,TBN,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
60534385,"Discovery Channel,E Africa,Hope Channel,Novela E1,Star KungFu 1,Star Series E1,Star Zone- movies,Telemundo,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,BBC World News,City Channel Cable Network TV,Discovery Channel,Disney Channel,E Africa,Hope Channel,Jim Jam,Nick Jr,Nickelodeon,Novela E1,Star KungFu 1,Star Series E1,Star Zone- movies,SuperSport,SuperSport 1,SuperSport 2,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond,",ZNBC TV1,ZNBC TV1,ZNBC TV1,"African Magic, Zambezi Magic,BBC World News,City Channel Cable Network TV,Discovery Channel,Disney Channel,E Africa,Hope Channel,Jim Jam,Nick Jr,Nickelodeon,Novela E1,Star KungFu 1,Star Series E1,Star Zone- movies,SuperSport,SuperSport 1,SuperSport 2,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
60534386,"African Magic, Zambezi Magic,Sony Max,Telemundo,ZNBC TV2","African Magic, Zambezi Magic,Sony Max,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","Zee World,ZNBC TV1","Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,Sony Max,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,Sony Max,Telemundo,Zee World,ZNBC TV1"
60534387,"SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN","Al Jazeera,BBC World News,CNN,E Africa,National Geographic Channel,Parliament TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond","Al Jazeera,BBC World News,CNN,Parliament TV,ZNBC TV1","Al Jazeera,BBC World News,CNN,Parliament TV,ZNBC TV1","Al Jazeera,BBC World News,CNN,Parliament TV,SuperSport,SuperSport 1,ZNBC TV1","Al Jazeera,BBC World News,CNN,Parliament TV,SuperSport,SuperSport 1,SuperSport Select,ZNBC TV1"
60534388,"B4U Movies,Cartoon network,Muvi TV,Telemundo,ZNBC TV1","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,ZNBC TV2","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,ZNBC TV2","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,ZNBC TV2","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,ZNBC TV2","African Magic, Zambezi Magic,Disney Channel,Jim Jam,MTV Base,National Geographic Channel,Nickelodeon,Zee World,ZNBC TV2"
60534661,"Cartoon network,Discovery IDX,E! Entertainment,Fox Crime,Fox Entertainment,Fox Sports,Gospel Music TV,Hossana Tv","African Magic, Zambezi Magic,Q TV,World Football,Zee Cinema,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Q TV,World Football,Zee World","Q TV,World Football,Zee Cinema,Zee World"
60535857,"African Magic, Zambezi Magic","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World"
60536494,"African Movie Channel (AMC),BBC World News,Cartoon network,Discovery Family,Discovery Science,E Africa,Fox Movies,Hope Channel,Nickelodeon,Telemundo,Zee World","Discovery Family,Discovery Science,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1",ZNBC TV1,ZNBC TV1,ZNBC TV1,"Discovery Family,Discovery Science,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1"
60536495,"ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),AMC USA,Baby TV,BBC World News,Brazil,Citizen TV,CNBC,Zuku Entertainment,Zuku Kids,Zuku Movies Action,Zuku Movies Family","ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC USA,Baby TV,BBC World News,Brazil,Citizen TV,CNBC,Emmanuel TV,SuperSport 1,SuperSport 2,ZNBC TV2,ZNBC TV1,Zuku Entertainment,Zuku Kids,Zuku Movies Action,Zuku Movies Family","Al Jazeera,SuperSport 2,ZNBC TV1","Al Jazeera,SuperSport 2,ZNBC TV1","Al Jazeera,Brazil,Citizen TV,SuperSport 2,ZNBC TV1","ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC USA,Baby TV,BBC World News,Brazil,Citizen TV,CNBC,Emmanuel TV,SuperSport 1,SuperSport 2,ZNBC TV2,ZNBC TV1,Zuku Entertainment,Zuku Kids,Zuku Movies Action,Zuku Movies Family"
60536496,,,,,,
60536662,"ABN TB,African Magic, Zambezi Magic,Baby TV,Channel O,Discovery Channel,Discovery Family,Disney Channel,E Africa,Fashion TV,Fox,Hope Channel,Hossana Tv,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport Select","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Baby TV,BBC World News,Channel O,E Africa,Hope Channel,Hossana Tv,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 9,SuperSport Select,ZNBC TV2,ZNBC TV1","Hope Channel,Prime Television,Q TV,QTV Zambia,ZNBC TV2,ZNBC TV1","Hope Channel,Press Tv,Q TV,QTV Zambia,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,E Africa,Hope Channel,Hossana Tv,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 9,SuperSport Select,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Baby TV,BBC World News,Channel O,E Africa,Hope Channel,Hossana Tv,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 9,SuperSport Select,ZNBC TV2,ZNBC TV1"
60536769,"Al Jazeera,BBC Brit",Al Jazeera,Al Jazeera,Al Jazeera,Al Jazeera,Al Jazeera
60536770,Diamond,"Al Jazeera,Cartoon network",Al Jazeera,"Al Jazeera,Cartoon network","Al Jazeera,Cartoon network","Al Jazeera,Cartoon network"
60536771,Al Jazeera,"African Magic, Zambezi Magic,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
60536801,,,,,,
60537539,"Africa Unite,BBC First,Discovery Family,Disney Channel,E Africa,Fox,Parliament TV,SuperSport,SuperSport Select","African Magic, Zambezi Magic,Al Jazeera,Zee World","African Magic, Zambezi Magic,Al Jazeera,Zee World","African Magic, Zambezi Magic,Al Jazeera,Zee World","African Magic, Zambezi Magic,Al Jazeera,Zee World","African Magic, Zambezi Magic,Al Jazeera,Zee World"
60537556,"Disney Channel,E! Entertainment,Fashion One,Fox,Fox Entertainment","African Magic, Zambezi Magic,Emmanuel TV,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
60537877,"Channel Ten,Citizen TV,Classica,Clouds TV,CNBC,Fox Movies,Gospel Music TV,MBC,Sony Max,Star Plus,Startimes Sports 2,SuperSport,SuperSport 1,SuperSport 2,TBC 1,Diamond","Channel Ten,Emmanuel TV,MTV Base,SuperSport,SuperSport 1,SuperSport 2,Zee World,ZNBC TV2,ZNBC TV1",SuperSport 2,"SuperSport,SuperSport 2,ZNBC TV2,ZNBC TV1","SuperSport,SuperSport 1,ZNBC TV2,ZNBC TV1","Channel Ten,Emmanuel TV,MTV Base,SuperSport,SuperSport 1,SuperSport 2,Zee World,ZNBC TV2,ZNBC TV1"
60538019,"Q TV,SuperSport 1,SuperSport 2","Hope Channel,Q TV,SuperSport 1,SuperSport 2","Hope Channel,Q TV,SuperSport 1,SuperSport 2","Hope Channel,Q TV,SuperSport 1,SuperSport 2","Hope Channel,Q TV,SuperSport 1,SuperSport 2","Hope Channel,Q TV,SuperSport 1,SuperSport 2"
60538184,"E Africa,MTV Base,Music,SuperSport 2,SuperSport 9,TBN,ZNBC TV3,Zuku Movies Family,Zuku Zone","1 Music,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,E Africa,Hope Channel,MTV Base,Music,Muvi TV,My TV,Nat Geo Wild,National Geographic Channel,Nickelodeon,Prime Television,Q TV,StarTimes Bollywood HD,SuperSport 2,SuperSport 3,SuperSport 9,TBN,Telemundo,Zee World,ZNBC TV3,Zuku Movies Family,Zuku Zone,Diamond","African Magic, Zambezi Magic,Hope Channel,Nickelodeon,Prime Television,Q TV,Zee World","1 Music,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,E Africa,Hope Channel,MTV Base,Music,Muvi TV,My TV,Nat Geo Wild,National Geographic Channel,Nickelodeon,Prime Television,Q TV,StarTimes Bollywood HD,SuperSport 2,SuperSport 3,SuperSport 9,TBN,Telemundo,Zee World,ZNBC TV3,Zuku Movies Family,Zuku Zone,Diamond","1 Music,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,E Africa,Hope Channel,MTV Base,Music,Muvi TV,My TV,Nat Geo Wild,National Geographic Channel,Nickelodeon,Prime Television,Q TV,StarTimes Bollywood HD,SuperSport 2,SuperSport 3,SuperSport 9,TBN,Telemundo,Zee World,ZNBC TV3,Zuku Movies Family,Zuku Zone,Diamond","1 Music,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,E Africa,Hope Channel,MTV Base,Music,Muvi TV,My TV,Nat Geo Wild,National Geographic Channel,Nickelodeon,Prime Television,Q TV,StarTimes Bollywood HD,SuperSport 2,SuperSport 3,SuperSport 9,TBN,Telemundo,Zee World,ZNBC TV3,Zuku Movies Family,Zuku Zone,Diamond"
60538612,"African Magic, Zambezi Magic","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World","African Movie Channel (AMC),Zee World"
60538849,,,,,,
60539863,Africa Unite,"Q TV,Zee World",Zee World,"Q TV,Zee World",Zee World,"Q TV,Zee World"
60540117,"BBC World News,E Africa,Emmanuel TV,Hope Channel,SuperSport","African Magic, Zambezi Magic,E Africa,Emmanuel TV,Hope Channel,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond,Don't know",,"African Magic, Zambezi Magic,E Africa,Emmanuel TV,Hope Channel,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,E Africa,Emmanuel TV,Hope Channel,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,E Africa,Emmanuel TV,Hope Channel,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
60540118,"Emmanuel TV,M-Net,Muvi TV,Trace Urban,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Emmanuel TV,Fox,M-Net,Muvi TV,Prime Television,Trace Urban,ZNBC TV2,ZNBC TV1,Diamond,","African Magic, Zambezi Magic,Prime Television,ZNBC TV1","African Magic, Zambezi Magic,Emmanuel TV,Muvi TV,Prime Television,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Emmanuel TV,Muvi TV,Prime Television,Trace Urban,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Emmanuel TV,Fox,M-Net,Muvi TV,Prime Television,Trace Urban,ZNBC TV2,ZNBC TV1,Diamond"
60540119,SuperSport 3,"African Magic, Zambezi Magic,CNN,Disney Channel,Fox,M-Net Movies Action,QTV Zambia,SuperSport 3,ZNBC TV2,ZNBC TV1,Diamond","CNN,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,CNN,Disney Channel,Fox,M-Net Movies Action,QTV Zambia,SuperSport 3,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,CNN,Disney Channel,Fox,M-Net Movies Action,QTV Zambia,SuperSport 3,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,CNN,Disney Channel,Fox,M-Net Movies Action,QTV Zambia,SuperSport 3,ZNBC TV2,ZNBC TV1,Diamond"
60540120,Channel O,"African Magic, Zambezi Magic,Channel O,E! Entertainment,M-Net Movies Zone,Nat Geo Wild,Nickelodeon,Prime Television,QTV Zambia,ZNBC TV2,ZNBC TV1,Diamond","E! Entertainment,Nickelodeon,Prime Television","African Magic, Zambezi Magic,E! Entertainment,M-Net Movies Zone,Nickelodeon,Prime Television,QTV Zambia,Diamond","African Magic, Zambezi Magic,E! Entertainment,M-Net Movies Zone,Nat Geo Wild,Nickelodeon,Prime Television,QTV Zambia,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,E! Entertainment,M-Net Movies Zone,Nat Geo Wild,Nickelodeon,Prime Television,QTV Zambia,ZNBC TV2,ZNBC TV1,Diamond"
60540121,"Prime Television,QTV Zambia","African Magic, Zambezi Magic,Discovery Family,E Africa,Emmanuel TV,Muvi TV,Prime Television,QTV Zambia,SuperSport 3,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond",Zee World,"African Magic, Zambezi Magic,Discovery Family,E Africa,Emmanuel TV,Muvi TV,Prime Television,QTV Zambia,SuperSport 3,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Discovery Family,E Africa,Emmanuel TV,Muvi TV,Prime Television,QTV Zambia,SuperSport 3,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Discovery Family,E Africa,Emmanuel TV,Muvi TV,Prime Television,QTV Zambia,SuperSport 3,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
60540122,"Al Jazeera,Nat Geo Wild,Nickelodeon,Telemundo,Zee World","African Magic, Zambezi Magic,Al Jazeera,BBC World News,CNN,E Africa,E! Entertainment,Emmanuel TV,Fox,M-Net,MTV,Muvi TV,Nat Geo Wild,Nickelodeon,Prime Television,QTV Zambia,SuperSport,Telemundo,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1,Diamond","Telemundo,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,CNN,E Africa,E! Entertainment,Emmanuel TV,Fox,M-Net,MTV,Muvi TV,Nat Geo Wild,Nickelodeon,Prime Television,QTV Zambia,SuperSport,Telemundo,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,CNN,E Africa,E! Entertainment,Emmanuel TV,Fox,M-Net,MTV,Muvi TV,Nat Geo Wild,Nickelodeon,Prime Television,QTV Zambia,SuperSport,Telemundo,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,CNN,E Africa,Emmanuel TV,Fox,Prime Television,QTV Zambia,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
