SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
60498425,"BBC Lifestyle,BBC World News,Bollywood,Boomerang,Cartoon network,CBC TV,Channel O,Discovery Channel,Mzansi,Telemundo,Zee World","African Magic, Zambezi Magic,BBC Lifestyle,BBC World News,Bollywood,Boomerang,Cartoon network,CBC TV,Channel O,Discovery Channel,M-Net Movies Zone,Mzansi,Parliament TV,Prime Television,Q TV,Telemundo,Zee World,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Channel O,Mzansi,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,BBC Lifestyle,Channel O,Mzansi,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,BBC Lifestyle,Channel O,M-Net Movies Zone,Mzansi,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,BBC Lifestyle,BBC World News,Bollywood,Boomerang,Cartoon network,CBC TV,Channel O,Discovery Channel,M-Net Movies Zone,Mzansi,Parliament TV,Prime Television,Q TV,Telemundo,Zee World,ZNBC TV1,Diamond"
60505067,"African Magic, Zambezi Magic,Bollywood","Disney XD,Travel Channel,ZNBC TV2,ZNBC TV1",ZNBC TV1,ZNBC TV1,ZNBC TV1,"Disney XD,Travel Channel,ZNBC TV2,ZNBC TV1"
60505068,,,,,,
60505620,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Amnet,Animaux,BBC World News,Bloomberg,Bollywood,Boomerang,Cartoon network,CCTV News,CNN,Disney Channel,E! Entertainment,Emmanuel TV,SuperSport,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 9","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic"
60506416,"Animal Planet,Baby TV,BBC World News,Bollywood,CCTV News,Channel O,M-Net Movies Zone,SuperSport 3,SuperSport 5,SuperSport 6,SuperSport 8","African Magic, Zambezi Magic,BBC World News,Channel O,M-Net Movies Zone,MTV Base,Q TV,Telemundo,Trace Urban,ZNBC TV2,ZNBC TV1",ZNBC TV1,"Q TV,ZNBC TV2","Q TV,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,Channel O,M-Net Movies Zone,MTV Base,Q TV,Telemundo,Trace Urban,ZNBC TV2,ZNBC TV1"
60506417,"Peace TV,SuperSport 4,SuperSport Select,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","Emmanuel TV,SuperSport 4,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,","Emmanuel TV,Zee World","Emmanuel TV,Zee World","Emmanuel TV,Zee World","Emmanuel TV,SuperSport 4,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
60506418,"Al Jazeera,Animal Planet,BBC World News,CNN,Discovery Channel,Disney Channel,DW-TV,E Africa,Miracle Tv,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,Muvi TV,Nat Geo Wild,National Geographic Channel,One Gospel,Prime Television,QTV Zambia,SABC,Sky News,Sony Max,Star Bollywood,Star Chinese 2,Star KungFu 1,Star Movies 1,Star Movies 1 +2Hrs,Startimes Sports 2,SuperSport Select,TBN,Telemundo","Emmanuel TV,Miracle Tv,National Geographic Channel,Q TV,ZNBC TV2,ZNBC TV3,ZNBC TV1",ZNBC TV1,"Emmanuel TV,ZNBC TV1","Emmanuel TV,ZNBC TV1","Emmanuel TV,National Geographic Channel,Q TV,ZNBC TV3,ZNBC TV1"
60508564,CNN,Zee World,Zee World,Zee World,Zee World,Zee World
60508779,"African Magic, Zambezi Magic,Emmanuel TV,Muvi TV,ZNBC TV1",,,,,
60510231,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Baby TV,Bakadoli,BBC World News,Bollywood,Capital TV,Cartoon network,Emmanuel TV,E-Stars,Fox,Fox Crime,Hossana Tv,Jim Jam,Miracle Tv,Star Chinese 2,Star Novela E1,Star Novela E3,Star Series E1,Star Zone- movies,StarTimes Gospel,StarTimes Music,StarTimes SA Music,Telemundo,World Football,Zee Cinema","African Magic, Zambezi Magic,Al Jazeera,Bakadoli,Bollywood,Capital TV,Channel Ten,Citizen TV,Emmanuel TV,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,Novela E1,Star Novela E1,Star Novela E3,Telemundo,Wap TV,Zee Cinema,Zee World","African Magic, Zambezi Magic,Citizen TV,Emmanuel TV,Novela E1","African Magic, Zambezi Magic,Citizen TV,Emmanuel TV,Iroko Play-African Movies,Iroko Plus-African Movies,Novela E1,Wap TV","African Magic, Zambezi Magic,Citizen TV,Emmanuel TV,Iroko Play-African Movies,Iroko Plus-African Movies,Novela E1,Telemundo,Wap TV,Zee World","African Magic, Zambezi Magic,Al Jazeera,Bakadoli,Bollywood,Capital TV,Citizen TV,Emmanuel TV,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,Novela E1,Star Novela E1,Star Novela E3,Telemundo,Wap TV,Zee Cinema,Zee World"
