SbjNum,Internet Service providers P4W,Main Internet Service providers/download P4W,Bought Digital Content using your Mobile Device,Service Providers - Bought Digital Content using your Mobile Device,Service Providers - Will Consider to Buy Digital Content using Mobile Device,Overall Best Service provider of Digital Content for your mobile device,Airtel,MTN,Vodafone,Zamtel,{0}
60567107,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Ease of use,,,
60567108,MTN,MTN,No,,eBay,eBay,,Ease of payment,,,
60567437,"Airtel,MTN,Zamtel",Airtel,No,,Don’t know / unsure,Google: Google Play Store,Best value,Ease of use,,Otherplease specify,
60567438,"Airtel,MTN,",MTN,Unsure / Don’t know,,Don’t know / unsure,,Ease of payment,Best for my device,,,
60567439,,,,,,,,,,,
60567440,"Airtel,Zamtel,",Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,,,Otherplease specify,
60567441,"Airtel,MTN,",MTN,No,,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Ease of use,Otherplease specify,,,
60567442,"Airtel,MTN,Zamtel",Airtel,Unsure / Don’t know,,Don’t know / unsure,,Otherplease specify,Best content,,Best value,
60567443,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Easy to download,Best for my device,,,
60567549,Airtel,Airtel,Yes,"Google: Google Play Store,Other,","Amazon: Amazon AppStore,Microsoft: Windows App Store,",Amazon: Amazon AppStore,Easy to download,,,,
60567584,,,,,,,,,,,
60573808,,,No,,Don’t know / unsure,,,,,,
60573809,,,,,,,,,,,
60573810,,,,,,,,,,,
60573811,,,No,,Don’t know / unsure,,,,,,
60573812,,,No,,eBay,eBay,,,,,
60574148,MTN,MTN,No,,{0},{0},,Widest range of content,,,
60574364,"Airtel,Zamtel,",Zamtel,Yes,MTN: MTN Play,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,Best for my device,
60574845,MTN,MTN,Yes,Don’t know / unsure,{0},{0},,Easy to download,,,
60574952,,,Yes,Google: Google Play Store,MTN: MTN Play,MTN: MTN Play,,,,,
60575252,Zamtel,Zamtel,Yes,Zamtel Games Club,Don’t know / unsure,,,,,Best value,
60575525,MTN,MTN,Yes,MTN: MTN Play,Don’t know / unsure,,,Best value,,,
60576616,,,,,,,,,,,
60576696,,,No,,Blackberry: Blackberry World,Blackberry: Blackberry World,,,,,
60576732,"Airtel,MTN,Zamtel",Airtel,Yes,"Google: Google Play Store,Microsoft: Windows App Store,",MTN: MTN Play,MTN: MTN Play,Best value,Best value,,Ease of payment,
60576747,,,,,,,,,,,
60578058,MTN,MTN,Yes,eBay,Don’t know / unsure,,,Easy to download,,,
60578278,MTN,MTN,Yes,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,Blackberry: Blackberry World,Amazon: Amazon AppStore,MTN: MTN Play,eBay,",Airtel Live,Airtel Live,,Best value,,,
60578378,Airtel,Airtel,No,,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Widest range of content,,,,
60578379,MTN,MTN,No,,MTN: MTN Play,MTN: MTN Play,,Ease of use,,,
60578380,,,,,,,,,,,
60578498,,,,,,,,,,,
60578499,"MTN,Zamtel,",MTN,No,,"Google: Google Play Store,Zamtel Games Club,",Google: Google Play Store,,Best for my device,,Widest range of content,
60578500,,,,,,,,,,,
60578547,,,Yes,MTN: MTN Play,Zamtel Games Club,Zamtel Games Club,,,,,
60578701,Airtel,Airtel,Yes,eBay,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Ease of use,,,,
60578819,MTN,MTN,Yes,MTN: MTN Play,Google: Google Play Store,Google: Google Play Store,,Best for my device,,,
60579212,MTN,MTN,Yes,Don’t know / unsure,{0},{0},,Easy to download,,,
60580042,,,,,,,,,,,
60580247,,,,,,,,,,,
60580371,,,,,,,,,,,
60580544,MTN,MTN,Yes,Don’t know / unsure,{0},{0},,Easy to download,,,
60580917,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Ease of payment,Best for my device,,,
60580918,,,,,,,,,,,
60580919,MTN,MTN,Yes,Google: Google Play Store,{0},{0},,Ease of use,,,
60580920,Zamtel,Zamtel,Yes,Google: Google Play Store,Don’t know / unsure,,,,,Otherplease specify,
60581019,"Airtel,MTN,",MTN,Yes,MTN: MTN Play,Google: Google Play Store,Google: Google Play Store,Best value,Best value,,,
60581148,Zamtel,Zamtel,Yes,Zamtel Games Club,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,Best value,
60581149,,,No,,Blackberry: Blackberry World,Blackberry: Blackberry World,,,,,
60581150,"MTN,Zamtel,",Zamtel,Yes,MTN: MTN Play,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Easy to download,,Ease of payment,
60581151,"MTN,Zamtel,",Zamtel,Yes,"Microsoft: Windows App Store,eBay,",Airtel Live,Airtel Live,,Ease of payment,,Best value,
60581524,MTN,MTN,No,,eBay,eBay,,Easy to download,,,
60582292,,,,,,,,,,,
60582293,,,,,,,,,,,
60582294,,,,,,,,,,,
60582407,,,No,,Don’t know / unsure,,,,,,
60582408,,,,,,,,,,,
60582409,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,,
60582410,,,,,,,,,,,
60582411,,,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,,
60582629,,,Yes,"Google: Google Play Store,Blackberry: Blackberry World,Zamtel Games Club",Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,,
60583044,Zamtel,Zamtel,Yes,Google: Google Play Store,"Apple: iOS App Store / iTunes Store,Blackberry: Blackberry World,",Apple: iOS App Store / iTunes Store,,,,Best value,
60583045,,,,,,,,,,,
60583046,MTN,MTN,Yes,Blackberry: Blackberry World,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60583047,"MTN,Zamtel,",MTN,Yes,Apple: iOS App Store / iTunes Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,Best value,,Best value,
60583048,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,,
60583049,MTN,MTN,Yes,Google: Google Play Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,Best value,,,
60583050,MTN,MTN,No,,"Google: Google Play Store,MTN: MTN Play,",Google: Google Play Store,,Best value,,,
60583051,"Airtel,MTN,",Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,Best value,,,
60583052,MTN,MTN,Yes,Blackberry: Blackberry World,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60583053,"MTN,Zamtel,",Zamtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best value,,Best value,
60583123,,,,,,,,,,,
60583133,MTN,MTN,No,,Don’t know / unsure,,,Best for my device,,,
60583134,"MTN,Zamtel,",Zamtel,Yes,Google: Google Play Store,Don’t know / unsure,,,Best value,,Best value,
60583198,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,,
60583199,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60583200,"MTN,Zamtel,",MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,Widest range of content,
60583201,,,,,,,,,,,
60583202,"Airtel,MTN,",Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,Best value,,,
60583203,,,,,,,,,,,
60583347,,,,,,,,,,,
60583348,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best content,,,,
60583349,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,,
60583350,,,,,,,,,,,
60583351,"Airtel,Zamtel,",Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best content,,,Best content,
60583352,,,Yes,Microsoft: Windows App Store,Google: Google Play Store,Google: Google Play Store,,,,,
60583353,Zamtel,Zamtel,Yes,Google: Google Play Store,eBay,eBay,,,,Ease of payment,
60584014,"Airtel,Zamtel,",Zamtel,No,,"Google: Google Play Store,Amazon: Amazon AppStore,Microsoft: Windows App Store,eBay,",Microsoft: Windows App Store,Easy to download,,,Best value,
60584015,Airtel,Airtel,No,,Don’t know / unsure,,Ease of use,,,,
60584110,Airtel,Airtel,No,,Don’t know / unsure,,Best value,,,,
60584111,,,,,,,,,,,
60584112,,,,,,,,,,,
60585280,,,,,,,,,,,
60585281,,,,,,,,,,,
60585282,Airtel,Airtel,Unsure / Don’t know,,"Google: Google Play Store,Amazon: Amazon AppStore,eBay",eBay,Best value,,,,
60585283,MTN,MTN,No,,"Amazon: Amazon AppStore,eBay,",eBay,,Best value,,,
60585284,MTN,MTN,Unsure / Don’t know,,Don’t know / unsure,,,Best value,,,
60585285,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60585286,"Airtel,MTN,",Airtel,No,,Don’t know / unsure,,Best value,Ease of use,,,
60585748,Airtel,Airtel,Yes,Google: Google Play Store,eBay,eBay,Easy to download,,,,
60585802,,,No,,Don’t know / unsure,,,,,,
60586416,,,No,,"Airtel Live,Zamtel Games Club,",Airtel Live,,,,,
60587835,Airtel,Airtel,No,,Don’t know / unsure,,Otherplease specify,,,,
60587836,,,,,,,,,,,
60587930,MTN,MTN,Yes,Google: Google Play Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,Best for my device,,,
60588021,,,,,,,,,,,
60588022,,,,,,,,,,,
60588023,,,,,,,,,,,
60588024,,,,,,,,,,,
60588025,"Airtel,Zamtel,",Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,Best value,
60588026,MTN,MTN,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,,Best value,,,
60588027,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Best value,Best value,,,
60588153,"Airtel,MTN,Zamtel",Airtel,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Best content,Best value,,Best value,
60588154,Zamtel,Zamtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,Best value,
60588155,Zamtel,Zamtel,Yes,Google: Google Play Store,eBay,eBay,,,,Best value,
60588156,MTN,MTN,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,,Best value,,,
60588157,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Best value,Best content,,,
60588158,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Best content,Best value,,,
60588159,,,,,,,,,,,
60588160,,,,,,,,,,,
60588161,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,,,,
60588162,,,,,,,,,,,
60588163,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,,
60588167,MTN,MTN,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best for my device,,,
60588168,"Airtel,MTN,",MTN,Yes,Google: Google Play Store,eBay,eBay,Best value,Best content,,,
60588169,MTN,MTN,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best content,,,
60588170,,,,,,,,,,,
60588790,"Airtel,MTN,Zamtel",MTN,No,,Google: Google Play Store,Google: Google Play Store,Ease of use,Best value,,Otherplease specify,
60588791,,,,,,,,,,,
60588792,,,,,,,,,,,
60588793,,,,,,,,,,,
60588794,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60588795,,,,,,,,,,,
60588796,"Airtel,MTN,Zamtel",MTN,No,,Don’t know / unsure,,Best value,Best for my device,,Otherplease specify,
60588797,,,,,,,,,,,
60595421,"Airtel,MTN,",Airtel,Yes,Google: Google Play Store,eBay,eBay,Widest range of content,Widest range of content,,,
60595422,,,,,,,,,,,
60595423,,,,,,,,,,,
60595424,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60595425,Airtel,Airtel,Yes,Google: Google Play Store,Airtel Live,Airtel Live,Best value,,,,
60595426,Airtel,Airtel,No,,Airtel Live,Airtel Live,Ease of use,,,,
60595927,,,,,,,,,,,
60595928,MTN,MTN,No,,eBay,eBay,,Otherplease specify,,,
60595929,,,No,,Don’t know / unsure,,,,,,
60595930,"Zamtel,Otherplease specify,",Zamtel,Yes,"Amazon: Amazon AppStore,eBay,Other",Don’t know / unsure,,,,,Otherplease specify,Easy to download
60595931,Airtel,Airtel,No,,Don’t know / unsure,,Otherplease specify,,,,
60596170,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60596171,,,,,,,,,,,
60596986,MTN,MTN,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best value,,,
60597315,,,,,,,,,,,
60597711,,,No,,Don’t know / unsure,,,,,,
60597809,MTN,MTN,Yes,Google: Google Play Store,Microsoft: Windows App Store,Microsoft: Windows App Store,,Best value,,,
60598338,MTN,MTN,Yes,Google: Google Play Store,Don’t know / unsure,,,Ease of payment,,,
60598428,MTN,MTN,Yes,Google: Google Play Store,eBay,eBay,,Best value,,,
60598577,,,,,,,,,,,
60598761,MTN,MTN,Yes,Don’t know / unsure,Amazon: Amazon AppStore,Amazon: Amazon AppStore,,Easy to download,,,
60598987,,,,,,,,,,,
60599173,,,,,,,,,,,
60599271,"Airtel,Zamtel,",Zamtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Ease of use,,,Easy to download,
60599272,"Airtel,Zamtel,",Zamtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Ease of payment,,,Easy to download,
60599944,MTN,MTN,Yes,Google: Google Play Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,Best value,,,
60600028,,,,,,,,,,,
60600214,,,No,,Don’t know / unsure,,,,,,
60600380,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Ease of use,,,
60600483,"Airtel,MTN,",Airtel,Yes,"Google: Google Play Store,Airtel Live,MTN: MTN Play","Amazon: Amazon AppStore,Zamtel Games Club,",Zamtel Games Club,Easy to download,Best value,,,
60600600,,,No,,"Airtel Live,MTN: MTN Play,",MTN: MTN Play,,,,,
60600703,,,,,,,,,,,
60600876,,,No,,"Google: Google Play Store,MTN: MTN Play,",Google: Google Play Store,,,,,
60600992,MTN,MTN,No,,Don’t know / unsure,,,Ease of payment,,,
60601247,MTN,MTN,Yes,Google: Google Play Store,Microsoft: Windows App Store,Microsoft: Windows App Store,,Ease of use,,,
60601393,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60601394,"Airtel,MTN,Zamtel",MTN,No,,Don’t know / unsure,,Best value,Best for my device,,Best content,
60601395,"Airtel,Zamtel,",Zamtel,Yes,Google: Google Play Store,"Apple: iOS App Store / iTunes Store,Amazon: Amazon AppStore,Microsoft: Windows App Store,MTN: MTN Play,",Apple: iOS App Store / iTunes Store,Best content,,,Best value,
60601396,"Airtel,MTN,Zamtel",MTN,No,,Google: Google Play Store,Google: Google Play Store,Best value,Widest range of content,,Best value,
60601397,"Airtel,MTN,Zamtel",Airtel,Yes,Google: Google Play Store,"Apple: iOS App Store / iTunes Store,Amazon: Amazon AppStore,Microsoft: Windows App Store",Apple: iOS App Store / iTunes Store,Best value,Best content,,Ease of use,
60601398,,,No,,Don’t know / unsure,,,,,,
60601399,,,No,,Don’t know / unsure,,,,,,
60601601,,,,,,,,,,,
60601635,,,No,,MTN: MTN Play,MTN: MTN Play,,,,,
60601686,,,,,,,,,,,
60601687,,,,,,,,,,,
60601857,MTN,MTN,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,,Easy to download,,,
60602111,MTN,MTN,Yes,eBay,Don’t know / unsure,,,Otherplease specify,,,
60602198,,,,,,,,,,,
60602199,,,No,,Don’t know / unsure,,,,,,
60602219,MTN,MTN,Yes,Google: Google Play Store,Don’t know / unsure,,,Ease of payment,,,
60602793,,,,,,,,,,,
60602799,,,No,,Don’t know / unsure,,,,,,
60602800,MTN,MTN,Yes,Google: Google Play Store,MTN: MTN Play,MTN: MTN Play,,Best value,,,
60602801,MTN,MTN,Yes,Google: Google Play Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,Best value,,,
60602802,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60602803,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60602804,"MTN,Zamtel,",Zamtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best value,,Best value,
60602805,"Airtel,MTN,",MTN,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,Best value,,,
60603035,,,,,,,,,,,
60603366,"Airtel,MTN,",MTN,Yes,Don’t know / unsure,{0},{0},Easy to download,Easy to download,,,
60603515,"MTN,Zamtel,",MTN,No,,MTN: MTN Play,MTN: MTN Play,,Easy to download,,Best for my device,
60603893,,,,,,,,,,,
60604174,Zamtel,Zamtel,Yes,Apple: iOS App Store / iTunes Store,eBay,eBay,,,,Ease of payment,
60605690,,,,,,,,,,,
60605691,MTN,MTN,Unsure / Don’t know,,Google: Google Play Store,Google: Google Play Store,,Ease of use,,,
60605819,MTN,MTN,Yes,Google: Google Play Store,MTN: MTN Play,MTN: MTN Play,,Widest range of content,,,
60605947,MTN,MTN,Yes,MTN: MTN Play,Blackberry: Blackberry World,Blackberry: Blackberry World,,Ease of use,,,
60606204,Zamtel,Zamtel,Yes,Zamtel Games Club,Microsoft: Windows App Store,Microsoft: Windows App Store,,,,Ease of payment,
60606205,Zamtel,Zamtel,No,,Amazon: Amazon AppStore,Amazon: Amazon AppStore,,,,Best value,
60606294,,,No,,MTN: MTN Play,MTN: MTN Play,,,,,
60606891,Airtel,Airtel,Yes,Google: Google Play Store,"Apple: iOS App Store / iTunes Store,Airtel Live,",Apple: iOS App Store / iTunes Store,Best content,,,,
60606892,,,,,,,,,,,
60606893,MTN,MTN,Yes,Google: Google Play Store,"Amazon: Amazon AppStore,MTN: MTN Play,eBay",eBay,,Ease of use,,,
60606894,,,No,,Don’t know / unsure,,,,,,
60606895,,,,,,,,,,,
60606896,MTN,MTN,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Easy to download,,,
60607037,,,,,,,,,,,
60607295,MTN,MTN,Yes,Google: Google Play Store,MTN: MTN Play,{0},,Best value,,,
60607296,"MTN,Zamtel,",MTN,Yes,Google: Google Play Store,Microsoft: Windows App Store,Microsoft: Windows App Store,,Best value,,Best value,
60607297,"Airtel,MTN,",Airtel,No,,Don’t know / unsure,,Otherplease specify,Best value,,,
60607298,,,,,,,,,,,
60607299,"Airtel,MTN,",MTN,Yes,Google: Google Play Store,Don’t know / unsure,,Best value,Best for my device,,,
60607300,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60607363,Airtel,Airtel,No,,Don’t know / unsure,,Easy to download,,,,
60607364,,,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,,
60607365,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Ease of payment,,,,
60607366,Airtel,Airtel,No,,Don’t know / unsure,,Ease of use,,,,
60607482,MTN,MTN,Yes,Google: Google Play Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,Easy to download,,,
60607751,"Airtel,MTN,",Airtel,No,,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,Blackberry: Blackberry World,Amazon: Amazon AppStore,Microsoft: Windows App Store,Airtel Live,",Airtel Live,Best value,Best content,,,
60607752,Airtel,Airtel,No,,Don’t know / unsure,,Best value,,,,
60607753,"Airtel,MTN,",Airtel,No,,"Google: Google Play Store,eBay,",Google: Google Play Store,Best value,Best value,,,
60607754,"Airtel,MTN,",MTN,No,,"Google: Google Play Store,MTN: MTN Play,",Google: Google Play Store,Best value,Best value,,,
60607755,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Best value,Best value,,,
60608386,Airtel,Airtel,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Ease of payment,,,,
60608388,,,No,,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,,
60608389,,,,,,,,,,,
60608390,,,,,,,,,,,
60608391,MTN,MTN,Yes,MTN: MTN Play,Apple: iOS App Store / iTunes Store,{0},,Best value,,,
60608392,MTN,MTN,Yes,MTN: MTN Play,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best value,,,
60608393,Zamtel,Zamtel,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,,,,Ease of payment,
60608394,Zamtel,Zamtel,No,,Google: Google Play Store,Google: Google Play Store,,,,Ease of payment,
60608395,Airtel,Airtel,Yes,Airtel Live,Blackberry: Blackberry World,Blackberry: Blackberry World,Best value,,,,
60608396,,,No,,MTN: MTN Play,MTN: MTN Play,,,,,
60608397,,,No,,Don’t know / unsure,,,,,,
60608398,,,,,,,,,,,
60608400,MTN,MTN,Yes,Google: Google Play Store,MTN: MTN Play,MTN: MTN Play,,Ease of payment,,,
60608401,MTN,MTN,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,,Ease of payment,,,
60608434,"Airtel,Zamtel,",Airtel,Yes,Airtel Live,"Google: Google Play Store,Microsoft: Windows App Store,eBay",Google: Google Play Store,Ease of use,,,Best value,
60608645,"Airtel,MTN,",MTN,Yes,"Airtel Live,MTN: MTN Play,","Google: Google Play Store,Blackberry: Blackberry World,",Blackberry: Blackberry World,Widest range of content,Widest range of content,,,
60610456,,,Yes,Other,Zamtel Games Club,Zamtel Games Club,,,,,
60610620,,,No,,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,,
60610939,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,,,,
60610940,Zamtel,Zamtel,Yes,Google: Google Play Store,Zamtel Games Club,Zamtel Games Club,,,,Best value,
60611000,,,,,,,,,,,
60611001,,,,,,,,,,,
60611002,,,,,,,,,,,
60611003,,,,,,,,,,,
60611004,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,,,,
60611355,Airtel,Airtel,No,,Don’t know / unsure,,Ease of use,,,,
60611356,,,,,,,,,,,
60611357,MTN,MTN,No,,eBay,eBay,,Otherplease specify,,,
60611358,,,,,,,,,,,
60611721,MTN,MTN,Yes,Google: Google Play Store,MTN: MTN Play,MTN: MTN Play,,Ease of use,,,
60612536,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Ease of payment,Ease of use,,,
60612537,"Airtel,MTN,",Airtel,No,,Don’t know / unsure,,Otherplease specify,Ease of use,,,
60612538,,,,,,,,,,,
60612539,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60612540,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Ease of use,,,
60612541,,,No,,Don’t know / unsure,,,,,,
60612542,"MTN,Zamtel,",MTN,No,,Google: Google Play Store,Google: Google Play Store,,Otherplease specify,,Ease of payment,
60612959,"Airtel,MTN,",Airtel,No,,Don’t know / unsure,,Otherplease specify,Otherplease specify,,,
60612960,Airtel,Airtel,Yes,Other,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,,
60612961,Airtel,Airtel,No,,Don’t know / unsure,,Otherplease specify,,,,
60612962,,,,,,,,,,,
60613041,Airtel,Airtel,No,,Don’t know / unsure,,Best value,,,,
60613042,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60613043,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60613044,,,,,,,,,,,
60613045,MTN,MTN,Yes,"Amazon: Amazon AppStore,eBay,",{0},{0},,Best value,,,
60613046,,,,,,,,,,,
60615792,MTN,MTN,Yes,"Google: Google Play Store,MTN: MTN Play,","Apple: iOS App Store / iTunes Store,Airtel Live,Zamtel Games Club",Apple: iOS App Store / iTunes Store,,Best value,,,
60616146,,,,,,,,,,,
60616147,Airtel,Airtel,Yes,Google: Google Play Store,"Apple: iOS App Store / iTunes Store,Amazon: Amazon AppStore,eBay",Amazon: Amazon AppStore,Ease of use,,,,
60616148,Airtel,Airtel,No,,Don’t know / unsure,,Ease of use,,,,
60616149,Zamtel,Zamtel,Yes,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,",Microsoft: Windows App Store,Microsoft: Windows App Store,,,,Ease of payment,
60616847,Airtel,Airtel,Unsure / Don’t know,,Airtel Live,Airtel Live,Widest range of content,,,,
60617258,,,,,,,,,,,
60617259,"Airtel,MTN,",Airtel,No,,eBay,eBay,Best value,Best content,,,
60617260,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best content,,,
60617261,,,,,,,,,,,
60617262,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60617263,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60617264,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best content,,,
60617265,,,,,,,,,,,
60617266,Airtel,Airtel,No,,eBay,eBay,Best content,,,,
60617267,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,,
60618128,,,,,,,,,,,
60618176,Airtel,Airtel,Yes,Airtel Live,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,",Google: Google Play Store,Widest range of content,,,,
60618441,"Airtel,Zamtel,",Zamtel,Yes,Google: Google Play Store,"Amazon: Amazon AppStore,Airtel Live,",Amazon: Amazon AppStore,Best content,,,Best value,
60618442,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60618443,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best content,,,
60618444,,,,,,,,,,,
60618445,"Airtel,MTN,",Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,Best content,,,
60618446,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,,
60618447,Zamtel,Zamtel,No,,Google: Google Play Store,Google: Google Play Store,,,,Best content,
60618448,"Airtel,MTN,",Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,Best content,,,
60623913,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,,
60625343,MTN,MTN,No,,MTN: MTN Play,MTN: MTN Play,,Best value,,,
60626413,,,No,,MTN: MTN Play,MTN: MTN Play,,,,,
60627779,,,,,,,,,,,
60627780,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best for my device,,,,
60627781,MTN,MTN,No,,Don’t know / unsure,,,Widest range of content,,,
60627782,,,No,,Don’t know / unsure,,,,,,
60627783,"Airtel,Zamtel,",Airtel,No,,Don’t know / unsure,,Best value,,,Best value,
60628614,,,,,,,,,,,
60628615,,,,,,,,,,,
60628616,MTN,MTN,No,,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,",Google: Google Play Store,,Easy to download,,,
60628617,Airtel,Airtel,No,,"Google: Google Play Store,Airtel Live,MTN: MTN Play",Airtel Live,Widest range of content,,,,
60628618,,,,,,,,,,,
60628705,Airtel,Airtel,Yes,Airtel Live,MTN: MTN Play,MTN: MTN Play,Best content,,,,
60628706,MTN,MTN,Yes,MTN: MTN Play,"Airtel Live,Zamtel Games Club,",Airtel Live,,Widest range of content,,,
