SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60505068,,,"Komboni Radio, Radio Christian Voice,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM,","Komboni Radio, Radio Christian Voice,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM,",Radio 1,Radio 1,Radio 1,Radio 1,Radio 1
60505620,,,"Radio 1,Radio 2,Radio 4, Radio Christian Voice,Kafue,Komboni Radio,Parliament,Q FM,Radio Christian Voice,","Radio 1,Radio 2,Radio 4, Radio Christian Voice,Kafue,Komboni Radio,Parliament,Q FM,Radio Christian Voice,","Kafue,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Radio 4,"Komboni Radio,Radio 3","Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Komboni Radio,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60506416,, ,"Q FM,BBC,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Q FM,BBC,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,nan,,
60506417,,,"Isoka,Radio 1,Radio 4, Radio 2,Radio Christian Voice,","Isoka,Radio 1,Radio 4, Radio 2,Radio Christian Voice,","Isoka,Radio 1,Radio 2,Radio 4,Radio Christian Voice",,nan,Radio 1,"Radio 1,Radio 4"
60506418,,,"Radio 1,Radio 2,Phoenix,BBC,Isoka,Radio Christian Voice,","Radio 1,Radio 2,Phoenix,BBC,Isoka,Radio Christian Voice,","Isoka,Radio 1,Radio 2,Radio Christian Voice,",,Radio 1,Radio 1,Radio 1
60508564,,,"5FM,BBC,Radio Christian Voice,Phoenix,Q FM,Radio 1,Radio 2,Radio 4, Hot,Kafue,Komboni Radio,","5FM,BBC,Radio Christian Voice,Phoenix,Q FM,Radio 1,Radio 2,Radio 4, Hot,Kafue,Komboni Radio,","Radio Christian Voice,Radio 1,Radio 2,Radio 4,",Radio 4,"Radio Christian Voice,Radio 3","Radio Christian Voice,Radio 1,Radio 3","Radio Christian Voice,Radio 1,Radio 2,Radio 4"
60508779,,,"Radio 1, KNC,BBC,Maranatha,Mkushi FM, Money FM,Phoenix,Radio 2,Radio 4,Radio Christian Voice,","Radio 1, KNC,BBC,Maranatha,Mkushi FM, Money FM,Phoenix,Radio 2,Radio 4,Radio Christian Voice,","Maranatha,Radio 1,Radio 2,Radio Christian Voice,",Radio 1,"Radio 1,Radio Christian Voice","Maranatha,Radio 1,Radio Christian Voice","Maranatha,Radio 1,Radio 2,Radio Christian Voice"
60510231,,,"Isoka, Radio 1,Radio 2,Radio Christian Voice,","Isoka, Radio 1,Radio 2,Radio Christian Voice,","Isoka,Radio 1,Radio 2",Radio 2,Radio 1,Radio 1,
60513115,,,"Hot,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Komboni Radio,Parliament,Power,Radio 1,Radio 2,Radio 4,","Hot,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Komboni Radio,Parliament,Power,Radio 1,Radio 2,Radio 4,","5FM,Hot,Komboni Radio,Millennium,Q FM,Radio 4,Radio Christian Voice,,",Hot,"5FM,","5FM,","5FM,Hot,"
60514495,,,"Beats,FCC Solwezi,Kabangabanga,Kasempa,Lumba,Mano,New Generation,Radio 1,Radio 2,Radio Christian Voice, BBC,Parliament,","Beats,FCC Solwezi,Kabangabanga,Kasempa,Lumba,Mano,New Generation,Radio 1,Radio 2,Radio Christian Voice, BBC,Parliament,","FCC Solwezi,Parliament,Radio 2,Radio Christian Voice,",Parliament,"FCC Solwezi,Parliament,Radio 2,Radio Christian Voice","FCC Solwezi,Parliament,Radio 2,Radio Christian Voice","FCC Solwezi,Parliament,Radio 2,Radio Christian Voice"
