SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60549710,,,"KNC,Power,Cloud FM,Maranatha,Phoenix,Q FM,Radio 1,Radio 2,","KNC,Power,Cloud FM,Maranatha,Phoenix,Q FM,Radio 1,Radio 2,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,,","Power,","Power,","Power,","Phoenix,Q FM,Radio 1"
60549711,,,"KNC,Radio 1,Radio 4, Maranatha,Power,Radio 2,","KNC,Radio 1,Radio 4, Maranatha,Power,Radio 2,","KNC,Maranatha,Power,Radio 1,Radio 2,Radio 4,",Power,KNC,"KNC,Power","KNC,Maranatha,Power,Radio 1,Radio 2,Radio 4"
60549712,,,"Phoenix,Q FM,Rock FmPower,Radio 1,Radio 2,Radio 4,","Phoenix,Q FM,Rock FmPower,Radio 1,Radio 2,Radio 4,","Phoenix,Power,Q FM,Radio 1,",,Power,Radio 1,
60549713,,,"Phoenix,Power,Q FM, KNC,Maranatha,Radio 1,Radio 4,","Phoenix,Power,Q FM, KNC,Maranatha,Radio 1,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 4",Power,KNC,"KNC,Power","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 4"
60549714,,,"KNC,Power,Cloud FM,Maranatha,Radio 1,Radio 2,Radio 4,","KNC,Power,Cloud FM,Maranatha,Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Power,Radio 1,Radio 2,Radio 4,",KNC,Power,Radio 3,"Radio 1,Radio 2"
60549715,,,"KNC,Maranatha,Power,Cloud FM,Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Power,Cloud FM,Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Power,Radio 1,Radio 2,Radio 4,",Radio 3,nan,Power,"KNC,Maranatha,Power,Radio 1,Radio 2,Radio 4,"
60550261,,,"Baptist Faith,BBC,Flava FM,Icengelo,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Radio 1,Radio 2,Radio 4,Radio 1, Sun FMFM,","Baptist Faith,BBC,Flava FM,Icengelo,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Radio 1,Radio 2,Radio 4,Radio 1, Sun FMFM,",Sun FM,Sat,Sat,Sat,Sun FM
60550361,,,"Komboni Radio,Phoenix, BBC,Power,Q FM,Rock FM,United Voice,Radio 1,Radio 2,Radio 4,","Komboni Radio,Phoenix, BBC,Power,Q FM,Rock FM,United Voice,Radio 1,Radio 2,Radio 4,","BBC,Komboni Radio,Phoenix,Power,Q FM,Rock FM,Radio 1","BBC,Komboni Radio","BBC,Komboni Radio","BBC,Komboni Radio,Phoenix,Power,Q FM,Rock FM,Radio 1","BBC,Komboni Radio,Phoenix,Power,Q FM,Rock FM,Radio 1"
60550362,,,"Hot,Radio Christian Voice,Joy,Radio 1,Radio 2,","Hot,Radio Christian Voice,Joy,Radio 1,Radio 2,",Hot,,Hot,,Hot
60550363,,,"Komboni Radio,","Komboni Radio,","Komboni Radio,,",,Komboni Radio,"Komboni Radio,","Komboni Radio,"
60550364,,,"Komboni Radio,Millennium,Yatsani, Yangeni FM, Hot,Joy,Radio 2,","Komboni Radio,Millennium,Yatsani, Yangeni FM, Hot,Joy,Radio 2,","Komboni Radio,Millennium,Radio 2,Yatsani, Yangeni FM,","Yatsani, Yangeni FM","Yatsani,Yangeni FM","Komboni Radio,Millennium,Radio 2,Yatsani, Yangeni FM","Komboni Radio,Millennium,Radio 2,Yatsani, Yangeni FM"
60550365,,,"Komboni Radio,Radio Christian Voice,UNZA Radio, 5FM,Hot,Joy,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM,Radio 1,","Komboni Radio,Radio Christian Voice,UNZA Radio, 5FM,Hot,Joy,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM,Radio 1,","Komboni Radio,Radio Christian Voice,UNZA Radio",Komboni Radio,Komboni Radio,"Komboni Radio,Radio Christian Voice,UNZA Radio","Komboni Radio,Radio Christian Voice,UNZA Radio"
60550366,,,"Komboni Radio,Millennium,Power,Q FM,Radio 1, Hot,Radio Christian Voice,","Komboni Radio,Millennium,Power,Q FM,Radio 1, Hot,Radio Christian Voice,",Komboni Radio,,nan,Komboni Radio,Komboni Radio
60550986,,,"Flava FM,Icengelo,Radio 1,Radio 2,Radio Christian Voice, ","Flava FM,Icengelo,Radio 1,Radio 2,Radio Christian Voice, ","Icengelo,Radio 1,Radio 2","Icengelo,Radio 1","Icengelo,Radio 1","Icengelo,Radio 1","Icengelo,Radio 1"
60551587,,,"Flava FM,Icengelo,Iwave,Phoenix,Radio 1,Radio 2,Radio 4,Sun FMFM,Yar, ","Flava FM,Icengelo,Iwave,Phoenix,Radio 1,Radio 2,Radio 4,Sun FMFM,Yar, ",Sun FM,Sat,Sat,Sat,Sun FM
60551800,,,"Flava FM,Icengelo,Iwave,Radio 4,Yar, BBC,Kokoliko,Parliament,Q FM,Radio 1,Radio 2,Radio Christian Voice,Sun FMFM,Radio 1,Radio 2,Radio 4,","Flava FM,Icengelo,Iwave,Radio 4,Yar, BBC,Kokoliko,Parliament,Q FM,Radio 1,Radio 2,Radio Christian Voice,Sun FMFM,Radio 1,Radio 2,Radio 4,","Radio Christian Voice,Radio 1,Radio 2",Radio 1,Radio 1 ,Radio 1,Radio 1
60552083,,,"Icengelo,Kokoliko,Radio 1,Radio 2,Radio Christian Voice, Flava FM,","Icengelo,Kokoliko,Radio 1,Radio 2,Radio Christian Voice, Flava FM,","Icengelo,Radio 1,Radio 2,Radio Christian Voice,",,"Icengelo,Radio 1","Icengelo,Radio 1,Radio 2,Radio Christian Voice","Icengelo,Radio 1,Radio 2,Radio Christian Voice"
60552219,,,"Chimwemwe,Icengelo,Radio Christian Voice, Phoenix,Radio 1,Radio 4,","Chimwemwe,Icengelo,Radio Christian Voice, Phoenix,Radio 1,Radio 4,",Radio Christian Voice,,Radio Christian Voice,Radio Christian Voice,Radio Christian Voice
60552946,,,"Phoenix,Radio 1,Sun FMFM,Yar, ","Phoenix,Radio 1,Sun FMFM,Yar, ",Yar,Yar,Yar,Yar,Yar
60553081,,,"Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Flava FM,","Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Flava FM,",Radio Christian Voice,Radio Christian Voice,Radio Christian Voice,Radio Christian Voice,Radio Christian Voice
60553130,,,"Icengelo,Iwave,Kokoliko,Phoenix,Rise FM,Sun FMFM, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Icengelo,Iwave,Kokoliko,Phoenix,Rise FM,Sun FMFM, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Icengelo,Iwave,Kokoliko,Phoenix,Rise FM",Icengelo,"Icengelo,Kokoliko,Rise FM","Icengelo,Kokoliko,Rise FM","Icengelo,Kokoliko,Rise FM"
60553131,,," Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FMFM,Yar,"," Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FMFM,Yar,","Kokoliko,Radio 1,Radio 2,Radio 4,",,Kokoliko,Kokoliko,Kokoliko
60553775,,,"Radio 2, BBC,Isoka,Parliament,Radio 1,Radio 4,Radio Christian Voice,","Radio 2, BBC,Isoka,Parliament,Radio 1,Radio 4,Radio Christian Voice,","Radio 1,Radio 2,Radio 4",Radio 1,Radio 1,"Radio 1,Radio 1","Radio 1,Radio 2,Radio 4"
60553776,,," Isoka,Radio 2,"," Isoka,Radio 2,","Isoka,Radio 2,",,nan,,"Isoka,Radio 2"
60553921,,,"Mazabuka, BBC,Chikuni,Choma Maano,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Mazabuka, BBC,Chikuni,Choma Maano,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","BBC,Chikuni,Choma Maano,Mazabuka,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,Mazabuka,"Mazabuka,Radio 1","Chikuni,Mazabuka,Radio 1"
60553922,,,"Chikuni,Mazabuka, BBC,Parliament,Radio 1,Radio 2,Radio 4,","Chikuni,Mazabuka, BBC,Parliament,Radio 1,Radio 2,Radio 4,","Mazabuka,Radio 1,Radio 2,Radio 4,",,Mazabuka,"Mazabuka,Radio 1",Mazabuka
60554675,,,"Icengelo,Radio 1,Radio 2,Radio 4, Phoenix,","Icengelo,Radio 1,Radio 2,Radio 4, Phoenix,","Icengelo,Phoenix,Radio 1,Radio 2,Radio 4",Icengelo,Icengelo,Icengelo,Icengelo
60554815,,,"Icengelo,Kokoliko,Phoenix,Radio Christian Voice,Sun FMFM,","Icengelo,Kokoliko,Phoenix,Radio Christian Voice,Sun FMFM,",Sun FM,Sat,Sat,Sat,Sun FM
60554971,,,"Icengelo,Kokoliko,Rise FM, Phoenix,Radio 1,Radio 2,Radio 4,","Icengelo,Kokoliko,Rise FM, Phoenix,Radio 1,Radio 2,Radio 4,","Icengelo,Kokoliko,Phoenix,Rise FM,","Icengelo,Kokoliko,Phoenix,Rise FM","Icengelo,Kokoliko,Phoenix,Rise FM","Icengelo,Kokoliko,Phoenix,Rise FM","Icengelo,Kokoliko,Phoenix,Rise FM"
60555110,,,"Phoenix,Radio 1,Radio 2,Radio 4, BBC,Flava FM,Icengelo,Kokoliko,Parliament,Q FM,Radio Christian Voice,Yar,Radio 1,Radio 2,","Phoenix,Radio 1,Radio 2,Radio 4, BBC,Flava FM,Icengelo,Kokoliko,Parliament,Q FM,Radio Christian Voice,Yar,Radio 1,Radio 2,",Radio 1,,nan,,
60555311,,,"Flava FM,Phoenix, Icengelo,","Flava FM,Phoenix, Icengelo,",Icengelo,Icengelo,Icengelo,Icengelo,Icengelo
60555743,,,"BBC,Flava FM,Icengelo, Radio 1,","BBC,Flava FM,Icengelo, Radio 1,","Icengelo,Radio 1,",Icengelo,Icengelo,Icengelo,Icengelo
60555767,,,"Radio 1,Radio 2, Radio 1,Radio 2,","Radio 1,Radio 2, Radio 1,Radio 2,","Radio 1,Radio 2,Radio 1","Radio 1,Radio 2,Radio 1","Radio 1,Radio 2,Radio 1 ","Radio 1,Radio 2,Radio 1","Radio 1,Radio 2,Radio 1"
60555768,,,"Flava FM,Icengelo,Parliament,Radio 1,Yar, Phoenix,Radio 2,Radio Christian Voice,","Flava FM,Icengelo,Parliament,Radio 1,Yar, Phoenix,Radio 2,Radio Christian Voice,","Flava FM,Icengelo,Parliament,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Yar,",Radio 1,Yar,Icengelo,"Flava FM,Radio 1,Yar"
60555769,,,"Baptist Faith,Icengelo,Radio 1,Radio 2,Yar, Chimwemwe,","Baptist Faith,Icengelo,Radio 1,Radio 2,Yar, Chimwemwe,","Baptist Faith,Chimwemwe,Icengelo,Radio 1,Radio 2,Yar,",,"Baptist Faith,Chimwemwe,Icengelo,Radio 1,Radio 2,Yar","Baptist Faith,Chimwemwe,Icengelo,Radio 1,Radio 2,Yar","Baptist Faith,Chimwemwe,Icengelo,Radio 1,Radio 2,Yar"
60555770,,,"Icengelo,Phoenix,Radio Christian Voice,Yar, Radio 1,","Icengelo,Phoenix,Radio Christian Voice,Yar, Radio 1,","Icengelo,Phoenix,Radio 1,Radio Christian Voice,Yar",Yar,"Radio 1,Yar","Radio 1,Yar","Icengelo,Phoenix,Radio 1,Radio Christian Voice,Yar"
60556109,,,"BBC,Icengelo,Jive,Parliament,Phoenix,Radio Christian Voice, Chimwemwe,Sun FMFM,","BBC,Icengelo,Jive,Parliament,Phoenix,Radio Christian Voice, Chimwemwe,Sun FMFM,","BBC,Jive,Radio Christian Voice",BBC,"BBC,Radio Christian Voice","BBC,Radio Christian Voice","BBC,Radio Christian Voice"
60556261,,,"Icengelo,Kokoliko,Radio 1,Radio 2,Radio 4, Phoenix,Rise FM,Sun FMFM,Yar,","Icengelo,Kokoliko,Radio 1,Radio 2,Radio 4, Phoenix,Rise FM,Sun FMFM,Yar,",Icengelo,,nan,Icengelo,Icengelo
60556427,,,"Radio 1,Radio Christian Voice, BBC,Radio 4,","Radio 1,Radio Christian Voice, BBC,Radio 4,","BBC,Radio 1,Radio 4,Radio Christian Voice,",,nan,,"Radio 1,Radio 4,Radio Christian Voice"
60556428,,,"Isoka,Radio 1, Mpika,","Isoka,Radio 1, Mpika,","Isoka,Mpika,Radio 1",Radio 1,Radio 1,Radio 1,"Mpika,Radio 1"
60556558,,,"Icengelo,Radio 1,Radio 2,Radio 1,Radio 2,Radio 4, ","Icengelo,Radio 1,Radio 2,Radio 1,Radio 2,Radio 4, ",,,nan,,
60558612,,,"Flava FM,Icengelo,Yar, Phoenix,","Flava FM,Icengelo,Yar, Phoenix,",Icengelo,Icengelo,Icengelo,Icengelo,Icengelo
60558636,,,"5FM,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,UNZA Radio,Radio 1, Ama,BBC,Chongwe,Komboni Radio,Metro FM,Millennium,One Love,Pan African,Parliament,Radio Christian Voice,Rock FM,Roots,United Voice,Yatsani, Yangeni FM,Radio 1,Radio 2,","5FM,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,UNZA Radio,Radio 1, Ama,BBC,Chongwe,Komboni Radio,Metro FM,Millennium,One Love,Pan African,Parliament,Radio Christian Voice,Rock FM,Roots,United Voice,Yatsani, Yangeni FM,Radio 1,Radio 2,","5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Metro FM,Millennium,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2","Komboni Radio,Radio 1,Radio 2,Radio Christian Voice","Komboni Radio,Radio 1,Radio 2,Radio Christian Voice","Hot,Joy,Komboni Radio,Millennium,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1","5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Metro FM,Millennium,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2"
60558637,,,"Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Metro FM,Millennium,Phoenix,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice, 5FM,Ama,Chongwe,Modern voice,One Love,Pan African,Parliament,Q FM,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 1,","Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Metro FM,Millennium,Phoenix,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice, 5FM,Ama,Chongwe,Modern voice,One Love,Pan African,Parliament,Q FM,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 1,","5FM,Chongwe,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Metro FM,Millennium,Modern voice,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,","Komboni Radio,Radio 1,Radio Christian Voice","Joy,Komboni Radio,Millennium,Q FM,Radio 1,Radio 2,Radio Christian Voice,Yatsani,Yangeni FM","Joy,Komboni Radio,Millennium,Parliament,Q FM,Radio 1,Radio 2,Radio Christian Voice,United Voice,Yatsani, Yangeni FM,Radio 1","5FM,Chongwe,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Metro FM,Millennium,Modern voice,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2"
60558638,,,"Komboni Radio,Metro FM,Millennium,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,Radio 1, 5FM,Ama,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Kafue,Modern voice,Parliament,Phoenix,Power,","Komboni Radio,Metro FM,Millennium,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,Radio 1, 5FM,Ama,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Kafue,Modern voice,Parliament,Phoenix,Power,","5FM,Ama,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Metro FM,Millennium,Parliament,Phoenix,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Radio 1,","Komboni Radio,Millennium,Radio 1","Komboni Radio,Millennium,Radio 1","5FM,Ama,Radio Christian Voice,Evelyn, Hone,Komboni Radio,Millennium,Radio 1,Radio Christian Voice","5FM,Ama,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Metro FM,Millennium,Parliament,Phoenix,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Radio 1"
60558639,,,"Radio Christian Voice,Parliament,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Yatsani, Yangeni FM,Radio 1, 5FM,Ama,BBC,Chongwe,Comet 10,Evelyn, Hone,Hot,Joy,Kafue,Komboni Radio,Metro FM,Millennium,Modern voice,One Love,Pan African,Phoenix,Rise,Roots,United Voice,UNZA Radio,Radio 2,Radio 4,Radio 1,","Radio Christian Voice,Parliament,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Yatsani, Yangeni FM,Radio 1, 5FM,Ama,BBC,Chongwe,Comet 10,Evelyn, Hone,Hot,Joy,Kafue,Komboni Radio,Metro FM,Millennium,Modern voice,One Love,Pan African,Phoenix,Rise,Roots,United Voice,UNZA Radio,Radio 2,Radio 4,Radio 1,","5FM,Ama,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Kafue,Komboni Radio,Metro FM,Millennium,Modern voice,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4",Millennium,"Millennium,Radio 1, METRO FM","Evelyn, Hone,Joy,Kafue,Komboni Radio,Metro FM,Millennium,One Love,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 1","5FM,Ama,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Kafue,Komboni Radio,Metro FM,Millennium,Modern voice,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4"
60558640,,,"Komboni Radio, Metro FM,Millennium,Pan African,Radio Christian Voice,","Komboni Radio, Metro FM,Millennium,Pan African,Radio Christian Voice,","Komboni Radio,Metro FM,Millennium,Pan African,Radio Christian Voice",Komboni Radio,"Komboni Radio, METRO FM","Komboni Radio,Metro FM,Millennium","Komboni Radio,Metro FM,Millennium,Pan African,Radio Christian Voice"
60558982,,,"Icengelo,Phoenix,Radio 1,Sun FMFM, ","Icengelo,Phoenix,Radio 1,Sun FMFM, ",Sun FM,Sat,Sat,Sat,Sun FM
60558985,,,"BBC,Flava FM,Icengelo,Phoenix,Q FM,Radio 1,Radio 2,Radio 4, Radio Christian Voice,Sun FMFM,Yar,Radio 1,Radio 2,","BBC,Flava FM,Icengelo,Phoenix,Q FM,Radio 1,Radio 2,Radio 4, Radio Christian Voice,Sun FMFM,Yar,Radio 1,Radio 2,","Radio 2,Radio 4,",Radio 1,"Radio 2,Radio 3","Radio 2,Radio 3","Radio 2,Radio 4"
60559081,,,"Icengelo,Iwave,Kokoliko, Phoenix,Radio 1,Radio 2,Radio 4,","Icengelo,Iwave,Kokoliko, Phoenix,Radio 1,Radio 2,Radio 4,","Icengelo,Kokoliko,",,"Icengelo,Kokoliko","Icengelo,Kokoliko","Icengelo,Kokoliko"
60559082,,," Icengelo,Kokoliko,Phoenix,Sun FMFM,Yar,Radio 1,Radio 2,Radio 4,"," Icengelo,Kokoliko,Phoenix,Sun FMFM,Yar,Radio 1,Radio 2,Radio 4,","Icengelo,Kokoliko,","Icengelo,Kokoliko","Icengelo,Kokoliko","Icengelo,Kokoliko","Icengelo,Kokoliko"
60559105,,,"Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4, Byta,Parliament,Q FM,Radio Christian Voice,","Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4, Byta,Parliament,Q FM,Radio Christian Voice,","Mazabuka,Radio 1,Radio 2,Radio 4,",Mazabuka,Mazabuka,"Mazabuka,Radio 1,Radio 3","Mazabuka,Radio 1,Radio 2,Radio 4"
60559106,,,"Mazabuka,Radio 4, BBC,Byta,Chikuni,Choma Maano,Falls,Mosi-0-Tunya,Radio 1,Radio 2,SKY,Radio 1,Radio 2,Radio 4,","Mazabuka,Radio 4, BBC,Byta,Chikuni,Choma Maano,Falls,Mosi-0-Tunya,Radio 1,Radio 2,SKY,Radio 1,Radio 2,Radio 4,",Mazabuka,Mazabuka,Mazabuka,Mazabuka,Mazabuka
60559161,,,"Icengelo,Phoenix,Sun FMFM, Chimwemwe,Radio 1,Radio 2,Radio 4,","Icengelo,Phoenix,Sun FMFM, Chimwemwe,Radio 1,Radio 2,Radio 4,","Icengelo,Phoenix,Radio 1,Radio 2,Sun FM",Sat,"Phoenix,Sun FM","Icengelo,Phoenix,Sun FM","Radio 1,Radio 2"
60559162,,,"Chimwemwe,Icengelo,Jive,Phoenix,Sun FMFM, Radio 2,Radio 4,","Chimwemwe,Icengelo,Jive,Phoenix,Sun FMFM, Radio 2,Radio 4,",Chimwemwe,Chimwemwe,Chimwemwe,Chimwemwe,Chimwemwe
60559165,,,"BBC,Icengelo,Phoenix,Radio 1,Radio Christian Voice,Sun FMFM,Radio 1,Radio 2, Chimwemwe,Radio 2,Radio 4,","BBC,Icengelo,Phoenix,Radio 1,Radio Christian Voice,Sun FMFM,Radio 1,Radio 2, Chimwemwe,Radio 2,Radio 4,","BBC,Icengelo,Phoenix,Radio 1,Radio 2",BBC,"Radio 1,Radio 1","Icengelo,Phoenix",Phoenix
60559241,,,"Icengelo,Phoenix,Q FM, BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Yar,Radio 1,Radio 2,Radio 4,","Icengelo,Phoenix,Q FM, BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Yar,Radio 1,Radio 2,Radio 4,","Icengelo,Phoenix,Q FM,Radio 2,",,nan,Radio 1,"Q FM,Radio 2"
60559883,,,"Isoka,Radio 1,Radio 2, Mpika,Muchinga,Parliament,Radio 4,Radio Christian Voice,","Isoka,Radio 1,Radio 2, Mpika,Muchinga,Parliament,Radio 4,Radio Christian Voice,","Isoka,Parliament,Radio 1,Radio 2,Radio Christian Voice",,Radio 1,"Radio 1,Radio 1","Isoka,Parliament,Radio 1,Radio 2"
60559884,,,"Radio 1,Radio 2, BBC,Isoka,","Radio 1,Radio 2, BBC,Isoka,","BBC,Isoka,Radio 1,Radio 2,","BBC,Radio 1","BBC,Radio 1","BBC,Radio 1","BBC,Radio 2"
60560017,,,"Flava FM,Radio 1,Radio 1, Baptist Faith,Chimwemwe,","Flava FM,Radio 1,Radio 1, Baptist Faith,Chimwemwe,","Baptist Faith,Chimwemwe,Flava FM,Radio 1,Radio 1",Radio 1,"Radio 1,Radio 1 ","Baptist Faith,Chimwemwe,Flava FM,Radio 1,Radio 1","Baptist Faith,Chimwemwe,Flava FM,Radio 1,Radio 1"
60560018,,,"Radio 1,Radio 2,Yar, Flava FM,Icengelo,","Radio 1,Radio 2,Yar, Flava FM,Icengelo,",Yar,Yar,Yar,Yar,Yar
60560019,,,"Icengelo, Radio 1,Radio Christian Voice,","Icengelo, Radio 1,Radio Christian Voice,",Icengelo,Icengelo,Icengelo,Icengelo,Icengelo
60560263,,,"Icengelo,Ngoma fm,Baptist Faith,BBC,Chimwemwe,Flava FM,Kokoliko,Parliament,Radio 1,Radio 2,Radio Christian Voice,Radio Mpongwe,Sun FMFM,Yar,","Icengelo,Ngoma fm,Baptist Faith,BBC,Chimwemwe,Flava FM,Kokoliko,Parliament,Radio 1,Radio 2,Radio Christian Voice,Radio Mpongwe,Sun FMFM,Yar,","Chimwemwe,,",,"Chimwemwe,","Chimwemwe,","Chimwemwe,"
60560264,,,"Sun FMFM,Ngoma fm,Chimwemwe,Flava FM,Icengelo,Radio Christian Voice,","Sun FMFM,Ngoma fm,Chimwemwe,Flava FM,Icengelo,Radio Christian Voice,","Flava FM,Icengelo,Radio Christian Voice,Sun FM,",,nan,,"Flava FM,Radio Christian Voice,"
60560265,,,"BBC,Phoenix,Ngoma fm,Baptist Faith,Chimwemwe,Icengelo,Kokoliko,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FMFM,Yar,","BBC,Phoenix,Ngoma fm,Baptist Faith,Chimwemwe,Icengelo,Kokoliko,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FMFM,Yar,","BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,Yar,","BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,Yar,","BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,Yar,","BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,Yar,","BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,Yar,"
60560266,,,"Radio 4,Ngoma fm,Chimwemwe,Kokoliko,Radio Christian Voice,Radio Mpongwe,Rise FM,","Radio 4,Ngoma fm,Chimwemwe,Kokoliko,Radio Christian Voice,Radio Mpongwe,Rise FM,","Radio 4,Radio Christian Voice,",,nan,,"Radio 4,Radio Christian Voice,"
