,BET  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BET  Friday
13,16:00  -  16:14,60567441,Central,Chibombo,Urban,Male,3,Two or More,AB,Completed high School,Muslim,Student,AB,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
14,16:30  -  16:44,60567441,Central,Chibombo,Urban,Male,3,Two or More,AB,Completed high School,Muslim,Student,AB,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
15,23:30  -  23:44,60567441,Central,Chibombo,Urban,Male,3,Two or More,AB,Completed high School,Muslim,Student,AB,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
16,7:45  -  7:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:30  -  7:44,7:45  -  7:59"
17,7:30  -  7:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:30  -  7:44,7:45  -  7:59"
18,13:15  -  13:29,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"13:15  -  13:29,13:30  -  13:44"
19,13:30  -  13:44,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"13:15  -  13:29,13:30  -  13:44"
20,17:00  -  17:14,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
21,17:15  -  17:29,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
22,16:45  -  16:59,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
