,Baby TV  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Baby TV  Monday
10,6:30  -  6:44,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
11,11:00  -  11:14,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12,6:00  -  6:14,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
13,6:45  -  6:59,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
14,9:15  -  9:29,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
15,10:00  -  10:14,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
16,7:00  -  7:14,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
17,11:30  -  11:44,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
18,7:30  -  7:44,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
19,7:45  -  7:59,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
20,12:45  -  12:59,134657481,Central,Serenje,Rural,Male,1,,C2,Primary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
21,9:30  -  9:44,134657481,Central,Serenje,Rural,Male,1,,C2,Primary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
22,6:15  -  6:29,134657481,Central,Serenje,Rural,Male,1,,C2,Primary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
