,Ignition  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Ignition  Yesterday
0,17:45  -  17:59,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
1,17:00  -  17:14,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
2,17:30  -  17:44,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
3,18:00  -  18:14,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
4,18:45  -  18:59,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
5,18:15  -  18:29,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
6,18:30  -  18:44,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
7,17:15  -  17:29,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
