,Food Network  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Food Network  Thursday
16,18:45  -  18:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
17,18:00  -  18:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18,18:15  -  18:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
19,18:30  -  18:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
20,14:30  -  14:44,82267632,Copperbelt,Ndola,Urban,Male,2,Two or More,C2,Some university,Other Christian,Student,C2,Do not know,Yes,25 – 34,14:30  -  14:44
21,17:45  -  17:59,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
22,19:00  -  19:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
23,4:45  -  4:59,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
24,17:30  -  17:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
25,18:00  -  18:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
26,19:15  -  19:29,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
27,19:30  -  19:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
28,18:45  -  18:59,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
29,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
30,6:30  -  6:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
31,18:15  -  18:29,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
32,18:30  -  18:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
33,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
34,17:15  -  17:29,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
35,5:00  -  5:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
36,18:45  -  18:59                                                                                                               14:30  -  14:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
37,17:45  -  17:59,134965408,Western,Mongu,Urban,Female,0,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                           4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59                                                                                                                                                                                              17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
