,Hossana Tv  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hossana Tv  Friday
0,8:15  -  8:29,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,"8:15  -  8:29,8:30  -  8:44"
1,8:30  -  8:44,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,"8:15  -  8:29,8:30  -  8:44"
