,Disney Channel  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney Channel  Sunday
42,15:45  -  15:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
43,7:00  -  7:14                                                             17:45  -  17:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
44,18:15  -  18:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
45,19:45  -  19:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
46,17:15  -  17:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
47,16:00  -  16:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
48,19:00  -  19:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
49,7:45  -  7:59                                             15:00  -  15:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
50,7:30  -  7:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
51,16:45  -  16:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
52,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
53,16:15  -  16:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
54,9:30  -  9:448:30  -  8:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
55,19:30  -  19:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
56,17:30  -  17:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
57,6:15  -  6:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
58,6:30  -  6:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
59,6:45  -  6:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
60,15:30  -  15:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
61,19:15  -  19:29                                7:00  -  7:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
62,20:30  -  20:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
63,18:00  -  18:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
64,15:15  -  15:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
65,17:45  -  17:59                                                                    9:00  -  9:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                             17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
