,Food Network  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Food Network  Saturday
18,19:00  -  19:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
19,17:00  -  17:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
20,17:30  -  17:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
21,18:00  -  18:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
22,19:15  -  19:29,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
23,18:45  -  18:59,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
24,19:30  -  19:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
25,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
26,18:15  -  18:29,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
27,18:30  -  18:44,135188953,Central,Kabwe,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                               14:30  -  14:44                                                                                                                                               "
