,Discovery Family  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Family  Saturday
12,17:30  -  17:44,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
13,14:00  -  14:14,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
14,15:30  -  15:44,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
15,17:45  -  17:59,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
16,18:00  -  18:14,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
17,18:30  -  18:44,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18,14:30  -  14:44,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
19,16:30  -  16:44,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
20,15:15  -  15:29,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
21,9:00  -  9:14,60713735,Lusaka,Lusaka district,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,Do not know,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
22,8:15  -  8:29,60713735,Lusaka,Lusaka district,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,Do not know,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
23,8:00  -  8:14,60713735,Lusaka,Lusaka district,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,Do not know,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
24,8:45  -  8:59,60713735,Lusaka,Lusaka district,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,Do not know,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
25,8:30  -  8:44,60713735,Lusaka,Lusaka district,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,Do not know,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
26,6:45  -  6:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
27,6:00  -  6:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
28,6:15  -  6:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
29,6:30  -  6:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
30,9:00  -  9:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
31,8:15  -  8:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
32,8:00  -  8:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
33,8:45  -  8:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
34,8:30  -  8:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
35,9:15  -  9:29,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"8:30  -  8:44,9:15  -  9:29"
36,8:30  -  8:44,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"8:30  -  8:44,9:15  -  9:29"
37,17:00  -  17:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
38,18:45  -  18:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
39,18:15  -  18:29,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
40,17:15  -  17:29,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
41,19:00  -  19:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
42,14:45  -  14:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
43,6:45  -  6:59               8:00  -  8:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
44,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
45,16:45  -  16:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
46,16:15  -  16:29,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
47,14:15  -  14:29,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                      6:15  -  6:29,6:45  -  6:59                                                                                                                                                                                                                                                                                       14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:15  -  15:29,15:30  -  15:44,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                                                                                                                                                                                                                                                                                                                                                                                                    6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
