,BBC Earth  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC Earth  Thursday
0,14:30  -  14:44,82188309,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some primary school,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,14:30  -  14:44
1,14:30  -  14:44,134844222,Luapula,Mansa,Urban,Female,1,,DE,Secondary,Christian,Employed not for cash,D,K 850-K 1674,,25 – 34,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      14:30  -  14:44                                                                                                                                                                                                 
